date,Qi Zhang,Katherine Fulton,Ray Zahab,Daniel Libeskind,Iraola,isPartial
2010-05-01,6,0,1,20,11,False
2010-06-01,7,1,1,17,14,False
2010-07-01,6,1,1,11,10,False
2010-08-01,6,1,1,14,13,False
2010-09-01,6,1,1,15,15,False
2010-10-01,8,0,1,16,16,False
2010-11-01,5,1,2,21,20,False
2010-12-01,4,1,1,16,16,False
2011-01-01,5,0,1,16,13,False
2011-02-01,4,1,1,17,18,False
2011-03-01,6,1,1,16,22,False
2011-04-01,7,0,1,18,16,False
2011-05-01,6,0,1,20,15,False
2011-06-01,6,1,1,13,15,False
2011-07-01,5,0,2,12,13,False
2011-08-01,5,0,1,15,20,False
2011-09-01,7,0,1,32,16,False
2011-10-01,5,1,1,22,15,False
2011-11-01,5,1,1,18,13,False
2011-12-01,7,1,1,17,13,False
2012-01-01,7,0,1,14,12,False
2012-02-01,8,1,1,21,14,False
2012-03-01,6,1,1,17,26,False
2012-04-01,6,0,1,19,16,False
2012-05-01,5,1,0,20,19,False
2012-06-01,7,0,1,15,15,False
2012-07-01,5,0,1,12,11,False
2012-08-01,5,1,1,10,11,False
2012-09-01,5,1,1,16,12,False
2012-10-01,5,0,0,21,12,False
2012-11-01,5,0,0,18,13,False
2012-12-01,4,1,1,15,11,False
2013-01-01,6,1,1,16,11,False
2013-02-01,6,1,1,15,12,False
2013-03-01,6,0,0,18,11,False
2013-04-01,5,0,1,17,12,False
2013-05-01,5,1,1,21,10,False
2013-06-01,5,0,1,15,11,False
2013-07-01,4,1,1,10,11,False
2013-08-01,5,0,1,12,11,False
2013-09-01,3,0,1,17,14,False
2013-10-01,5,1,1,19,12,False
2013-11-01,4,0,1,21,11,False
2013-12-01,3,1,1,12,12,False
2014-01-01,5,0,1,13,10,False
2014-02-01,5,0,1,14,12,False
2014-03-01,5,0,1,17,13,False
2014-04-01,4,0,1,20,10,False
2014-05-01,5,0,0,20,12,False
2014-06-01,5,0,1,16,10,False
2014-07-01,7,1,0,7,12,False
2014-08-01,4,0,1,11,16,False
2014-09-01,4,1,0,16,17,False
2014-10-01,4,0,0,15,13,False
2014-11-01,4,0,0,18,12,False
2014-12-01,3,0,1,11,10,False
2015-01-01,4,0,0,11,10,False
2015-02-01,9,0,0,12,12,False
2015-03-01,9,0,0,16,17,False
2015-04-01,6,0,0,15,18,False
2015-05-01,4,0,0,15,47,False
2015-06-01,5,0,0,13,21,False
2015-07-01,4,0,0,9,24,False
2015-08-01,3,0,0,9,16,False
2015-09-01,4,0,1,13,14,False
2015-10-01,4,1,0,16,12,False
2015-11-01,3,0,0,15,11,False
2015-12-01,4,0,0,13,10,False
2016-01-01,4,0,0,9,11,False
2016-02-01,8,0,0,13,11,False
2016-03-01,4,0,0,14,12,False
2016-04-01,5,0,0,15,9,False
2016-05-01,5,0,0,18,15,False
2016-06-01,5,0,0,10,12,False
2016-07-01,4,0,0,6,13,False
2016-08-01,4,0,0,6,8,False
2016-09-01,4,0,0,11,12,False
2016-10-01,3,0,0,10,11,False
2016-11-01,4,1,0,12,16,False
2016-12-01,4,0,0,7,9,False
2017-01-01,4,0,0,8,8,False
2017-02-01,4,0,0,10,10,False
2017-03-01,4,0,1,12,9,False
2017-04-01,4,0,0,10,9,False
2017-05-01,3,0,0,10,11,False
2017-06-01,3,0,1,10,9,False
2017-07-01,6,1,0,6,9,False
2017-08-01,3,0,0,8,8,False
2017-09-01,3,0,0,9,8,False
2017-10-01,3,0,0,11,8,False
2017-11-01,3,1,0,12,7,False
2017-12-01,4,0,0,8,7,False
2018-01-01,4,1,0,7,9,False
2018-02-01,4,0,0,9,8,False
2018-03-01,3,0,0,11,6,False
2018-04-01,3,0,0,9,8,False
2018-05-01,4,0,0,10,8,False
2018-06-01,3,0,0,6,8,False
2018-07-01,3,0,0,6,7,False
2018-08-01,3,0,0,8,8,False
2018-09-01,3,1,0,9,9,False
2018-10-01,3,0,0,9,9,False
2018-11-01,3,0,1,11,8,False
2018-12-01,3,0,0,8,7,False
2019-01-01,3,0,0,8,8,False
2019-02-01,4,0,0,9,9,False
2019-03-01,3,0,0,10,7,False
2019-04-01,3,0,0,9,9,False
2019-05-01,2,0,0,7,7,False
2019-06-01,3,0,0,5,8,False
2019-07-01,2,0,0,5,11,False
2019-08-01,3,0,0,7,9,False
2019-09-01,6,0,0,7,8,False
2019-10-01,10,0,0,9,8,False
2019-11-01,3,0,0,7,8,False
2019-12-01,2,0,1,6,9,False
2020-01-01,3,0,0,6,13,False
2020-02-01,3,0,0,8,25,False
2020-03-01,4,0,0,6,10,False
2020-04-01,3,0,0,7,8,False
2020-05-01,4,1,0,6,6,False
2020-06-01,3,0,0,5,8,False
2020-07-01,3,0,0,3,16,False
2020-08-01,3,0,0,5,13,False
2020-09-01,4,0,0,5,9,False
2020-10-01,4,0,0,4,10,False
