date,Beverly + Dereck Joubert,Sheryl Sandberg,Brené Brown,Arianna Huffington,Iraola,isPartial
2008-04-01,66,0,0,1,0,False
2008-05-01,71,0,0,1,0,False
2008-06-01,71,0,0,1,0,False
2008-07-01,76,0,0,1,0,False
2008-08-01,74,0,0,1,0,False
2008-09-01,80,0,0,1,0,False
2008-10-01,82,0,0,1,0,False
2008-11-01,67,0,0,1,0,False
2008-12-01,67,0,0,1,0,False
2009-01-01,72,0,0,1,0,False
2009-02-01,76,0,0,1,0,False
2009-03-01,72,0,0,1,0,False
2009-04-01,70,0,0,1,0,False
2009-05-01,72,0,0,0,0,False
2009-06-01,71,0,0,0,0,False
2009-07-01,71,0,0,1,0,False
2009-08-01,70,0,0,1,0,False
2009-09-01,67,0,0,1,0,False
2009-10-01,63,0,0,1,0,False
2009-11-01,61,0,0,1,0,False
2009-12-01,74,0,0,1,0,False
2010-01-01,70,0,0,1,0,False
2010-02-01,64,0,0,1,0,False
2010-03-01,64,0,0,1,0,False
2010-04-01,65,0,0,1,0,False
2010-05-01,64,0,0,0,0,False
2010-06-01,65,0,0,0,0,False
2010-07-01,70,0,0,0,0,False
2010-08-01,68,0,0,0,0,False
2010-09-01,62,0,0,2,0,False
2010-10-01,66,1,0,2,0,False
2010-11-01,71,0,0,1,0,False
2010-12-01,76,0,0,1,0,False
2011-01-01,100,1,0,1,0,False
2011-02-01,84,0,0,3,0,False
2011-03-01,69,0,0,1,0,False
2011-04-01,68,0,0,1,0,False
2011-05-01,65,1,0,1,0,False
2011-06-01,70,0,0,1,0,False
2011-07-01,68,1,0,1,0,False
2011-08-01,76,1,0,1,0,False
2011-09-01,76,1,0,1,0,False
2011-10-01,73,0,0,1,0,False
2011-11-01,73,1,0,1,0,False
2011-12-01,75,1,0,1,0,False
2012-01-01,87,1,0,1,0,False
2012-02-01,85,3,0,1,0,False
2012-03-01,62,1,0,1,1,False
2012-04-01,62,1,0,1,0,False
2012-05-01,60,2,0,1,0,False
2012-06-01,60,1,0,1,0,False
2012-07-01,67,1,0,0,0,False
2012-08-01,66,1,0,1,0,False
2012-09-01,64,0,0,1,0,False
2012-10-01,58,0,0,1,0,False
2012-11-01,64,1,0,1,0,False
2012-12-01,67,0,0,0,0,False
2013-01-01,73,0,0,1,0,False
2013-02-01,72,1,0,1,0,False
2013-03-01,67,7,0,1,0,False
2013-04-01,63,4,0,1,0,False
2013-05-01,57,2,0,1,0,False
2013-06-01,58,2,0,1,0,False
2013-07-01,65,2,0,0,0,False
2013-08-01,67,2,0,1,0,False
2013-09-01,59,1,0,0,0,False
2013-10-01,58,1,0,1,0,False
2013-11-01,60,1,0,0,0,False
2013-12-01,62,1,0,0,0,False
2014-01-01,73,2,0,1,0,False
2014-02-01,70,1,0,0,0,False
2014-03-01,70,2,0,2,0,False
2014-04-01,63,2,0,1,0,False
2014-05-01,61,1,0,2,0,False
2014-06-01,58,1,0,1,0,False
2014-07-01,63,2,0,1,0,False
2014-08-01,66,1,0,1,0,False
2014-09-01,64,1,0,1,0,False
2014-10-01,60,1,0,1,0,False
2014-11-01,57,1,0,1,0,False
2014-12-01,67,1,0,0,0,False
2015-01-01,70,1,0,0,0,False
2015-02-01,64,1,0,0,0,False
2015-03-01,66,2,0,1,0,False
2015-04-01,66,1,0,1,0,False
2015-05-01,62,10,0,1,1,False
2015-06-01,66,5,0,1,0,False
2015-07-01,65,1,0,1,0,False
2015-08-01,64,1,0,1,0,False
2015-09-01,62,1,0,0,0,False
2015-10-01,58,1,0,0,0,False
2015-11-01,59,1,0,0,0,False
2015-12-01,69,1,0,1,0,False
2016-01-01,73,1,0,0,0,False
2016-02-01,67,1,0,1,0,False
2016-03-01,67,1,0,0,0,False
2016-04-01,73,1,0,2,0,False
2016-05-01,70,4,0,1,0,False
2016-06-01,68,1,0,1,0,False
2016-07-01,65,1,0,0,0,False
2016-08-01,64,1,0,1,0,False
2016-09-01,61,1,0,1,0,False
2016-10-01,58,1,0,1,0,False
2016-11-01,61,1,0,1,0,False
2016-12-01,67,1,0,0,0,False
2017-01-01,63,1,0,0,0,False
2017-02-01,62,1,0,0,0,False
2017-03-01,63,1,0,1,0,False
2017-04-01,64,4,0,0,0,False
2017-05-01,58,2,0,0,0,False
2017-06-01,58,2,0,1,0,False
2017-07-01,64,1,0,0,0,False
2017-08-01,60,2,0,0,0,False
2017-09-01,59,1,0,0,0,False
2017-10-01,57,1,0,0,0,False
2017-11-01,57,1,0,1,0,False
2017-12-01,63,1,0,0,0,False
2018-01-01,63,1,0,0,0,False
2018-02-01,60,1,0,0,0,False
2018-03-01,60,2,0,0,0,False
2018-04-01,60,2,0,0,0,False
2018-05-01,56,1,0,0,0,False
2018-06-01,55,1,0,0,0,False
2018-07-01,59,1,0,0,0,False
2018-08-01,59,1,0,0,0,False
2018-09-01,53,1,0,0,0,False
2018-10-01,50,1,0,0,0,False
2018-11-01,53,2,0,0,0,False
2018-12-01,58,1,0,0,0,False
2019-01-01,54,1,0,0,0,False
2019-02-01,59,1,0,0,0,False
2019-03-01,81,1,0,0,0,False
2019-04-01,59,1,0,0,0,False
2019-05-01,57,1,0,0,0,False
2019-06-01,58,1,0,0,0,False
2019-07-01,60,1,0,0,0,False
2019-08-01,66,1,0,0,0,False
2019-09-01,57,1,0,0,0,False
2019-10-01,52,1,0,0,0,False
2019-11-01,56,1,0,0,0,False
2019-12-01,56,0,0,0,0,False
2020-01-01,52,1,0,0,0,False
2020-02-01,55,1,0,0,1,False
2020-03-01,45,1,0,0,0,False
2020-04-01,50,1,0,0,0,False
2020-05-01,51,1,0,0,0,False
2020-06-01,64,1,0,0,0,False
2020-07-01,58,1,0,0,0,False
2020-08-01,53,1,0,0,0,False
2020-09-01,48,1,0,0,0,False
2020-10-01,43,0,0,0,0,False
