date,Lesley Hazleton,Charles Limb,Deborah Rhodes,Neil Pasricha,Iraola,isPartial
2015-10-01,6,2,1,2,24,False
2015-11-01,6,1,2,1,23,False
2015-12-01,8,1,1,2,20,False
2016-01-01,4,1,1,1,24,False
2016-02-01,5,2,3,2,23,False
2016-03-01,4,1,2,6,26,False
2016-04-01,4,1,1,4,18,False
2016-05-01,4,1,2,3,32,False
2016-06-01,5,1,1,4,26,False
2016-07-01,4,1,1,2,28,False
2016-08-01,3,1,1,2,18,False
2016-09-01,4,1,2,3,25,False
2016-10-01,3,1,1,2,24,False
2016-11-01,6,1,2,3,33,False
2016-12-01,4,1,1,3,19,False
2017-01-01,5,1,1,2,18,False
2017-02-01,5,1,2,3,21,False
2017-03-01,6,2,3,2,18,False
2017-04-01,4,1,1,3,19,False
2017-05-01,2,1,1,2,24,False
2017-06-01,4,1,2,2,19,False
2017-07-01,4,1,1,2,20,False
2017-08-01,5,1,2,2,18,False
2017-09-01,5,1,1,2,18,False
2017-10-01,3,1,2,2,16,False
2017-11-01,6,1,2,3,14,False
2017-12-01,3,1,1,2,14,False
2018-01-01,3,1,2,2,19,False
2018-02-01,2,2,1,1,17,False
2018-03-01,2,1,1,2,14,False
2018-04-01,3,1,1,2,16,False
2018-05-01,3,1,2,1,17,False
2018-06-01,3,1,2,2,17,False
2018-07-01,4,1,2,1,16,False
2018-08-01,7,1,1,2,17,False
2018-09-01,5,1,2,3,18,False
2018-10-01,3,1,1,2,20,False
2018-11-01,10,1,1,3,17,False
2018-12-01,5,1,2,3,16,False
2019-01-01,3,1,1,2,16,False
2019-02-01,3,1,1,3,19,False
2019-03-01,2,1,1,1,15,False
2019-04-01,2,1,1,2,19,False
2019-05-01,7,1,1,2,16,False
2019-06-01,4,1,1,2,17,False
2019-07-01,3,1,1,3,24,False
2019-08-01,4,0,1,3,20,False
2019-09-01,4,1,1,2,17,False
2019-10-01,3,1,1,3,16,False
2019-11-01,3,1,1,9,16,False
2019-12-01,4,1,1,6,19,False
2020-01-01,4,1,1,7,28,False
2020-02-01,2,1,2,6,54,False
2020-03-01,4,1,1,3,21,False
2020-04-01,5,2,2,3,17,False
2020-05-01,3,1,1,2,14,False
2020-06-01,3,1,1,4,16,False
2020-07-01,3,1,1,3,34,False
2020-08-01,2,1,1,2,27,False
2020-09-01,2,1,1,3,19,False
2020-10-01,2,1,1,3,21,False
