date,Jane Fonda,Paddy Ashdown,Nate Garvis,Michelle Borkin,Iraola,isPartial
2014-12-01,27,0,0,0,1,False
2015-01-01,45,0,0,0,1,False
2015-02-01,27,0,0,0,1,False
2015-03-01,17,1,0,0,2,False
2015-04-01,20,1,0,0,2,False
2015-05-01,67,4,0,0,4,False
2015-06-01,35,1,0,0,2,False
2015-07-01,26,0,0,0,2,False
2015-08-01,25,0,0,0,1,False
2015-09-01,21,0,0,0,1,False
2015-10-01,22,0,0,0,1,False
2015-11-01,23,0,0,0,1,False
2015-12-01,27,1,0,0,1,False
2016-01-01,29,0,0,0,1,False
2016-02-01,20,0,0,0,1,False
2016-03-01,19,0,0,0,1,False
2016-04-01,19,0,0,0,1,False
2016-05-01,41,0,0,0,1,False
2016-06-01,24,1,0,0,1,False
2016-07-01,20,1,0,0,1,False
2016-08-01,19,0,0,0,1,False
2016-09-01,18,0,0,0,1,False
2016-10-01,19,0,0,0,1,False
2016-11-01,19,0,0,0,1,False
2016-12-01,19,0,0,0,1,False
2017-01-01,32,0,0,0,1,False
2017-02-01,20,0,0,0,1,False
2017-03-01,46,0,0,0,1,False
2017-04-01,27,0,0,0,1,False
2017-05-01,21,0,0,0,1,False
2017-06-01,18,1,0,0,1,False
2017-07-01,19,0,0,0,1,False
2017-08-01,21,0,0,0,1,False
2017-09-01,65,0,0,0,1,False
2017-10-01,62,0,0,0,1,False
2017-11-01,24,0,0,0,1,False
2017-12-01,32,0,0,0,1,False
2018-01-01,69,0,0,0,1,False
2018-02-01,41,0,0,0,1,False
2018-03-01,57,0,0,0,1,False
2018-04-01,28,0,0,0,1,False
2018-05-01,48,0,0,0,1,False
2018-06-01,37,0,0,0,1,False
2018-07-01,30,0,0,0,1,False
2018-08-01,36,0,0,0,1,False
2018-09-01,60,0,0,0,1,False
2018-10-01,36,0,0,0,1,False
2018-11-01,27,1,0,0,1,False
2018-12-01,28,12,0,0,1,False
2019-01-01,72,1,0,0,1,False
2019-02-01,51,0,0,0,1,False
2019-03-01,29,0,0,0,1,False
2019-04-01,31,0,0,0,1,False
2019-05-01,27,0,0,0,1,False
2019-06-01,23,0,0,0,1,False
2019-07-01,26,0,0,0,1,False
2019-08-01,44,0,0,0,1,False
2019-09-01,27,2,0,0,1,False
2019-10-01,53,0,0,0,1,False
2019-11-01,37,0,0,0,1,False
2019-12-01,29,0,0,0,1,False
2020-01-01,59,0,0,0,1,False
2020-02-01,77,0,0,0,2,False
2020-03-01,31,0,0,0,1,False
2020-04-01,42,0,0,0,1,False
2020-05-01,32,0,0,0,1,False
2020-06-01,36,0,0,0,1,False
2020-07-01,27,0,0,0,1,False
2020-08-01,23,0,0,0,1,False
2020-09-01,41,0,0,0,1,False
2020-10-01,37,0,0,0,1,False
