date,Bruce Aylward,Shirin Neshat,Mustafa Akyol,Robert Gupta + Joshua Roman,Iraola,isPartial
2016-02-01,1,15,8,5,23,False
2016-03-01,1,13,11,7,26,False
2016-04-01,0,12,5,9,18,False
2016-05-01,1,13,6,7,32,False
2016-06-01,1,11,6,6,26,False
2016-07-01,1,7,20,4,28,False
2016-08-01,1,8,14,5,18,False
2016-09-01,1,8,7,6,25,False
2016-10-01,1,12,6,6,24,False
2016-11-01,1,13,6,7,33,False
2016-12-01,0,8,12,5,19,False
2017-01-01,0,10,7,7,18,False
2017-02-01,0,16,8,5,21,False
2017-03-01,0,15,8,6,18,False
2017-04-01,0,13,10,7,19,False
2017-05-01,0,15,6,5,24,False
2017-06-01,0,9,7,5,19,False
2017-07-01,0,9,4,4,20,False
2017-08-01,0,16,3,8,18,False
2017-09-01,0,16,23,4,18,False
2017-10-01,0,15,9,7,16,False
2017-11-01,0,12,6,6,14,False
2017-12-01,0,12,6,6,14,False
2018-01-01,0,10,6,6,19,False
2018-02-01,0,13,5,8,17,False
2018-03-01,0,14,4,6,14,False
2018-04-01,0,12,4,7,16,False
2018-05-01,0,11,4,6,17,False
2018-06-01,0,13,4,4,17,False
2018-07-01,0,6,7,4,16,False
2018-08-01,1,7,4,4,17,False
2018-09-01,0,9,3,6,18,False
2018-10-01,0,12,4,5,20,False
2018-11-01,0,10,4,4,17,False
2018-12-01,0,9,3,3,16,False
2019-01-01,0,8,5,5,16,False
2019-02-01,0,10,2,5,19,False
2019-03-01,0,10,3,4,15,False
2019-04-01,0,9,4,6,19,False
2019-05-01,0,10,4,5,16,False
2019-06-01,0,7,3,5,17,False
2019-07-01,0,5,3,4,24,False
2019-08-01,0,5,3,5,20,False
2019-09-01,0,9,11,3,17,False
2019-10-01,0,16,3,4,16,False
2019-11-01,0,13,2,6,16,False
2019-12-01,1,12,3,6,19,False
2020-01-01,1,15,3,4,28,False
2020-02-01,36,16,3,4,54,False
2020-03-01,85,9,2,6,21,False
2020-04-01,43,10,2,6,17,False
2020-05-01,10,10,3,5,14,False
2020-06-01,1,8,3,6,16,False
2020-07-01,1,5,5,4,34,False
2020-08-01,2,6,3,5,27,False
2020-09-01,2,7,2,4,19,False
2020-10-01,1,9,2,5,21,False
