date,Elora Hardy,Roman Mars,The Lady Lifers,Martine Rothblatt,Iraola,isPartial
2011-04-01,0,12,0,3,32,False
2011-05-01,0,18,0,4,29,False
2011-06-01,0,18,0,8,30,False
2011-07-01,0,11,0,4,26,False
2011-08-01,0,10,0,3,39,False
2011-09-01,0,15,0,5,32,False
2011-10-01,0,19,0,5,30,False
2011-11-01,0,22,0,2,26,False
2011-12-01,1,26,0,2,25,False
2012-01-01,0,20,0,2,24,False
2012-02-01,0,28,0,3,28,False
2012-03-01,1,20,0,1,51,False
2012-04-01,1,18,0,2,32,False
2012-05-01,1,16,0,3,38,False
2012-06-01,1,19,0,2,30,False
2012-07-01,0,16,0,2,21,False
2012-08-01,0,16,0,1,22,False
2012-09-01,0,14,0,2,24,False
2012-10-01,1,17,0,2,24,False
2012-11-01,0,17,0,2,25,False
2012-12-01,1,16,0,3,22,False
2013-01-01,1,18,0,1,22,False
2013-02-01,1,21,0,2,23,False
2013-03-01,0,26,0,3,22,False
2013-04-01,0,18,0,2,24,False
2013-05-01,0,19,0,2,19,False
2013-06-01,1,13,0,2,22,False
2013-07-01,1,11,0,1,22,False
2013-08-01,1,14,0,5,22,False
2013-09-01,1,18,0,3,28,False
2013-10-01,1,18,0,1,24,False
2013-11-01,1,18,0,1,22,False
2013-12-01,1,15,0,4,23,False
2014-01-01,0,16,0,3,21,False
2014-02-01,1,23,0,1,23,False
2014-03-01,1,20,0,1,26,False
2014-04-01,1,16,0,2,20,False
2014-05-01,2,22,0,2,23,False
2014-06-01,1,10,0,23,19,False
2014-07-01,1,11,0,3,24,False
2014-08-01,2,15,0,3,31,False
2014-09-01,3,19,0,100,33,False
2014-10-01,1,20,0,33,26,False
2014-11-01,1,20,0,9,24,False
2014-12-01,1,16,0,17,20,False
2015-01-01,1,20,0,8,20,False
2015-02-01,1,23,0,40,25,False
2015-03-01,1,31,0,19,34,False
2015-04-01,1,23,0,13,35,False
2015-05-01,12,33,1,18,93,False
2015-06-01,8,27,1,15,41,False
2015-07-01,3,16,0,17,47,False
2015-08-01,3,16,0,6,32,False
2015-09-01,2,26,0,8,28,False
2015-10-01,2,30,0,10,23,False
2015-11-01,2,25,0,18,21,False
2015-12-01,1,21,0,5,19,False
2016-01-01,1,23,0,3,22,False
2016-02-01,0,31,0,8,22,False
2016-03-01,1,31,0,9,24,False
2016-04-01,3,24,0,14,17,False
2016-05-01,3,25,0,8,30,False
2016-06-01,1,20,0,8,24,False
2016-07-01,1,15,0,6,26,False
2016-08-01,2,16,0,14,17,False
2016-09-01,1,21,0,4,24,False
2016-10-01,2,20,0,3,22,False
2016-11-01,2,20,0,3,31,False
2016-12-01,2,21,0,4,18,False
2017-01-01,1,23,0,6,17,False
2017-02-01,2,27,0,3,19,False
2017-03-01,1,30,0,8,17,False
2017-04-01,1,22,0,5,17,False
2017-05-01,1,26,0,5,22,False
2017-06-01,1,23,0,2,17,False
2017-07-01,1,18,0,4,18,False
2017-08-01,1,14,0,5,16,False
2017-09-01,2,18,0,4,16,False
2017-10-01,1,22,0,4,15,False
2017-11-01,1,23,0,3,13,False
2017-12-01,0,20,0,8,13,False
2018-01-01,1,22,0,5,18,False
2018-02-01,2,21,0,5,16,False
2018-03-01,1,28,0,5,13,False
2018-04-01,1,20,0,5,15,False
2018-05-01,1,20,0,4,16,False
2018-06-01,1,16,0,3,16,False
2018-07-01,1,19,0,2,15,False
2018-08-01,1,17,0,4,16,False
2018-09-01,1,17,0,13,17,False
2018-10-01,1,24,0,3,19,False
2018-11-01,1,18,0,11,16,False
2018-12-01,1,15,0,6,15,False
2019-01-01,1,17,0,6,15,False
2019-02-01,1,25,0,9,17,False
2019-03-01,1,23,0,12,14,False
2019-04-01,1,26,0,5,18,False
2019-05-01,0,21,0,7,15,False
2019-06-01,1,16,0,12,16,False
2019-07-01,1,14,0,5,23,False
2019-08-01,1,18,0,5,18,False
2019-09-01,1,17,0,4,16,False
2019-10-01,2,22,0,3,15,False
2019-11-01,1,18,0,4,15,False
2019-12-01,1,18,0,4,17,False
2020-01-01,2,18,0,8,27,False
2020-02-01,1,21,0,5,50,False
2020-03-01,1,22,0,7,20,False
2020-04-01,2,20,0,3,16,False
2020-05-01,2,20,0,3,13,False
2020-06-01,1,14,0,3,15,False
2020-07-01,1,14,0,4,32,False
2020-08-01,2,19,0,4,25,False
2020-09-01,1,17,0,4,18,False
2020-10-01,1,22,0,1,20,False
