date,TED staff,Allan Adams,Bill and Melinda Gates,Jennifer Golbeck,Iraola,isPartial
2011-04-01,0,1,11,0,5,False
2011-05-01,0,1,11,0,5,False
2011-06-01,0,1,11,0,5,False
2011-07-01,0,0,11,0,4,False
2011-08-01,0,1,11,0,6,False
2011-09-01,0,1,12,0,5,False
2011-10-01,1,1,13,0,5,False
2011-11-01,0,1,12,0,4,False
2011-12-01,1,1,9,0,4,False
2012-01-01,1,1,13,0,4,False
2012-02-01,1,0,11,0,5,False
2012-03-01,0,0,10,0,8,False
2012-04-01,0,1,10,0,5,False
2012-05-01,0,1,10,0,6,False
2012-06-01,1,1,8,0,5,False
2012-07-01,1,1,10,0,3,False
2012-08-01,0,1,9,0,4,False
2012-09-01,1,1,11,0,4,False
2012-10-01,0,1,11,0,4,False
2012-11-01,1,1,9,0,4,False
2012-12-01,0,1,8,0,4,False
2013-01-01,1,1,10,0,4,False
2013-02-01,1,1,12,0,4,False
2013-03-01,1,1,11,0,4,False
2013-04-01,1,1,11,0,4,False
2013-05-01,0,0,11,0,3,False
2013-06-01,0,1,9,0,4,False
2013-07-01,0,1,9,0,4,False
2013-08-01,1,1,10,0,4,False
2013-09-01,1,0,11,0,5,False
2013-10-01,1,0,10,0,4,False
2013-11-01,1,1,11,0,4,False
2013-12-01,1,0,9,0,4,False
2014-01-01,1,1,10,0,3,False
2014-02-01,1,0,10,0,4,False
2014-03-01,0,1,9,0,4,False
2014-04-01,1,1,10,1,3,False
2014-05-01,1,0,10,0,4,False
2014-06-01,1,1,9,0,3,False
2014-07-01,1,1,9,0,4,False
2014-08-01,0,1,9,0,5,False
2014-09-01,1,1,9,0,5,False
2014-10-01,1,1,11,0,4,False
2014-11-01,1,1,9,0,4,False
2014-12-01,1,1,7,0,3,False
2015-01-01,1,1,11,0,3,False
2015-02-01,1,1,10,0,4,False
2015-03-01,1,0,10,0,6,False
2015-04-01,1,0,9,0,6,False
2015-05-01,1,1,9,0,15,False
2015-06-01,1,1,9,0,7,False
2015-07-01,1,1,8,0,8,False
2015-08-01,1,0,8,0,5,False
2015-09-01,1,0,10,0,5,False
2015-10-01,0,1,10,0,4,False
2015-11-01,1,1,8,0,3,False
2015-12-01,1,1,8,0,3,False
2016-01-01,1,0,8,0,4,False
2016-02-01,1,1,9,0,4,False
2016-03-01,1,1,8,0,4,False
2016-04-01,1,1,7,0,3,False
2016-05-01,1,1,7,0,5,False
2016-06-01,1,1,7,0,4,False
2016-07-01,0,1,6,0,4,False
2016-08-01,1,0,7,0,3,False
2016-09-01,1,0,6,0,4,False
2016-10-01,1,1,7,0,4,False
2016-11-01,1,0,9,0,5,False
2016-12-01,0,1,6,0,3,False
2017-01-01,1,1,6,0,3,False
2017-02-01,1,0,10,0,3,False
2017-03-01,1,0,10,0,3,False
2017-04-01,1,1,8,0,3,False
2017-05-01,1,1,8,0,4,False
2017-06-01,1,1,6,0,3,False
2017-07-01,1,1,7,0,3,False
2017-08-01,1,1,7,0,3,False
2017-09-01,1,1,8,0,3,False
2017-10-01,1,0,8,0,2,False
2017-11-01,0,1,10,0,2,False
2017-12-01,0,0,7,0,2,False
2018-01-01,1,0,9,0,3,False
2018-02-01,1,1,11,0,3,False
2018-03-01,1,0,9,0,2,False
2018-04-01,1,0,8,0,2,False
2018-05-01,1,0,7,0,3,False
2018-06-01,0,1,7,0,3,False
2018-07-01,0,0,6,0,2,False
2018-08-01,1,0,7,0,3,False
2018-09-01,1,0,7,0,3,False
2018-10-01,1,1,7,0,3,False
2018-11-01,1,1,6,0,3,False
2018-12-01,1,0,5,0,2,False
2019-01-01,1,1,8,0,2,False
2019-02-01,1,1,10,0,3,False
2019-03-01,1,1,7,0,2,False
2019-04-01,1,0,8,0,3,False
2019-05-01,1,0,8,0,2,False
2019-06-01,1,0,8,0,3,False
2019-07-01,1,0,7,0,4,False
2019-08-01,1,0,7,0,3,False
2019-09-01,0,0,15,0,3,False
2019-10-01,0,0,11,0,2,False
2019-11-01,1,0,9,0,2,False
2019-12-01,1,0,8,0,3,False
2020-01-01,0,0,8,0,4,False
2020-02-01,1,1,15,0,8,False
2020-03-01,1,0,15,0,3,False
2020-04-01,1,0,27,0,3,False
2020-05-01,1,0,26,0,2,False
2020-06-01,1,1,11,0,2,False
2020-07-01,1,0,12,0,5,False
2020-08-01,1,0,11,0,4,False
2020-09-01,1,0,9,0,3,False
2020-10-01,1,0,8,0,3,False
