date,Aparna Rao,Ben Kacyra,Allan Jones,Charlie Todd,Iraola,isPartial
2008-12-01,3,0,20,20,25,False
2009-01-01,2,0,25,11,30,False
2009-02-01,2,0,21,14,35,False
2009-03-01,0,0,25,9,24,False
2009-04-01,2,2,17,8,32,False
2009-05-01,2,0,23,14,39,False
2009-06-01,5,0,18,8,27,False
2009-07-01,4,0,27,9,26,False
2009-08-01,3,0,18,11,32,False
2009-09-01,2,0,18,13,38,False
2009-10-01,2,1,23,13,28,False
2009-11-01,2,1,19,17,36,False
2009-12-01,3,0,26,9,27,False
2010-01-01,1,1,14,15,35,False
2010-02-01,2,0,18,12,18,False
2010-03-01,2,0,18,15,26,False
2010-04-01,1,0,23,16,27,False
2010-05-01,2,0,23,10,24,False
2010-06-01,1,1,21,13,29,False
2010-07-01,2,0,18,10,20,False
2010-08-01,1,0,24,9,27,False
2010-09-01,2,0,18,9,32,False
2010-10-01,2,1,19,12,34,False
2010-11-01,1,0,25,14,42,False
2010-12-01,1,0,13,8,34,False
2011-01-01,2,0,18,14,28,False
2011-02-01,1,0,15,13,38,False
2011-03-01,3,0,17,20,46,False
2011-04-01,2,1,16,14,34,False
2011-05-01,2,0,20,9,31,False
2011-06-01,1,0,21,8,33,False
2011-07-01,2,0,21,10,28,False
2011-08-01,1,0,22,8,42,False
2011-09-01,1,0,18,9,34,False
2011-10-01,1,1,24,10,32,False
2011-11-01,8,3,22,18,28,False
2011-12-01,3,1,17,14,27,False
2012-01-01,5,1,22,13,25,False
2012-02-01,3,2,18,12,30,False
2012-03-01,1,1,18,13,54,False
2012-04-01,2,1,19,9,34,False
2012-05-01,1,0,19,10,41,False
2012-06-01,3,1,20,10,32,False
2012-07-01,2,0,19,11,23,False
2012-08-01,2,0,20,9,24,False
2012-09-01,2,0,19,10,26,False
2012-10-01,2,1,45,11,25,False
2012-11-01,2,0,20,12,27,False
2012-12-01,2,0,17,11,23,False
2013-01-01,2,1,17,11,24,False
2013-02-01,2,1,19,11,25,False
2013-03-01,2,1,20,9,23,False
2013-04-01,2,0,20,9,25,False
2013-05-01,2,0,20,8,21,False
2013-06-01,1,0,14,8,23,False
2013-07-01,2,0,18,12,23,False
2013-08-01,1,0,16,8,24,False
2013-09-01,1,1,15,8,30,False
2013-10-01,1,1,17,11,26,False
2013-11-01,1,1,14,9,24,False
2013-12-01,1,0,17,10,25,False
2014-01-01,1,0,18,9,22,False
2014-02-01,7,0,18,10,25,False
2014-03-01,3,1,20,8,28,False
2014-04-01,3,1,14,7,22,False
2014-05-01,2,0,13,8,25,False
2014-06-01,2,0,17,9,21,False
2014-07-01,1,0,14,13,26,False
2014-08-01,1,0,14,5,34,False
2014-09-01,1,1,13,8,35,False
2014-10-01,1,0,13,8,27,False
2014-11-01,1,0,14,8,26,False
2014-12-01,1,1,16,9,22,False
2015-01-01,2,1,20,13,21,False
2015-02-01,2,1,15,6,26,False
2015-03-01,2,0,13,8,37,False
2015-04-01,1,0,12,9,38,False
2015-05-01,2,0,13,45,100,False
2015-06-01,2,0,11,11,44,False
2015-07-01,2,1,15,10,50,False
2015-08-01,1,0,11,9,34,False
2015-09-01,2,0,14,9,30,False
2015-10-01,1,0,14,8,24,False
2015-11-01,1,0,16,14,23,False
2015-12-01,2,0,13,10,20,False
2016-01-01,1,0,16,11,24,False
2016-02-01,1,0,15,8,23,False
2016-03-01,2,0,15,8,26,False
2016-04-01,1,0,12,7,18,False
2016-05-01,1,0,11,7,32,False
2016-06-01,1,0,14,8,26,False
2016-07-01,1,0,12,6,28,False
2016-08-01,1,1,9,5,18,False
2016-09-01,1,0,11,7,25,False
2016-10-01,0,0,11,8,24,False
2016-11-01,1,0,13,13,33,False
2016-12-01,0,0,13,9,19,False
2017-01-01,1,0,15,7,18,False
2017-02-01,1,0,13,8,21,False
2017-03-01,1,0,11,6,18,False
2017-04-01,1,0,12,10,19,False
2017-05-01,2,0,12,6,24,False
2017-06-01,2,0,10,6,19,False
2017-07-01,1,0,12,6,20,False
2017-08-01,1,0,13,6,18,False
2017-09-01,1,0,19,7,18,False
2017-10-01,1,0,15,8,16,False
2017-11-01,1,0,13,8,14,False
2017-12-01,1,0,13,7,14,False
2018-01-01,1,0,13,9,19,False
2018-02-01,1,1,12,6,17,False
2018-03-01,1,0,11,7,14,False
2018-04-01,2,0,13,6,16,False
2018-05-01,1,0,11,6,17,False
2018-06-01,1,0,11,6,17,False
2018-07-01,1,0,10,4,16,False
2018-08-01,2,0,17,5,17,False
2018-09-01,2,0,14,6,18,False
2018-10-01,1,0,19,4,20,False
2018-11-01,2,0,11,7,17,False
2018-12-01,1,0,11,5,16,False
2019-01-01,1,0,13,7,16,False
2019-02-01,1,0,10,6,19,False
2019-03-01,2,0,12,3,15,False
2019-04-01,1,0,12,5,19,False
2019-05-01,1,0,19,5,16,False
2019-06-01,0,0,15,4,17,False
2019-07-01,1,0,11,5,24,False
2019-08-01,1,0,20,6,20,False
2019-09-01,1,0,13,7,17,False
2019-10-01,1,0,14,6,16,False
2019-11-01,1,0,10,6,16,False
2019-12-01,1,0,11,6,19,False
2020-01-01,1,0,10,5,28,False
2020-02-01,1,0,11,6,54,False
2020-03-01,1,0,14,4,21,False
2020-04-01,1,0,15,7,17,False
2020-05-01,1,0,20,8,14,False
2020-06-01,1,0,10,6,16,False
2020-07-01,3,0,14,7,34,False
2020-08-01,2,0,14,8,27,False
2020-09-01,0,0,15,6,19,False
2020-10-01,1,0,11,7,21,False
