date,Kate Adams,Tiq Milan and Kim Katrin Milan,Natalie Panek,Jia Jiang,Iraola,isPartial
2015-01-01,30,0,1,3,23,False
2015-02-01,35,0,1,5,25,False
2015-03-01,29,0,1,5,37,False
2015-04-01,25,0,1,7,39,False
2015-05-01,21,0,0,8,100,False
2015-06-01,25,0,0,4,40,False
2015-07-01,25,0,1,5,48,False
2015-08-01,22,0,0,6,37,False
2015-09-01,24,0,0,4,28,False
2015-10-01,23,0,0,5,23,False
2015-11-01,18,0,0,3,23,False
2015-12-01,19,0,0,5,19,False
2016-01-01,25,1,0,7,21,False
2016-02-01,26,0,2,4,24,False
2016-03-01,26,0,1,7,25,False
2016-04-01,21,0,1,5,19,False
2016-05-01,24,0,1,3,31,False
2016-06-01,20,0,0,7,27,False
2016-07-01,15,0,0,5,29,False
2016-08-01,16,0,1,3,18,False
2016-09-01,21,0,1,6,24,False
2016-10-01,16,0,0,4,26,False
2016-11-01,21,0,1,5,34,False
2016-12-01,25,0,2,19,17,False
2017-01-01,22,0,1,16,19,False
2017-02-01,26,1,1,12,22,False
2017-03-01,21,0,1,9,18,False
2017-04-01,17,0,1,10,18,False
2017-05-01,17,0,1,6,24,False
2017-06-01,15,0,0,11,18,False
2017-07-01,14,0,0,6,19,False
2017-08-01,17,0,0,7,19,False
2017-09-01,18,0,0,8,17,False
2017-10-01,17,0,1,6,16,False
2017-11-01,18,0,1,7,15,False
2017-12-01,20,0,0,6,13,False
2018-01-01,20,0,1,6,18,False
2018-02-01,19,0,0,7,15,False
2018-03-01,15,0,0,5,12,False
2018-04-01,14,0,0,5,16,False
2018-05-01,24,0,0,6,18,False
2018-06-01,21,0,0,5,19,False
2018-07-01,17,0,0,7,15,False
2018-08-01,14,0,1,5,17,False
2018-09-01,15,0,0,7,19,False
2018-10-01,11,0,0,6,21,False
2018-11-01,17,0,0,6,17,False
2018-12-01,16,0,1,6,15,False
2019-01-01,20,0,0,6,14,False
2019-02-01,21,0,0,5,18,False
2019-03-01,17,0,0,7,16,False
2019-04-01,14,1,0,6,20,False
2019-05-01,14,0,0,6,15,False
2019-06-01,13,0,0,5,18,False
2019-07-01,12,0,1,7,24,False
2019-08-01,12,0,0,9,19,False
2019-09-01,12,0,0,7,17,False
2019-10-01,13,0,0,7,17,False
2019-11-01,14,0,0,6,18,False
2019-12-01,11,0,0,6,18,False
2020-01-01,17,0,0,5,28,False
2020-02-01,12,0,0,6,52,False
2020-03-01,12,0,0,4,22,False
2020-04-01,15,0,1,5,16,False
2020-05-01,17,0,0,5,12,False
2020-06-01,10,0,1,6,16,False
2020-07-01,12,0,0,6,35,False
2020-08-01,15,0,0,5,26,False
2020-09-01,12,0,0,6,19,False
2020-10-01,11,0,1,5,21,False
