date,Angela Belcher,Mike Matas,Arvind Gupta,Eli Pariser,Iraola,isPartial
2019-08-01,1,1,13,2,20,False
2019-09-01,1,0,13,1,17,False
2019-10-01,1,0,11,3,16,False
2019-11-01,1,0,12,3,16,False
2019-12-01,0,0,16,1,19,False
2020-01-01,0,1,13,4,28,False
2020-02-01,0,0,15,2,54,False
2020-03-01,1,1,10,5,21,False
2020-04-01,1,0,10,2,17,False
2020-05-01,1,0,9,1,14,False
2020-06-01,1,0,7,2,16,False
2020-07-01,1,0,10,2,34,False
2020-08-01,1,1,9,2,27,False
2020-09-01,1,1,9,3,19,False
2020-10-01,1,1,9,2,21,False
