date,Siyanda Mohutsiwa,Alex Kipman,Angélica Dass,Dan Gross,Iraola,isPartial
2012-01-01,0,1,0,6,25,False
2012-02-01,0,1,0,7,30,False
2012-03-01,0,1,0,6,54,False
2012-04-01,0,1,0,8,34,False
2012-05-01,0,1,0,8,41,False
2012-06-01,0,2,0,5,32,False
2012-07-01,0,1,1,12,23,False
2012-08-01,0,1,1,6,24,False
2012-09-01,0,1,1,5,26,False
2012-10-01,0,1,1,5,25,False
2012-11-01,0,1,0,8,27,False
2012-12-01,0,1,0,10,23,False
2013-01-01,0,1,0,9,24,False
2013-02-01,0,1,0,5,25,False
2013-03-01,0,1,0,5,23,False
2013-04-01,0,1,0,6,25,False
2013-05-01,0,1,1,5,21,False
2013-06-01,0,1,1,7,23,False
2013-07-01,0,1,0,5,23,False
2013-08-01,0,1,0,3,24,False
2013-09-01,0,1,0,5,30,False
2013-10-01,0,1,0,6,26,False
2013-11-01,1,1,1,7,24,False
2013-12-01,0,3,0,7,25,False
2014-01-01,0,0,1,8,22,False
2014-02-01,1,1,0,8,25,False
2014-03-01,0,1,2,9,28,False
2014-04-01,0,1,1,6,22,False
2014-05-01,0,1,0,6,25,False
2014-06-01,0,0,0,7,21,False
2014-07-01,0,1,0,7,26,False
2014-08-01,1,1,0,6,34,False
2014-09-01,1,1,1,5,35,False
2014-10-01,0,1,0,9,27,False
2014-11-01,1,1,0,8,26,False
2014-12-01,1,1,0,6,22,False
2015-01-01,0,18,1,7,21,False
2015-02-01,0,4,0,6,26,False
2015-03-01,0,2,0,7,37,False
2015-04-01,0,3,0,7,38,False
2015-05-01,0,4,0,6,100,False
2015-06-01,0,3,1,6,44,False
2015-07-01,0,1,0,5,50,False
2015-08-01,0,1,0,6,34,False
2015-09-01,0,1,0,6,30,False
2015-10-01,0,2,0,8,24,False
2015-11-01,0,1,0,7,23,False
2015-12-01,0,1,1,5,20,False
2016-01-01,0,0,0,8,24,False
2016-02-01,0,4,0,6,23,False
2016-03-01,1,4,1,7,26,False
2016-04-01,1,3,2,8,18,False
2016-05-01,1,2,1,8,32,False
2016-06-01,0,2,0,6,26,False
2016-07-01,1,2,1,3,28,False
2016-08-01,1,1,1,5,18,False
2016-09-01,1,2,2,6,25,False
2016-10-01,0,2,0,8,24,False
2016-11-01,2,0,1,8,33,False
2016-12-01,1,1,0,7,19,False
2017-01-01,0,2,1,10,18,False
2017-02-01,0,1,0,8,21,False
2017-03-01,0,1,1,9,18,False
2017-04-01,0,1,0,8,19,False
2017-05-01,0,3,1,6,24,False
2017-06-01,0,1,0,5,19,False
2017-07-01,1,1,0,6,20,False
2017-08-01,0,1,0,6,18,False
2017-09-01,0,1,1,6,18,False
2017-10-01,0,4,0,9,16,False
2017-11-01,0,1,1,8,14,False
2017-12-01,0,1,1,8,14,False
2018-01-01,0,1,1,8,19,False
2018-02-01,0,1,1,10,17,False
2018-03-01,0,2,0,11,14,False
2018-04-01,1,1,1,9,16,False
2018-05-01,0,1,0,10,17,False
2018-06-01,0,2,0,7,17,False
2018-07-01,0,1,0,7,16,False
2018-08-01,1,1,0,8,17,False
2018-09-01,0,1,0,8,18,False
2018-10-01,0,1,0,10,20,False
2018-11-01,0,1,0,12,17,False
2018-12-01,0,1,1,8,16,False
2019-01-01,0,1,0,11,16,False
2019-02-01,0,4,2,15,19,False
2019-03-01,0,2,1,12,15,False
2019-04-01,0,0,0,10,19,False
2019-05-01,0,2,1,6,16,False
2019-06-01,0,1,1,5,17,False
2019-07-01,0,1,1,8,24,False
2019-08-01,0,1,0,10,20,False
2019-09-01,0,1,0,10,17,False
2019-10-01,0,1,1,9,16,False
2019-11-01,0,1,0,11,16,False
2019-12-01,0,1,1,9,19,False
2020-01-01,0,1,0,12,28,False
2020-02-01,0,0,1,15,54,False
2020-03-01,1,1,0,22,21,False
2020-04-01,0,1,0,21,17,False
2020-05-01,0,1,0,11,14,False
2020-06-01,0,0,1,14,16,False
2020-07-01,0,0,1,12,34,False
2020-08-01,0,0,0,18,27,False
2020-09-01,0,1,0,18,19,False
2020-10-01,0,0,1,20,21,False
