date,Dale Dougherty,Christopher McDougall,Suheir Hammad,Nigel Marsh,Iraola,isPartial
2015-09-01,1,4,3,4,30,False
2015-10-01,1,5,2,4,24,False
2015-11-01,1,7,2,3,23,False
2015-12-01,0,5,1,3,20,False
2016-01-01,2,6,2,3,24,False
2016-02-01,1,4,2,3,23,False
2016-03-01,1,6,1,2,26,False
2016-04-01,2,5,3,3,18,False
2016-05-01,1,5,2,2,32,False
2016-06-01,1,4,2,2,26,False
2016-07-01,1,3,2,2,28,False
2016-08-01,1,4,2,1,18,False
2016-09-01,1,4,2,2,25,False
2016-10-01,1,6,2,3,24,False
2016-11-01,1,5,2,1,33,False
2016-12-01,1,6,2,2,19,False
2017-01-01,1,5,2,2,18,False
2017-02-01,1,5,1,2,21,False
2017-03-01,1,6,2,2,18,False
2017-04-01,2,5,2,3,19,False
2017-05-01,1,6,2,2,24,False
2017-06-01,1,4,1,2,19,False
2017-07-01,0,4,2,2,20,False
2017-08-01,1,6,1,1,18,False
2017-09-01,1,3,1,1,18,False
2017-10-01,1,4,1,2,16,False
2017-11-01,3,4,1,2,14,False
2017-12-01,0,3,1,2,14,False
2018-01-01,1,4,1,1,19,False
2018-02-01,0,3,1,2,17,False
2018-03-01,1,4,2,2,14,False
2018-04-01,0,4,1,2,16,False
2018-05-01,1,4,2,2,17,False
2018-06-01,1,3,1,2,17,False
2018-07-01,0,3,0,2,16,False
2018-08-01,1,3,1,2,17,False
2018-09-01,1,3,1,2,18,False
2018-10-01,0,3,1,2,20,False
2018-11-01,1,3,0,2,17,False
2018-12-01,0,4,1,1,16,False
2019-01-01,1,3,1,2,16,False
2019-02-01,1,5,2,1,19,False
2019-03-01,0,2,2,1,15,False
2019-04-01,1,3,1,1,19,False
2019-05-01,1,3,0,1,16,False
2019-06-01,1,4,0,1,17,False
2019-07-01,1,2,0,2,24,False
2019-08-01,0,3,1,2,20,False
2019-09-01,1,3,1,2,17,False
2019-10-01,1,6,1,1,16,False
2019-11-01,1,4,1,1,16,False
2019-12-01,0,4,1,1,19,False
2020-01-01,1,4,1,1,28,False
2020-02-01,1,4,1,1,54,False
2020-03-01,1,3,0,1,21,False
2020-04-01,1,5,1,1,17,False
2020-05-01,0,4,0,2,14,False
2020-06-01,0,3,1,2,16,False
2020-07-01,1,4,1,1,34,False
2020-08-01,1,3,1,2,27,False
2020-09-01,1,3,1,2,19,False
2020-10-01,1,2,0,2,21,False
