date,Kim Gorgens,Zainab Salbi,Jason Fried,Dan Phillips,Iraola,isPartial
2013-03-01,1,4,11,12,23,False
2013-04-01,1,3,12,15,25,False
2013-05-01,1,3,11,10,21,False
2013-06-01,0,2,12,13,23,False
2013-07-01,0,2,10,9,23,False
2013-08-01,1,2,9,12,24,False
2013-09-01,1,2,11,10,30,False
2013-10-01,0,2,11,14,26,False
2013-11-01,0,2,13,15,24,False
2013-12-01,0,2,11,12,25,False
2014-01-01,0,3,7,14,22,False
2014-02-01,1,2,12,15,25,False
2014-03-01,1,2,8,12,28,False
2014-04-01,1,2,9,11,22,False
2014-05-01,1,3,12,14,25,False
2014-06-01,0,3,10,13,21,False
2014-07-01,0,2,7,12,26,False
2014-08-01,1,2,7,12,34,False
2014-09-01,1,3,9,12,35,False
2014-10-01,1,1,9,9,27,False
2014-11-01,0,1,8,10,26,False
2014-12-01,1,1,7,9,22,False
2015-01-01,0,3,9,10,21,False
2015-02-01,0,3,9,8,26,False
2015-03-01,0,2,5,11,37,False
2015-04-01,1,4,8,12,38,False
2015-05-01,0,1,7,8,100,False
2015-06-01,0,2,6,10,44,False
2015-07-01,0,2,7,9,50,False
2015-08-01,0,2,8,8,34,False
2015-09-01,0,1,7,11,30,False
2015-10-01,0,4,7,9,24,False
2015-11-01,0,7,8,9,23,False
2015-12-01,0,5,8,8,20,False
2016-01-01,0,2,11,11,24,False
2016-02-01,1,3,8,10,23,False
2016-03-01,0,2,9,9,26,False
2016-04-01,0,2,7,10,18,False
2016-05-01,1,3,8,17,32,False
2016-06-01,0,2,7,12,26,False
2016-07-01,1,1,10,6,28,False
2016-08-01,0,1,9,5,18,False
2016-09-01,1,5,8,8,25,False
2016-10-01,0,4,7,8,24,False
2016-11-01,1,4,10,8,33,False
2016-12-01,0,3,8,8,19,False
2017-01-01,0,2,11,9,18,False
2017-02-01,1,2,8,9,21,False
2017-03-01,0,2,10,11,18,False
2017-04-01,0,2,9,8,19,False
2017-05-01,0,1,8,10,24,False
2017-06-01,0,2,7,9,19,False
2017-07-01,0,2,10,7,20,False
2017-08-01,0,2,8,7,18,False
2017-09-01,0,1,8,9,18,False
2017-10-01,0,1,7,8,16,False
2017-11-01,0,3,6,8,14,False
2017-12-01,0,2,7,9,14,False
2018-01-01,1,3,8,6,19,False
2018-02-01,0,5,8,7,17,False
2018-03-01,0,3,7,6,14,False
2018-04-01,0,2,7,7,16,False
2018-05-01,0,4,7,8,17,False
2018-06-01,0,3,6,9,17,False
2018-07-01,0,2,16,9,16,False
2018-08-01,0,7,14,6,17,False
2018-09-01,0,5,8,9,18,False
2018-10-01,0,3,11,9,20,False
2018-11-01,0,3,9,8,17,False
2018-12-01,0,2,12,7,16,False
2019-01-01,0,3,10,9,16,False
2019-02-01,0,2,8,7,19,False
2019-03-01,0,3,8,5,15,False
2019-04-01,0,2,8,8,19,False
2019-05-01,0,3,5,8,16,False
2019-06-01,0,2,7,7,17,False
2019-07-01,0,2,8,6,24,False
2019-08-01,0,1,8,7,20,False
2019-09-01,0,1,8,7,17,False
2019-10-01,0,2,11,8,16,False
2019-11-01,0,1,7,7,16,False
2019-12-01,0,1,7,6,19,False
2020-01-01,0,2,8,8,28,False
2020-02-01,0,1,9,6,54,False
2020-03-01,0,1,10,7,21,False
2020-04-01,0,1,8,6,17,False
2020-05-01,0,1,8,7,14,False
2020-06-01,0,2,12,6,16,False
2020-07-01,0,1,6,8,34,False
2020-08-01,0,2,6,5,27,False
2020-09-01,0,0,7,6,19,False
2020-10-01,0,1,4,7,21,False
