date,Will Marshall,Nancy Frates,Joe Landolina,Rosie King,Iraola,isPartial
2016-10-01,20,1,1,10,24,False
2016-11-01,21,0,0,9,33,False
2016-12-01,18,0,0,7,19,False
2017-01-01,19,0,3,11,18,False
2017-02-01,22,1,1,9,21,False
2017-03-01,25,0,0,9,18,False
2017-04-01,20,0,0,8,19,False
2017-05-01,18,1,0,8,24,False
2017-06-01,16,0,1,8,19,False
2017-07-01,18,0,0,7,20,False
2017-08-01,20,0,1,7,18,False
2017-09-01,19,0,0,7,18,False
2017-10-01,21,0,1,8,16,False
2017-11-01,20,0,1,6,14,False
2017-12-01,18,0,0,8,14,False
2018-01-01,21,0,0,13,19,False
2018-02-01,18,0,1,8,17,False
2018-03-01,24,0,0,6,14,False
2018-04-01,19,0,0,7,16,False
2018-05-01,18,1,0,7,17,False
2018-06-01,17,0,1,6,17,False
2018-07-01,17,0,0,10,16,False
2018-08-01,17,0,1,9,17,False
2018-09-01,19,0,0,7,18,False
2018-10-01,16,0,0,8,20,False
2018-11-01,25,0,0,6,17,False
2018-12-01,26,0,0,7,16,False
2019-01-01,19,1,1,6,16,False
2019-02-01,19,1,0,7,19,False
2019-03-01,19,0,0,4,15,False
2019-04-01,17,0,0,8,19,False
2019-05-01,17,0,0,6,16,False
2019-06-01,14,1,0,5,17,False
2019-07-01,12,0,0,8,24,False
2019-08-01,15,0,0,5,20,False
2019-09-01,18,0,0,5,17,False
2019-10-01,18,0,0,6,16,False
2019-11-01,23,0,0,6,16,False
2019-12-01,16,1,1,5,19,False
2020-01-01,17,1,0,7,28,False
2020-02-01,19,1,0,6,54,False
2020-03-01,64,0,0,8,21,False
2020-04-01,30,0,0,8,17,False
2020-05-01,32,0,0,8,14,False
2020-06-01,27,0,0,6,16,False
2020-07-01,22,0,0,6,34,False
2020-08-01,19,0,0,5,27,False
2020-09-01,20,0,0,7,19,False
2020-10-01,20,0,0,4,21,False
