date,Becky  Blanton,Marcus du Sautoy,Matthew White,Stefana Broadbent,Iraola,isPartial
2013-06-01,0,6,42,0,14,False
2013-07-01,0,5,46,1,14,False
2013-08-01,0,5,39,0,15,False
2013-09-01,0,5,44,0,18,False
2013-10-01,0,4,43,0,16,False
2013-11-01,1,5,41,0,14,False
2013-12-01,0,4,43,0,15,False
2014-01-01,1,4,43,1,13,False
2014-02-01,0,3,41,0,15,False
2014-03-01,0,5,44,0,17,False
2014-04-01,0,3,37,0,13,False
2014-05-01,0,4,34,0,15,False
2014-06-01,0,2,32,0,12,False
2014-07-01,0,3,37,0,15,False
2014-08-01,0,2,36,0,20,False
2014-09-01,0,4,43,0,21,False
2014-10-01,0,4,36,0,17,False
2014-11-01,0,3,37,0,16,False
2014-12-01,0,3,37,0,13,False
2015-01-01,0,4,42,0,13,False
2015-02-01,0,4,48,1,16,False
2015-03-01,0,3,62,0,22,False
2015-04-01,0,2,49,0,23,False
2015-05-01,0,2,41,1,60,False
2015-06-01,0,3,37,0,27,False
2015-07-01,0,2,37,1,30,False
2015-08-01,0,2,34,1,21,False
2015-09-01,0,4,32,0,18,False
2015-10-01,0,4,33,0,15,False
2015-11-01,0,2,32,0,14,False
2015-12-01,0,2,36,0,12,False
2016-01-01,0,2,36,0,14,False
2016-02-01,0,3,34,0,14,False
2016-03-01,0,2,31,0,15,False
2016-04-01,0,3,30,0,11,False
2016-05-01,0,4,27,0,19,False
2016-06-01,1,5,30,0,15,False
2016-07-01,0,4,30,1,17,False
2016-08-01,0,2,28,0,11,False
2016-09-01,0,3,33,0,15,False
2016-10-01,0,3,72,0,14,False
2016-11-01,0,2,30,0,20,False
2016-12-01,0,3,31,0,11,False
2017-01-01,0,2,42,0,11,False
2017-02-01,1,2,42,0,13,False
2017-03-01,0,2,30,0,11,False
2017-04-01,0,3,32,0,11,False
2017-05-01,1,4,28,0,14,False
2017-06-01,0,4,28,0,11,False
2017-07-01,0,2,26,0,12,False
2017-08-01,0,2,34,0,11,False
2017-09-01,0,3,28,1,11,False
2017-10-01,0,2,30,0,10,False
2017-11-01,0,2,26,0,9,False
2017-12-01,0,2,29,0,8,False
2018-01-01,0,2,26,0,11,False
2018-02-01,0,3,28,0,10,False
2018-03-01,0,2,29,0,8,False
2018-04-01,0,4,28,1,10,False
2018-05-01,0,2,30,0,10,False
2018-06-01,0,2,27,0,10,False
2018-07-01,0,2,22,0,9,False
2018-08-01,0,2,33,0,11,False
2018-09-01,0,2,50,0,11,False
2018-10-01,0,2,30,0,12,False
2018-11-01,0,2,27,0,10,False
2018-12-01,0,3,34,0,9,False
2019-01-01,0,2,33,0,10,False
2019-02-01,0,3,29,0,11,False
2019-03-01,1,4,26,0,9,False
2019-04-01,0,2,22,0,12,False
2019-05-01,0,3,28,0,9,False
2019-06-01,0,2,26,0,10,False
2019-07-01,0,2,25,0,15,False
2019-08-01,0,2,26,0,12,False
2019-09-01,0,1,22,0,10,False
2019-10-01,0,2,25,0,10,False
2019-11-01,0,1,24,0,10,False
2019-12-01,0,2,28,0,11,False
2020-01-01,0,2,26,0,17,False
2020-02-01,0,2,29,0,32,False
2020-03-01,0,2,23,0,13,False
2020-04-01,0,2,25,0,10,False
2020-05-01,0,1,26,0,8,False
2020-06-01,0,2,30,0,10,False
2020-07-01,0,2,27,0,20,False
2020-08-01,0,1,28,0,16,False
2020-09-01,0,1,23,0,12,False
2020-10-01,0,1,22,0,13,False
