date,Julie Taymor,Peter van Manen,Beardyman,Daniel H. Cohen,Iraola,isPartial
2014-04-01,7,0,13,0,15,False
2014-05-01,6,1,12,0,17,False
2014-06-01,7,0,13,0,14,False
2014-07-01,3,1,10,0,17,False
2014-08-01,8,1,14,0,23,False
2014-09-01,8,0,16,0,24,False
2014-10-01,8,0,11,0,18,False
2014-11-01,8,0,19,0,17,False
2014-12-01,6,1,11,0,15,False
2015-01-01,6,0,12,1,14,False
2015-02-01,9,1,11,0,18,False
2015-03-01,7,0,14,0,25,False
2015-04-01,8,0,13,0,25,False
2015-05-01,8,0,21,0,67,False
2015-06-01,9,0,16,0,30,False
2015-07-01,6,0,12,0,34,False
2015-08-01,7,0,15,0,23,False
2015-09-01,8,0,13,0,20,False
2015-10-01,6,0,15,0,16,False
2015-11-01,5,0,12,0,15,False
2015-12-01,4,1,9,0,14,False
2016-01-01,6,0,10,0,16,False
2016-02-01,7,0,8,0,16,False
2016-03-01,7,0,6,0,17,False
2016-04-01,8,0,7,0,12,False
2016-05-01,7,0,8,0,22,False
2016-06-01,5,0,5,0,17,False
2016-07-01,4,0,6,0,19,False
2016-08-01,4,0,8,0,12,False
2016-09-01,6,0,6,0,17,False
2016-10-01,5,0,4,0,16,False
2016-11-01,7,0,5,0,22,False
2016-12-01,7,0,5,0,13,False
2017-01-01,5,0,7,0,12,False
2017-02-01,6,0,7,0,14,False
2017-03-01,7,0,3,0,12,False
2017-04-01,7,1,4,0,13,False
2017-05-01,5,0,3,0,16,False
2017-06-01,5,0,2,0,13,False
2017-07-01,6,0,5,0,13,False
2017-08-01,4,1,3,0,12,False
2017-09-01,7,1,3,0,12,False
2017-10-01,9,0,4,0,11,False
2017-11-01,8,0,4,0,10,False
2017-12-01,17,0,2,0,9,False
2018-01-01,5,0,3,0,13,False
2018-02-01,6,0,3,0,11,False
2018-03-01,5,0,4,0,9,False
2018-04-01,6,0,6,0,11,False
2018-05-01,4,0,4,0,11,False
2018-06-01,4,0,3,0,12,False
2018-07-01,3,0,3,0,10,False
2018-08-01,4,0,5,0,12,False
2018-09-01,5,0,3,0,12,False
2018-10-01,6,0,4,0,13,False
2018-11-01,4,1,4,0,11,False
2018-12-01,6,0,3,0,11,False
2019-01-01,3,0,3,0,11,False
2019-02-01,5,1,2,0,13,False
2019-03-01,4,0,4,0,10,False
2019-04-01,4,0,5,0,13,False
2019-05-01,4,0,6,0,11,False
2019-06-01,6,1,4,0,11,False
2019-07-01,7,0,4,0,16,False
2019-08-01,2,1,6,0,13,False
2019-09-01,5,0,7,0,12,False
2019-10-01,5,0,5,0,11,False
2019-11-01,4,0,4,0,11,False
2019-12-01,4,0,2,0,13,False
2020-01-01,4,0,3,0,19,False
2020-02-01,5,0,4,0,36,False
2020-03-01,3,0,3,0,14,False
2020-04-01,4,0,3,0,11,False
2020-05-01,4,0,2,0,9,False
2020-06-01,3,0,2,0,11,False
2020-07-01,4,0,3,0,23,False
2020-08-01,4,0,2,0,18,False
2020-09-01,5,0,2,0,13,False
2020-10-01,6,0,1,0,14,False
