date,Aspen Baker,Alec Soth + Stacey Baker,Salvatore Iaconesi,Marlene Zuk,Iraola,isPartial
2010-04-01,1,22,0,0,27,False
2010-05-01,2,22,0,0,24,False
2010-06-01,3,15,0,0,29,False
2010-07-01,0,17,0,2,20,False
2010-08-01,0,15,0,1,27,False
2010-09-01,2,21,0,3,32,False
2010-10-01,1,23,1,1,34,False
2010-11-01,1,24,0,2,42,False
2010-12-01,2,25,1,0,34,False
2011-01-01,2,27,0,1,28,False
2011-02-01,3,21,0,1,38,False
2011-03-01,1,18,0,0,46,False
2011-04-01,2,19,0,1,34,False
2011-05-01,1,28,1,0,31,False
2011-06-01,1,16,1,1,33,False
2011-07-01,1,15,0,2,28,False
2011-08-01,1,16,0,1,42,False
2011-09-01,1,20,0,1,34,False
2011-10-01,2,23,1,2,32,False
2011-11-01,2,24,1,1,28,False
2011-12-01,2,18,0,1,27,False
2012-01-01,2,20,0,2,25,False
2012-02-01,1,25,0,2,30,False
2012-03-01,2,25,0,1,54,False
2012-04-01,1,19,0,1,34,False
2012-05-01,1,16,0,0,41,False
2012-06-01,1,14,1,1,32,False
2012-07-01,1,15,1,1,23,False
2012-08-01,1,12,0,1,24,False
2012-09-01,2,15,23,1,26,False
2012-10-01,1,22,2,1,25,False
2012-11-01,3,19,3,2,27,False
2012-12-01,1,16,2,1,23,False
2013-01-01,2,14,1,1,24,False
2013-02-01,1,17,1,1,25,False
2013-03-01,1,18,2,3,23,False
2013-04-01,1,18,2,3,25,False
2013-05-01,2,9,1,3,21,False
2013-06-01,1,16,1,1,23,False
2013-07-01,1,12,0,1,23,False
2013-08-01,1,11,2,1,24,False
2013-09-01,2,18,1,2,30,False
2013-10-01,1,15,1,2,26,False
2013-11-01,1,12,1,2,24,False
2013-12-01,1,12,1,1,25,False
2014-01-01,1,11,1,1,22,False
2014-02-01,1,17,1,1,25,False
2014-03-01,2,12,1,1,28,False
2014-04-01,1,16,1,1,22,False
2014-05-01,2,14,1,1,25,False
2014-06-01,1,12,1,1,21,False
2014-07-01,1,10,1,1,26,False
2014-08-01,1,8,1,1,34,False
2014-09-01,1,11,1,1,35,False
2014-10-01,2,14,2,1,27,False
2014-11-01,1,12,1,2,26,False
2014-12-01,1,10,1,1,22,False
2015-01-01,2,15,1,1,21,False
2015-02-01,2,19,1,1,26,False
2015-03-01,1,15,1,0,37,False
2015-04-01,1,16,0,1,38,False
2015-05-01,1,12,0,1,100,False
2015-06-01,3,12,1,1,44,False
2015-07-01,2,11,2,1,50,False
2015-08-01,2,12,1,1,34,False
2015-09-01,1,16,1,1,30,False
2015-10-01,1,27,0,1,24,False
2015-11-01,1,19,1,1,23,False
2015-12-01,2,14,1,0,20,False
2016-01-01,2,15,0,1,24,False
2016-02-01,2,17,1,1,23,False
2016-03-01,1,15,1,1,26,False
2016-04-01,1,13,1,1,18,False
2016-05-01,1,15,0,1,32,False
2016-06-01,1,9,1,1,26,False
2016-07-01,1,8,1,1,28,False
2016-08-01,1,9,1,1,18,False
2016-09-01,1,9,1,0,25,False
2016-10-01,1,12,0,0,24,False
2016-11-01,2,10,0,0,33,False
2016-12-01,1,11,0,0,19,False
2017-01-01,1,12,1,1,18,False
2017-02-01,0,11,0,0,21,False
2017-03-01,2,13,0,1,18,False
2017-04-01,2,10,1,1,19,False
2017-05-01,1,10,0,0,24,False
2017-06-01,2,8,0,1,19,False
2017-07-01,1,7,0,0,20,False
2017-08-01,1,8,1,0,18,False
2017-09-01,1,15,0,0,18,False
2017-10-01,1,16,0,0,16,False
2017-11-01,1,14,0,1,14,False
2017-12-01,1,12,0,0,14,False
2018-01-01,1,11,0,0,19,False
2018-02-01,2,10,0,1,17,False
2018-03-01,2,11,0,1,14,False
2018-04-01,2,9,0,0,16,False
2018-05-01,1,8,1,0,17,False
2018-06-01,1,6,0,0,17,False
2018-07-01,1,6,0,0,16,False
2018-08-01,2,5,0,0,17,False
2018-09-01,1,7,0,0,18,False
2018-10-01,2,9,0,0,20,False
2018-11-01,3,10,0,1,17,False
2018-12-01,2,9,0,0,16,False
2019-01-01,2,13,1,0,16,False
2019-02-01,1,9,0,0,19,False
2019-03-01,1,15,1,0,15,False
2019-04-01,1,16,0,1,19,False
2019-05-01,1,8,0,0,16,False
2019-06-01,2,9,1,0,17,False
2019-07-01,1,6,0,0,24,False
2019-08-01,1,6,0,0,20,False
2019-09-01,1,9,0,0,17,False
2019-10-01,1,12,0,0,16,False
2019-11-01,1,13,0,1,16,False
2019-12-01,1,11,0,0,19,False
2020-01-01,1,9,0,1,28,False
2020-02-01,1,10,0,0,54,False
2020-03-01,1,10,0,0,21,False
2020-04-01,1,15,0,0,17,False
2020-05-01,1,12,0,1,14,False
2020-06-01,0,9,0,0,16,False
2020-07-01,1,7,0,0,34,False
2020-08-01,1,9,0,0,27,False
2020-09-01,1,13,1,0,19,False
2020-10-01,1,11,0,1,21,False
