date,Bobby McFerrin,Daniel Kahneman,Harsha Bhogle,Gary Flake,Iraola,isPartial
2009-12-01,86,3,6,1,10,False
2010-01-01,66,4,6,0,13,False
2010-02-01,55,6,7,1,7,False
2010-03-01,78,9,14,4,10,False
2010-04-01,89,7,16,1,10,False
2010-05-01,100,4,9,1,9,False
2010-06-01,65,4,5,1,11,False
2010-07-01,66,4,5,1,8,False
2010-08-01,60,3,7,1,10,False
2010-09-01,47,5,6,1,12,False
2010-10-01,52,5,12,2,13,False
2010-11-01,48,5,9,1,16,False
2010-12-01,52,4,7,1,13,False
2011-01-01,51,3,9,0,11,False
2011-02-01,57,5,14,1,14,False
2011-03-01,58,4,36,1,17,False
2011-04-01,57,4,23,0,13,False
2011-05-01,57,4,17,0,12,False
2011-06-01,61,3,9,0,12,False
2011-07-01,60,4,17,1,10,False
2011-08-01,48,4,11,1,16,False
2011-09-01,46,5,13,0,13,False
2011-10-01,46,12,9,0,12,False
2011-11-01,44,21,9,2,11,False
2011-12-01,53,17,12,1,10,False
2012-01-01,50,21,17,0,10,False
2012-02-01,50,17,9,0,11,False
2012-03-01,53,16,12,0,20,False
2012-04-01,53,13,15,0,13,False
2012-05-01,44,15,14,0,15,False
2012-06-01,52,18,7,1,12,False
2012-07-01,40,14,6,1,9,False
2012-08-01,37,14,8,0,9,False
2012-09-01,42,13,10,0,10,False
2012-10-01,39,14,7,0,9,False
2012-11-01,42,15,7,0,10,False
2012-12-01,39,15,9,0,9,False
2013-01-01,42,15,7,0,9,False
2013-02-01,47,16,7,1,9,False
2013-03-01,48,20,7,0,9,False
2013-04-01,49,17,16,0,10,False
2013-05-01,49,15,14,1,8,False
2013-06-01,51,12,14,0,9,False
2013-07-01,36,14,11,0,9,False
2013-08-01,40,20,6,0,9,False
2013-09-01,35,18,6,0,11,False
2013-10-01,35,16,11,0,10,False
2013-11-01,34,16,18,0,9,False
2013-12-01,32,15,6,0,9,False
2014-01-01,33,15,7,0,8,False
2014-02-01,31,20,7,1,9,False
2014-03-01,50,18,12,0,11,False
2014-04-01,39,13,11,0,8,False
2014-05-01,44,13,9,0,9,False
2014-06-01,36,12,7,0,8,False
2014-07-01,37,13,10,0,10,False
2014-08-01,38,13,10,0,13,False
2014-09-01,30,13,6,0,13,False
2014-10-01,29,12,5,0,10,False
2014-11-01,24,12,8,0,10,False
2014-12-01,27,15,11,0,8,False
2015-01-01,27,14,11,0,8,False
2015-02-01,33,13,26,0,10,False
2015-03-01,32,14,30,0,14,False
2015-04-01,24,13,11,0,14,False
2015-05-01,28,14,10,0,38,False
2015-06-01,28,11,9,1,17,False
2015-07-01,26,11,7,0,19,False
2015-08-01,30,13,6,0,13,False
2015-09-01,25,13,5,0,11,False
2015-10-01,21,15,13,0,9,False
2015-11-01,21,14,8,0,9,False
2015-12-01,24,12,10,0,8,False
2016-01-01,21,13,11,0,9,False
2016-02-01,30,13,10,0,9,False
2016-03-01,25,12,28,0,10,False
2016-04-01,21,12,85,0,7,False
2016-05-01,20,14,16,0,12,False
2016-06-01,19,11,7,0,10,False
2016-07-01,18,10,9,0,10,False
2016-08-01,17,10,5,0,7,False
2016-09-01,22,11,9,0,10,False
2016-10-01,19,14,13,0,9,False
2016-11-01,20,14,10,0,12,False
2016-12-01,18,18,8,0,7,False
2017-01-01,18,20,16,0,7,False
2017-02-01,19,17,14,0,8,False
2017-03-01,23,18,15,0,7,False
2017-04-01,21,14,28,0,7,False
2017-05-01,20,16,16,0,9,False
2017-06-01,17,12,32,0,7,False
2017-07-01,17,12,11,0,7,False
2017-08-01,17,13,11,0,7,False
2017-09-01,17,13,12,0,7,False
2017-10-01,17,20,9,0,6,False
2017-11-01,17,18,9,0,5,False
2017-12-01,19,16,10,0,5,False
2018-01-01,20,15,19,0,7,False
2018-02-01,20,15,18,0,6,False
2018-03-01,20,16,13,1,5,False
2018-04-01,22,14,20,0,6,False
2018-05-01,24,15,18,0,6,False
2018-06-01,20,14,9,0,6,False
2018-07-01,16,13,13,0,6,False
2018-08-01,18,14,16,0,7,False
2018-09-01,19,13,17,0,7,False
2018-10-01,18,15,9,0,7,False
2018-11-01,21,16,9,0,6,False
2018-12-01,18,14,24,0,6,False
2019-01-01,20,17,17,0,6,False
2019-02-01,20,15,9,0,7,False
2019-03-01,21,18,15,0,6,False
2019-04-01,19,14,19,0,7,False
2019-05-01,19,14,15,0,6,False
2019-06-01,20,12,35,0,6,False
2019-07-01,19,15,36,0,9,False
2019-08-01,19,14,10,0,7,False
2019-09-01,18,16,9,0,7,False
2019-10-01,21,14,11,0,6,False
2019-11-01,20,13,15,0,6,False
2019-12-01,16,13,15,0,7,False
2020-01-01,17,15,12,0,11,False
2020-02-01,17,15,12,0,20,False
2020-03-01,22,15,10,0,8,False
2020-04-01,22,17,5,0,6,False
2020-05-01,19,19,7,0,5,False
2020-06-01,16,16,5,0,6,False
2020-07-01,15,14,7,0,13,False
2020-08-01,17,13,9,0,10,False
2020-09-01,17,14,14,0,7,False
2020-10-01,15,12,26,0,8,False
