date,Natalie MacMaster,Sergey Brin + Larry Page,Stew,James Howard Kunstler,Iraola,isPartial
2014-03-01,0,8,65,0,1,False
2014-04-01,0,6,48,0,0,False
2014-05-01,0,6,42,0,1,False
2014-06-01,0,5,41,0,0,False
2014-07-01,0,5,41,0,1,False
2014-08-01,0,6,45,0,1,False
2014-09-01,0,6,60,0,1,False
2014-10-01,0,6,79,0,1,False
2014-11-01,0,6,89,0,1,False
2014-12-01,0,5,73,0,0,False
2015-01-01,0,5,89,0,0,False
2015-02-01,0,5,77,0,1,False
2015-03-01,0,5,65,0,1,False
2015-04-01,0,5,48,0,1,False
2015-05-01,0,5,43,0,2,False
2015-06-01,0,5,42,0,1,False
2015-07-01,0,5,41,0,1,False
2015-08-01,0,10,47,0,1,False
2015-09-01,0,7,60,0,1,False
2015-10-01,0,5,83,0,1,False
2015-11-01,0,5,84,0,1,False
2015-12-01,0,5,75,0,0,False
2016-01-01,0,4,97,0,1,False
2016-02-01,0,5,72,0,1,False
2016-03-01,0,4,62,0,1,False
2016-04-01,0,4,54,0,0,False
2016-05-01,0,4,48,0,1,False
2016-06-01,0,4,44,0,1,False
2016-07-01,0,3,45,0,1,False
2016-08-01,0,3,45,0,0,False
2016-09-01,0,4,62,0,1,False
2016-10-01,0,3,86,0,1,False
2016-11-01,0,3,84,0,1,False
2016-12-01,0,4,83,0,0,False
2017-01-01,0,5,92,0,0,False
2017-02-01,0,4,72,0,0,False
2017-03-01,0,4,71,1,0,False
2017-04-01,0,4,54,0,0,False
2017-05-01,0,4,48,0,1,False
2017-06-01,0,3,45,0,0,False
2017-07-01,0,3,46,0,0,False
2017-08-01,0,3,51,0,0,False
2017-09-01,0,3,65,0,0,False
2017-10-01,0,3,87,0,0,False
2017-11-01,0,3,90,0,0,False
2017-12-01,0,3,89,0,0,False
2018-01-01,0,3,99,0,0,False
2018-02-01,0,3,78,0,0,False
2018-03-01,0,3,73,0,0,False
2018-04-01,0,3,57,0,0,False
2018-05-01,0,3,46,0,0,False
2018-06-01,0,3,45,0,0,False
2018-07-01,0,3,45,0,0,False
2018-08-01,0,3,51,0,0,False
2018-09-01,0,5,70,0,0,False
2018-10-01,0,4,90,0,0,False
2018-11-01,0,3,91,0,0,False
2018-12-01,1,3,88,0,0,False
2019-01-01,0,3,100,0,0,False
2019-02-01,0,3,82,0,0,False
2019-03-01,0,4,72,0,0,False
2019-04-01,0,3,55,0,0,False
2019-05-01,0,3,51,0,0,False
2019-06-01,0,3,49,0,0,False
2019-07-01,0,3,47,0,1,False
2019-08-01,0,4,52,0,0,False
2019-09-01,0,4,68,0,0,False
2019-10-01,0,3,92,0,0,False
2019-11-01,0,3,96,0,0,False
2019-12-01,0,8,84,0,0,False
2020-01-01,0,3,92,0,1,False
2020-02-01,0,4,81,0,1,False
2020-03-01,0,3,88,0,0,False
2020-04-01,0,3,95,0,0,False
2020-05-01,0,3,75,0,0,False
2020-06-01,0,3,61,0,0,False
2020-07-01,0,4,58,0,1,False
2020-08-01,0,3,59,0,1,False
2020-09-01,0,4,71,0,0,False
2020-10-01,0,4,95,0,0,False
