date,Carvens Lissaint,Jonathan Foley,Frank Warren,Frans de Waal,Iraola,isPartial
2008-06-01,0,2,71,6,18,False
2008-07-01,0,0,65,4,11,False
2008-08-01,0,2,47,6,24,False
2008-09-01,2,3,68,4,26,False
2008-10-01,0,3,48,4,22,False
2008-11-01,0,3,45,5,23,False
2008-12-01,0,1,66,7,18,False
2009-01-01,0,2,58,6,22,False
2009-02-01,0,2,45,8,26,False
2009-03-01,0,1,57,6,18,False
2009-04-01,1,1,47,2,23,False
2009-05-01,1,2,44,7,29,False
2009-06-01,0,2,31,4,20,False
2009-07-01,1,1,41,2,19,False
2009-08-01,0,1,33,3,24,False
2009-09-01,0,1,39,5,28,False
2009-10-01,0,1,50,7,21,False
2009-11-01,0,1,46,8,27,False
2009-12-01,0,1,53,8,20,False
2010-01-01,0,2,54,7,26,False
2010-02-01,0,1,36,7,13,False
2010-03-01,3,1,34,10,19,False
2010-04-01,0,1,26,8,20,False
2010-05-01,1,1,29,7,17,False
2010-06-01,0,1,25,4,21,False
2010-07-01,0,1,33,3,15,False
2010-08-01,0,1,33,3,20,False
2010-09-01,0,2,54,7,24,False
2010-10-01,1,2,42,10,25,False
2010-11-01,0,1,34,4,31,False
2010-12-01,1,2,38,7,25,False
2011-01-01,1,1,32,6,21,False
2011-02-01,2,2,32,4,28,False
2011-03-01,1,1,33,5,34,False
2011-04-01,1,2,31,4,25,False
2011-05-01,0,1,45,5,23,False
2011-06-01,0,1,31,2,24,False
2011-07-01,1,1,40,4,20,False
2011-08-01,1,1,27,4,31,False
2011-09-01,1,1,37,4,25,False
2011-10-01,1,1,34,4,23,False
2011-11-01,1,2,34,4,21,False
2011-12-01,1,1,27,6,20,False
2012-01-01,1,1,28,3,19,False
2012-02-01,1,2,45,4,22,False
2012-03-01,1,1,31,6,40,False
2012-04-01,1,3,32,9,25,False
2012-05-01,1,1,43,6,30,False
2012-06-01,1,1,25,7,24,False
2012-07-01,1,1,33,3,17,False
2012-08-01,1,2,19,5,18,False
2012-09-01,1,1,23,7,19,False
2012-10-01,1,1,23,6,19,False
2012-11-01,1,2,28,7,20,False
2012-12-01,1,1,20,4,17,False
2013-01-01,1,2,19,3,17,False
2013-02-01,1,2,19,6,18,False
2013-03-01,0,1,44,15,17,False
2013-04-01,1,2,24,11,19,False
2013-05-01,1,1,20,9,15,False
2013-06-01,1,2,21,9,17,False
2013-07-01,0,1,22,6,17,False
2013-08-01,1,1,22,8,18,False
2013-09-01,1,1,26,15,22,False
2013-10-01,0,2,18,8,19,False
2013-11-01,1,2,21,10,18,False
2013-12-01,0,2,19,7,18,False
2014-01-01,0,2,20,6,16,False
2014-02-01,0,2,18,7,18,False
2014-03-01,1,2,21,6,21,False
2014-04-01,0,2,16,6,16,False
2014-05-01,1,2,14,6,18,False
2014-06-01,1,2,15,5,15,False
2014-07-01,1,2,20,4,19,False
2014-08-01,1,6,72,5,25,False
2014-09-01,0,1,30,9,26,False
2014-10-01,0,1,22,5,20,False
2014-11-01,1,1,33,8,19,False
2014-12-01,1,1,25,7,16,False
2015-01-01,0,1,22,6,16,False
2015-02-01,0,1,21,4,19,False
2015-03-01,0,2,18,7,27,False
2015-04-01,1,1,20,6,28,False
2015-05-01,0,2,18,5,74,False
2015-06-01,1,1,21,4,33,False
2015-07-01,1,1,19,3,37,False
2015-08-01,0,1,19,3,25,False
2015-09-01,0,2,17,4,22,False
2015-10-01,0,2,16,4,18,False
2015-11-01,0,2,17,5,17,False
2015-12-01,0,2,25,5,15,False
2016-01-01,0,2,19,5,18,False
2016-02-01,0,2,19,5,17,False
2016-03-01,0,2,23,6,19,False
2016-04-01,1,2,26,11,14,False
2016-05-01,0,1,24,11,24,False
2016-06-01,0,1,21,7,19,False
2016-07-01,0,1,21,5,20,False
2016-08-01,0,1,14,3,13,False
2016-09-01,0,1,20,7,19,False
2016-10-01,1,1,22,10,18,False
2016-11-01,0,1,19,10,24,False
2016-12-01,0,1,23,8,14,False
2017-01-01,0,1,23,6,13,False
2017-02-01,0,2,23,6,15,False
2017-03-01,0,1,23,4,13,False
2017-04-01,0,1,25,4,14,False
2017-05-01,0,1,26,5,18,False
2017-06-01,0,1,19,4,14,False
2017-07-01,0,1,18,5,15,False
2017-08-01,0,1,18,28,13,False
2017-09-01,1,1,22,5,13,False
2017-10-01,0,1,21,6,12,False
2017-11-01,0,1,23,6,10,False
2017-12-01,1,1,25,5,10,False
2018-01-01,0,1,23,5,14,False
2018-02-01,1,1,23,5,12,False
2018-03-01,0,1,22,5,10,False
2018-04-01,1,1,34,4,12,False
2018-05-01,0,1,24,6,13,False
2018-06-01,0,1,33,5,13,False
2018-07-01,1,1,17,6,12,False
2018-08-01,0,1,32,4,13,False
2018-09-01,0,1,27,5,13,False
2018-10-01,0,1,31,5,15,False
2018-11-01,1,1,30,9,12,False
2018-12-01,1,1,43,5,12,False
2019-01-01,1,1,20,4,12,False
2019-02-01,0,1,22,5,14,False
2019-03-01,0,2,19,12,11,False
2019-04-01,0,1,20,7,14,False
2019-05-01,1,1,18,8,12,False
2019-06-01,0,1,31,7,12,False
2019-07-01,0,1,21,6,18,False
2019-08-01,0,1,18,5,14,False
2019-09-01,0,2,37,6,13,False
2019-10-01,0,1,22,6,12,False
2019-11-01,0,4,20,7,12,False
2019-12-01,1,6,25,4,14,False
2020-01-01,0,35,16,5,21,False
2020-02-01,0,10,46,5,39,False
2020-03-01,0,8,19,4,16,False
2020-04-01,0,13,13,6,13,False
2020-05-01,0,3,13,5,10,False
2020-06-01,0,4,16,4,12,False
2020-07-01,1,2,15,4,25,False
2020-08-01,0,2,24,4,20,False
2020-09-01,0,2,18,4,14,False
2020-10-01,0,1,15,6,16,False
