date,Antony Gormley,Jonathan Trent,Kent Larson,Scott Fraser,Iraola,isPartial
2015-09-01,30,4,1,16,28,False
2015-10-01,31,4,1,17,23,False
2015-11-01,62,2,3,20,23,False
2015-12-01,27,4,3,21,19,False
2016-01-01,26,2,2,17,21,False
2016-02-01,30,3,3,15,24,False
2016-03-01,28,2,1,15,25,False
2016-04-01,24,2,2,19,19,False
2016-05-01,26,3,3,19,31,False
2016-06-01,22,2,3,14,27,False
2016-07-01,15,3,2,16,29,False
2016-08-01,13,2,3,16,18,False
2016-09-01,22,3,2,16,24,False
2016-10-01,26,1,1,15,26,False
2016-11-01,26,2,1,20,34,False
2016-12-01,14,1,3,16,17,False
2017-01-01,22,1,2,14,19,False
2017-02-01,18,2,2,15,22,False
2017-03-01,27,2,2,18,18,False
2017-04-01,23,2,2,15,18,False
2017-05-01,20,2,2,15,24,False
2017-06-01,22,2,1,16,18,False
2017-07-01,17,3,1,19,19,False
2017-08-01,19,2,2,14,19,False
2017-09-01,21,4,1,12,17,False
2017-10-01,28,3,2,15,16,False
2017-11-01,24,2,3,16,15,False
2017-12-01,13,5,2,17,13,False
2018-01-01,19,3,1,18,18,False
2018-02-01,25,3,1,18,15,False
2018-03-01,30,3,1,12,12,False
2018-04-01,22,1,1,12,16,False
2018-05-01,21,2,1,15,18,False
2018-06-01,20,3,3,13,19,False
2018-07-01,20,2,2,16,15,False
2018-08-01,23,2,1,13,17,False
2018-09-01,24,2,2,12,19,False
2018-10-01,20,2,1,16,21,False
2018-11-01,19,2,3,15,17,False
2018-12-01,12,2,1,12,15,False
2019-01-01,34,2,2,14,14,False
2019-02-01,21,3,1,16,18,False
2019-03-01,25,2,2,19,16,False
2019-04-01,25,1,1,13,20,False
2019-05-01,24,2,2,15,15,False
2019-06-01,22,2,2,12,18,False
2019-07-01,15,1,1,14,24,False
2019-08-01,21,2,3,17,19,False
2019-09-01,60,3,1,11,17,False
2019-10-01,78,1,2,15,17,False
2019-11-01,93,2,1,14,18,False
2019-12-01,30,3,1,14,18,False
2020-01-01,30,2,1,14,28,False
2020-02-01,23,2,2,12,52,False
2020-03-01,28,1,1,10,22,False
2020-04-01,23,2,2,8,16,False
2020-05-01,28,2,2,14,12,False
2020-06-01,19,1,1,15,16,False
2020-07-01,17,3,1,13,35,False
2020-08-01,17,2,2,19,26,False
2020-09-01,20,2,1,18,19,False
2020-10-01,14,2,1,14,21,False
