date,Sophie Scott,Alice Goffman,Pamela Ronald,Abe Davis,Iraola,isPartial
2012-10-01,12,1,2,3,25,False
2012-11-01,14,2,2,2,27,False
2012-12-01,13,1,2,3,23,False
2013-01-01,14,1,2,2,24,False
2013-02-01,10,1,3,2,25,False
2013-03-01,14,1,3,3,23,False
2013-04-01,15,1,4,4,25,False
2013-05-01,13,1,2,2,21,False
2013-06-01,13,1,2,3,23,False
2013-07-01,16,1,4,1,23,False
2013-08-01,16,1,2,2,24,False
2013-09-01,20,1,2,2,30,False
2013-10-01,15,1,3,2,26,False
2013-11-01,9,3,4,2,24,False
2013-12-01,12,2,1,2,25,False
2014-01-01,13,1,3,2,22,False
2014-02-01,17,1,2,2,25,False
2014-03-01,15,2,4,2,28,False
2014-04-01,13,3,3,1,22,False
2014-05-01,15,4,4,2,25,False
2014-06-01,15,7,2,2,21,False
2014-07-01,20,6,3,2,26,False
2014-08-01,13,6,2,2,34,False
2014-09-01,13,5,4,1,35,False
2014-10-01,12,4,2,3,27,False
2014-11-01,15,4,2,2,26,False
2014-12-01,11,5,1,3,22,False
2015-01-01,11,3,1,2,21,False
2015-02-01,12,4,2,2,26,False
2015-03-01,11,5,4,4,37,False
2015-04-01,15,7,2,4,38,False
2015-05-01,17,24,7,9,100,False
2015-06-01,15,29,2,3,44,False
2015-07-01,13,7,3,2,50,False
2015-08-01,14,10,2,2,34,False
2015-09-01,13,6,2,2,30,False
2015-10-01,12,9,2,2,24,False
2015-11-01,12,7,3,2,23,False
2015-12-01,15,6,4,2,20,False
2016-01-01,13,22,3,2,24,False
2016-02-01,14,8,3,2,23,False
2016-03-01,12,6,4,4,26,False
2016-04-01,12,6,2,4,18,False
2016-05-01,16,4,2,3,32,False
2016-06-01,20,2,2,2,26,False
2016-07-01,26,2,1,2,28,False
2016-08-01,17,4,2,3,18,False
2016-09-01,16,5,2,2,25,False
2016-10-01,10,5,2,2,24,False
2016-11-01,12,5,2,3,33,False
2016-12-01,13,5,3,3,19,False
2017-01-01,12,3,3,2,18,False
2017-02-01,10,4,2,3,21,False
2017-03-01,11,5,1,2,18,False
2017-04-01,12,15,2,3,19,False
2017-05-01,15,6,2,4,24,False
2017-06-01,10,2,2,1,19,False
2017-07-01,13,2,2,3,20,False
2017-08-01,13,4,2,2,18,False
2017-09-01,19,3,3,2,18,False
2017-10-01,15,3,2,2,16,False
2017-11-01,12,6,2,3,14,False
2017-12-01,25,4,2,1,14,False
2018-01-01,17,3,2,1,19,False
2018-02-01,15,4,2,2,17,False
2018-03-01,14,3,2,2,14,False
2018-04-01,13,4,2,3,16,False
2018-05-01,17,2,2,3,17,False
2018-06-01,22,2,2,2,17,False
2018-07-01,16,1,2,1,16,False
2018-08-01,14,2,2,2,17,False
2018-09-01,10,3,1,2,18,False
2018-10-01,11,4,2,2,20,False
2018-11-01,14,4,2,2,17,False
2018-12-01,13,4,1,1,16,False
2019-01-01,13,3,2,2,16,False
2019-02-01,10,3,1,4,19,False
2019-03-01,14,3,1,2,15,False
2019-04-01,11,4,2,2,19,False
2019-05-01,20,3,1,2,16,False
2019-06-01,20,7,2,1,17,False
2019-07-01,14,1,1,1,24,False
2019-08-01,13,2,2,1,20,False
2019-09-01,11,3,1,2,17,False
2019-10-01,12,4,1,1,16,False
2019-11-01,9,2,2,2,16,False
2019-12-01,11,3,2,2,19,False
2020-01-01,12,3,2,2,28,False
2020-02-01,13,3,1,1,54,False
2020-03-01,11,1,1,1,21,False
2020-04-01,12,2,2,2,17,False
2020-05-01,14,2,1,3,14,False
2020-06-01,12,2,1,1,16,False
2020-07-01,12,2,1,1,34,False
2020-08-01,13,2,1,1,27,False
2020-09-01,12,3,1,2,19,False
2020-10-01,12,3,1,1,21,False
