date,Ben Goldacre,Danielle de Niese,Yang Lan,Christoph Adami,Iraola,isPartial
2014-10-01,8,6,22,0,13,False
2014-11-01,8,3,18,0,12,False
2014-12-01,10,3,21,0,10,False
2015-01-01,12,3,13,0,10,False
2015-02-01,9,1,16,0,13,False
2015-03-01,8,1,16,0,17,False
2015-04-01,6,3,13,0,18,False
2015-05-01,5,2,13,0,48,False
2015-06-01,6,2,11,0,21,False
2015-07-01,6,2,7,0,24,False
2015-08-01,11,3,13,0,16,False
2015-09-01,6,18,19,0,14,False
2015-10-01,5,2,24,0,12,False
2015-11-01,6,1,19,0,11,False
2015-12-01,5,2,15,0,10,False
2016-01-01,7,2,12,0,11,False
2016-02-01,5,2,14,0,11,False
2016-03-01,4,1,14,0,12,False
2016-04-01,7,2,12,0,9,False
2016-05-01,5,1,14,0,15,False
2016-06-01,7,1,10,0,12,False
2016-07-01,4,2,7,0,13,False
2016-08-01,3,1,21,0,9,False
2016-09-01,8,1,22,0,12,False
2016-10-01,5,2,24,0,11,False
2016-11-01,4,1,22,0,16,False
2016-12-01,4,5,22,0,9,False
2017-01-01,4,2,13,0,9,False
2017-02-01,4,1,13,0,10,False
2017-03-01,4,1,18,0,9,False
2017-04-01,4,1,14,0,9,False
2017-05-01,3,1,12,0,11,False
2017-06-01,3,1,9,0,9,False
2017-07-01,5,2,11,0,9,False
2017-08-01,4,1,17,0,8,False
2017-09-01,4,2,23,0,8,False
2017-10-01,3,2,23,0,8,False
2017-11-01,4,4,23,0,7,False
2017-12-01,4,1,20,0,7,False
2018-01-01,5,2,13,0,9,False
2018-02-01,3,2,15,0,8,False
2018-03-01,4,2,21,0,6,False
2018-04-01,3,1,15,0,8,False
2018-05-01,3,1,14,0,8,False
2018-06-01,2,3,6,0,8,False
2018-07-01,2,2,10,0,7,False
2018-08-01,3,1,15,0,8,False
2018-09-01,3,11,21,0,9,False
2018-10-01,3,2,22,0,10,False
2018-11-01,3,1,21,0,8,False
2018-12-01,1,1,26,0,8,False
2019-01-01,3,1,16,0,8,False
2019-02-01,3,2,17,0,9,False
2019-03-01,3,2,22,0,7,False
2019-04-01,2,5,16,0,9,False
2019-05-01,2,1,16,0,7,False
2019-06-01,2,2,5,0,8,False
2019-07-01,2,2,10,0,12,False
2019-08-01,2,3,18,0,9,False
2019-09-01,3,1,25,0,8,False
2019-10-01,2,2,22,0,8,False
2019-11-01,2,1,25,0,8,False
2019-12-01,2,2,21,0,9,False
2020-01-01,3,1,14,0,14,False
2020-02-01,2,0,20,0,26,False
2020-03-01,3,1,40,0,10,False
2020-04-01,3,1,50,0,8,False
2020-05-01,4,1,26,0,7,False
2020-06-01,2,1,58,0,8,False
2020-07-01,3,1,24,0,16,False
2020-08-01,2,2,56,0,13,False
2020-09-01,2,4,100,0,9,False
2020-10-01,1,1,72,0,10,False
