date,Seth Shostak,David Birch,Diane Kelly,Damian Palin,Iraola,isPartial
2010-05-01,1,10,21,0,24,False
2010-06-01,2,11,29,0,29,False
2010-07-01,2,9,27,1,20,False
2010-08-01,4,8,19,0,27,False
2010-09-01,2,6,20,0,32,False
2010-10-01,1,10,23,0,34,False
2010-11-01,1,10,22,1,42,False
2010-12-01,3,9,17,2,34,False
2011-01-01,3,10,34,1,28,False
2011-02-01,2,10,27,0,38,False
2011-03-01,3,7,18,0,46,False
2011-04-01,2,8,16,1,34,False
2011-05-01,2,9,17,0,31,False
2011-06-01,4,9,18,0,33,False
2011-07-01,2,9,19,0,28,False
2011-08-01,3,7,22,0,42,False
2011-09-01,3,5,19,0,34,False
2011-10-01,1,6,20,0,32,False
2011-11-01,2,8,20,0,28,False
2011-12-01,2,7,16,0,27,False
2012-01-01,3,9,19,0,25,False
2012-02-01,2,11,20,1,30,False
2012-03-01,3,8,21,0,54,False
2012-04-01,2,9,17,0,34,False
2012-05-01,1,9,21,0,41,False
2012-06-01,3,7,20,3,32,False
2012-07-01,3,6,25,1,23,False
2012-08-01,1,6,17,1,24,False
2012-09-01,1,9,19,1,26,False
2012-10-01,2,7,21,1,25,False
2012-11-01,1,8,22,1,27,False
2012-12-01,2,6,13,1,23,False
2013-01-01,2,5,19,0,24,False
2013-02-01,1,6,18,1,25,False
2013-03-01,1,6,17,1,23,False
2013-04-01,1,8,18,1,25,False
2013-05-01,2,7,18,1,21,False
2013-06-01,1,7,21,1,23,False
2013-07-01,1,9,15,0,23,False
2013-08-01,2,7,20,0,24,False
2013-09-01,3,6,21,0,30,False
2013-10-01,2,8,17,1,26,False
2013-11-01,1,6,12,0,24,False
2013-12-01,1,8,16,0,25,False
2014-01-01,1,6,20,1,22,False
2014-02-01,3,7,15,0,25,False
2014-03-01,2,7,16,1,28,False
2014-04-01,1,8,15,1,22,False
2014-05-01,1,5,13,1,25,False
2014-06-01,2,7,15,0,21,False
2014-07-01,1,7,17,0,26,False
2014-08-01,1,8,16,0,34,False
2014-09-01,2,5,17,0,35,False
2014-10-01,1,8,15,1,27,False
2014-11-01,2,7,16,0,26,False
2014-12-01,2,5,15,0,22,False
2015-01-01,2,6,16,0,21,False
2015-02-01,3,6,16,1,26,False
2015-03-01,1,5,15,1,37,False
2015-04-01,2,6,19,1,38,False
2015-05-01,1,6,14,0,100,False
2015-06-01,2,6,14,0,44,False
2015-07-01,1,6,16,0,50,False
2015-08-01,2,8,12,0,34,False
2015-09-01,2,6,16,0,30,False
2015-10-01,2,7,14,0,24,False
2015-11-01,1,5,16,0,23,False
2015-12-01,2,6,12,0,20,False
2016-01-01,1,7,12,0,24,False
2016-02-01,2,6,13,0,23,False
2016-03-01,2,5,12,1,26,False
2016-04-01,1,6,13,0,18,False
2016-05-01,1,9,13,0,32,False
2016-06-01,2,5,10,0,26,False
2016-07-01,1,5,14,1,28,False
2016-08-01,3,7,13,0,18,False
2016-09-01,3,6,12,0,25,False
2016-10-01,1,6,13,0,24,False
2016-11-01,3,6,15,0,33,False
2016-12-01,2,5,14,0,19,False
2017-01-01,2,6,14,0,18,False
2017-02-01,2,6,13,0,21,False
2017-03-01,1,7,11,0,18,False
2017-04-01,1,7,11,0,19,False
2017-05-01,2,6,15,0,24,False
2017-06-01,1,4,13,0,19,False
2017-07-01,2,10,12,1,20,False
2017-08-01,1,8,13,0,18,False
2017-09-01,1,5,11,0,18,False
2017-10-01,1,8,12,0,16,False
2017-11-01,1,6,9,0,14,False
2017-12-01,1,7,10,0,14,False
2018-01-01,1,8,13,0,19,False
2018-02-01,2,7,11,0,17,False
2018-03-01,2,5,10,0,14,False
2018-04-01,1,5,9,0,16,False
2018-05-01,1,6,12,0,17,False
2018-06-01,1,4,10,0,17,False
2018-07-01,1,4,9,0,16,False
2018-08-01,1,5,10,0,17,False
2018-09-01,1,3,8,0,18,False
2018-10-01,1,5,10,0,20,False
2018-11-01,1,6,12,0,17,False
2018-12-01,1,5,12,0,16,False
2019-01-01,1,5,21,0,16,False
2019-02-01,1,5,13,0,19,False
2019-03-01,1,5,15,0,15,False
2019-04-01,1,3,8,0,19,False
2019-05-01,1,6,7,0,16,False
2019-06-01,1,4,8,0,17,False
2019-07-01,2,5,10,0,24,False
2019-08-01,1,5,9,0,20,False
2019-09-01,1,4,9,0,17,False
2019-10-01,1,5,8,0,16,False
2019-11-01,1,4,8,0,16,False
2019-12-01,1,4,11,0,19,False
2020-01-01,1,6,11,0,28,False
2020-02-01,1,5,10,0,54,False
2020-03-01,1,5,10,0,21,False
2020-04-01,1,6,9,0,17,False
2020-05-01,1,4,12,0,14,False
2020-06-01,1,6,10,0,16,False
2020-07-01,1,4,11,0,34,False
2020-08-01,1,5,11,0,27,False
2020-09-01,1,5,10,0,19,False
2020-10-01,0,4,7,0,21,False
