date,Andras Forgacs,Benjamin Barber,Elizabeth Loftus,Stuart Firestein,Iraola,isPartial
2013-07-01,1,4,3,1,23,False
2013-08-01,1,3,6,1,24,False
2013-09-01,3,9,18,4,30,False
2013-10-01,1,6,23,4,26,False
2013-11-01,2,8,18,2,24,False
2013-12-01,1,7,14,1,25,False
2014-01-01,1,7,11,2,22,False
2014-02-01,1,8,11,1,25,False
2014-03-01,1,7,13,1,28,False
2014-04-01,1,7,13,1,22,False
2014-05-01,1,7,10,1,25,False
2014-06-01,1,6,5,1,21,False
2014-07-01,1,4,6,1,26,False
2014-08-01,1,4,11,1,34,False
2014-09-01,1,6,14,1,35,False
2014-10-01,1,9,17,1,27,False
2014-11-01,1,7,13,1,26,False
2014-12-01,2,5,12,1,22,False
2015-01-01,0,4,11,2,21,False
2015-02-01,1,9,14,1,26,False
2015-03-01,0,7,11,0,37,False
2015-04-01,2,5,11,0,38,False
2015-05-01,0,7,10,1,100,False
2015-06-01,1,4,4,1,44,False
2015-07-01,0,5,4,0,50,False
2015-08-01,0,6,9,1,34,False
2015-09-01,1,6,12,1,30,False
2015-10-01,0,7,14,1,24,False
2015-11-01,0,6,13,0,23,False
2015-12-01,0,5,12,1,20,False
2016-01-01,1,5,11,1,24,False
2016-02-01,0,5,14,1,23,False
2016-03-01,0,5,12,1,26,False
2016-04-01,0,8,13,1,18,False
2016-05-01,1,5,10,1,32,False
2016-06-01,0,3,6,0,26,False
2016-07-01,1,3,6,1,28,False
2016-08-01,1,5,9,1,18,False
2016-09-01,1,4,13,2,25,False
2016-10-01,1,7,12,1,24,False
2016-11-01,0,12,15,1,33,False
2016-12-01,0,14,10,0,19,False
2017-01-01,0,5,8,1,18,False
2017-02-01,1,8,14,0,21,False
2017-03-01,0,6,14,1,18,False
2017-04-01,1,9,13,1,19,False
2017-05-01,0,5,10,1,24,False
2017-06-01,0,4,5,0,19,False
2017-07-01,0,6,5,1,20,False
2017-08-01,1,5,6,1,18,False
2017-09-01,0,4,12,1,18,False
2017-10-01,1,6,14,0,16,False
2017-11-01,0,6,12,1,14,False
2017-12-01,1,3,10,1,14,False
2018-01-01,0,3,10,1,19,False
2018-02-01,0,4,9,0,17,False
2018-03-01,1,4,11,1,14,False
2018-04-01,1,4,11,0,16,False
2018-05-01,1,5,8,0,17,False
2018-06-01,1,3,6,1,17,False
2018-07-01,0,3,5,1,16,False
2018-08-01,1,4,9,1,17,False
2018-09-01,1,6,13,1,18,False
2018-10-01,1,5,16,0,20,False
2018-11-01,1,5,11,1,17,False
2018-12-01,0,5,10,1,16,False
2019-01-01,1,3,9,1,16,False
2019-02-01,0,4,11,1,19,False
2019-03-01,1,5,10,0,15,False
2019-04-01,1,4,13,1,19,False
2019-05-01,0,3,10,1,16,False
2019-06-01,0,5,9,0,17,False
2019-07-01,1,4,4,1,24,False
2019-08-01,0,5,9,1,20,False
2019-09-01,1,3,13,1,17,False
2019-10-01,0,4,11,1,16,False
2019-11-01,0,3,11,1,16,False
2019-12-01,1,5,11,0,19,False
2020-01-01,2,4,11,1,28,False
2020-02-01,1,5,13,0,54,False
2020-03-01,1,3,7,0,21,False
2020-04-01,0,4,9,1,17,False
2020-05-01,0,4,9,1,14,False
2020-06-01,0,3,7,0,16,False
2020-07-01,0,5,6,0,34,False
2020-08-01,0,4,7,1,27,False
2020-09-01,0,4,10,1,19,False
2020-10-01,0,4,10,0,21,False
