date,David Pizarro,Lemn Sissay,Doris Kim Sung,Sanjay Pradhan,Iraola,isPartial
2008-05-01,6,2,0,2,18,False
2008-06-01,8,2,0,2,16,False
2008-07-01,7,3,0,2,10,False
2008-08-01,8,2,0,0,22,False
2008-09-01,6,2,0,1,24,False
2008-10-01,7,3,0,1,21,False
2008-11-01,4,2,0,3,21,False
2008-12-01,6,3,0,1,17,False
2009-01-01,7,3,0,1,20,False
2009-02-01,6,3,0,0,24,False
2009-03-01,6,1,0,0,16,False
2009-04-01,8,2,0,2,21,False
2009-05-01,5,3,0,1,27,False
2009-06-01,11,2,0,0,18,False
2009-07-01,7,3,0,2,18,False
2009-08-01,5,3,0,0,22,False
2009-09-01,6,2,0,0,26,False
2009-10-01,16,3,0,2,19,False
2009-11-01,3,4,1,1,25,False
2009-12-01,6,2,1,1,18,False
2010-01-01,9,2,0,2,24,False
2010-02-01,6,2,0,1,12,False
2010-03-01,11,2,0,1,18,False
2010-04-01,11,2,0,1,19,False
2010-05-01,13,1,0,2,16,False
2010-06-01,15,1,0,1,20,False
2010-07-01,11,1,0,1,14,False
2010-08-01,9,1,0,1,18,False
2010-09-01,8,2,0,1,22,False
2010-10-01,7,2,0,1,23,False
2010-11-01,7,2,0,2,29,False
2010-12-01,11,1,0,1,23,False
2011-01-01,6,1,0,1,19,False
2011-02-01,11,1,1,1,26,False
2011-03-01,11,2,0,1,31,False
2011-04-01,10,1,0,1,23,False
2011-05-01,9,2,0,1,21,False
2011-06-01,8,2,0,0,22,False
2011-07-01,9,1,0,1,19,False
2011-08-01,9,1,0,1,29,False
2011-09-01,6,2,0,1,23,False
2011-10-01,6,2,0,0,22,False
2011-11-01,7,2,0,1,19,False
2011-12-01,11,2,0,1,18,False
2012-01-01,68,1,1,1,17,False
2012-02-01,100,2,1,1,21,False
2012-03-01,24,2,0,1,37,False
2012-04-01,22,2,0,1,23,False
2012-05-01,24,2,1,1,28,False
2012-06-01,10,3,0,2,22,False
2012-07-01,17,3,0,1,16,False
2012-08-01,29,1,0,0,16,False
2012-09-01,21,2,0,1,18,False
2012-10-01,11,6,1,1,17,False
2012-11-01,14,5,2,2,18,False
2012-12-01,36,3,1,2,16,False
2013-01-01,11,2,1,0,16,False
2013-02-01,11,4,0,1,17,False
2013-03-01,12,2,1,1,16,False
2013-04-01,13,2,0,1,17,False
2013-05-01,36,3,1,1,14,False
2013-06-01,42,2,0,1,16,False
2013-07-01,13,2,0,1,16,False
2013-08-01,14,1,0,1,16,False
2013-09-01,15,2,0,1,20,False
2013-10-01,10,2,0,1,18,False
2013-11-01,7,2,1,1,16,False
2013-12-01,10,2,0,1,17,False
2014-01-01,12,1,1,0,15,False
2014-02-01,12,2,0,1,17,False
2014-03-01,14,2,0,1,19,False
2014-04-01,9,1,0,1,15,False
2014-05-01,12,1,0,0,17,False
2014-06-01,9,1,0,1,14,False
2014-07-01,9,1,0,1,17,False
2014-08-01,7,5,0,1,23,False
2014-09-01,7,2,0,1,24,False
2014-10-01,5,2,0,0,19,False
2014-11-01,6,2,1,1,18,False
2014-12-01,7,1,1,1,15,False
2015-01-01,9,1,0,1,15,False
2015-02-01,8,2,1,0,18,False
2015-03-01,11,2,0,1,25,False
2015-04-01,5,2,0,1,26,False
2015-05-01,8,5,0,1,68,False
2015-06-01,67,8,0,1,30,False
2015-07-01,48,4,0,1,34,False
2015-08-01,17,2,1,1,23,False
2015-09-01,14,2,0,1,20,False
2015-10-01,10,33,0,1,17,False
2015-11-01,13,7,0,1,16,False
2015-12-01,5,6,0,1,14,False
2016-01-01,8,3,0,1,16,False
2016-02-01,6,4,0,1,16,False
2016-03-01,6,3,0,0,17,False
2016-04-01,6,3,0,1,13,False
2016-05-01,6,3,0,1,22,False
2016-06-01,5,3,0,1,17,False
2016-07-01,10,6,0,1,19,False
2016-08-01,14,4,0,1,12,False
2016-09-01,5,7,0,1,17,False
2016-10-01,4,9,0,1,16,False
2016-11-01,2,5,0,1,23,False
2016-12-01,4,4,0,0,13,False
2017-01-01,16,3,0,1,12,False
2017-02-01,10,3,0,1,14,False
2017-03-01,5,3,0,1,12,False
2017-04-01,6,2,0,1,13,False
2017-05-01,12,10,0,1,16,False
2017-06-01,5,3,0,0,13,False
2017-07-01,6,2,0,1,13,False
2017-08-01,11,2,0,1,12,False
2017-09-01,7,3,0,1,12,False
2017-10-01,11,7,0,1,11,False
2017-11-01,9,5,0,1,10,False
2017-12-01,6,15,0,1,9,False
2018-01-01,5,4,0,1,13,False
2018-02-01,8,2,0,1,11,False
2018-03-01,8,3,0,1,9,False
2018-04-01,16,4,0,0,11,False
2018-05-01,6,8,0,2,12,False
2018-06-01,4,4,0,1,12,False
2018-07-01,5,2,0,1,11,False
2018-08-01,7,8,0,2,12,False
2018-09-01,6,3,0,2,12,False
2018-10-01,5,3,0,1,14,False
2018-11-01,14,8,0,1,11,False
2018-12-01,7,5,0,2,11,False
2019-01-01,4,4,0,1,11,False
2019-02-01,5,9,0,1,13,False
2019-03-01,4,3,0,1,11,False
2019-04-01,4,3,0,2,13,False
2019-05-01,4,1,0,1,11,False
2019-06-01,5,4,0,1,11,False
2019-07-01,3,6,0,0,16,False
2019-08-01,8,18,0,1,13,False
2019-09-01,4,20,0,1,12,False
2019-10-01,3,11,0,1,11,False
2019-11-01,3,12,0,1,11,False
2019-12-01,3,8,0,1,13,False
2020-01-01,3,6,0,1,19,False
2020-02-01,5,5,0,1,37,False
2020-03-01,4,11,0,1,15,False
2020-04-01,6,9,0,1,12,False
2020-05-01,4,9,0,1,9,False
2020-06-01,5,8,0,1,11,False
2020-07-01,4,26,0,1,23,False
2020-08-01,4,9,0,1,18,False
2020-09-01,6,7,0,1,13,False
2020-10-01,3,13,0,1,14,False
