date,John Lloyd,Oliver Sacks,Imogen Heap,Jonathan Zittrain,Iraola,isPartial
2019-08-01,16,3,3,0,1,False
2019-09-01,10,3,3,0,1,False
2019-10-01,7,3,3,0,1,False
2019-11-01,6,4,3,0,1,False
2019-12-01,6,4,3,0,1,False
2020-01-01,6,3,4,0,2,False
2020-02-01,7,3,3,0,3,False
2020-03-01,7,2,3,0,1,False
2020-04-01,12,3,4,0,1,False
2020-05-01,8,3,5,0,1,False
2020-06-01,6,2,4,0,1,False
2020-07-01,6,3,3,0,2,False
2020-08-01,5,2,3,0,2,False
2020-09-01,5,4,3,0,1,False
2020-10-01,5,4,3,0,1,False
