date,Evan Grant,Steve Truglia,James Balog,Lewis Pugh,Iraola,isPartial
2014-01-01,6,1,6,5,22,False
2014-02-01,4,1,3,2,25,False
2014-03-01,5,1,5,4,28,False
2014-04-01,4,1,6,4,22,False
2014-05-01,4,1,2,4,25,False
2014-06-01,4,0,3,3,21,False
2014-07-01,4,1,2,4,26,False
2014-08-01,3,1,3,12,34,False
2014-09-01,4,1,4,4,35,False
2014-10-01,6,1,4,6,27,False
2014-11-01,2,1,3,5,26,False
2014-12-01,3,2,5,3,22,False
2015-01-01,4,1,2,3,21,False
2015-02-01,3,0,3,9,26,False
2015-03-01,7,0,5,7,37,False
2015-04-01,7,1,4,6,38,False
2015-05-01,8,0,2,4,100,False
2015-06-01,6,1,2,4,44,False
2015-07-01,5,1,2,3,50,False
2015-08-01,6,0,2,3,34,False
2015-09-01,6,0,3,4,30,False
2015-10-01,8,0,4,3,24,False
2015-11-01,5,0,6,4,23,False
2015-12-01,6,0,5,3,20,False
2016-01-01,3,0,4,3,24,False
2016-02-01,4,0,4,4,23,False
2016-03-01,4,0,4,3,26,False
2016-04-01,7,1,3,3,18,False
2016-05-01,7,0,2,4,32,False
2016-06-01,12,0,1,3,26,False
2016-07-01,12,1,2,2,28,False
2016-08-01,19,1,1,4,18,False
2016-09-01,84,0,2,4,25,False
2016-10-01,10,0,2,6,24,False
2016-11-01,7,17,3,4,33,False
2016-12-01,13,2,2,5,19,False
2017-01-01,12,1,11,2,18,False
2017-02-01,7,1,7,2,21,False
2017-03-01,7,0,4,2,18,False
2017-04-01,7,0,2,3,19,False
2017-05-01,6,1,1,3,24,False
2017-06-01,8,0,2,2,19,False
2017-07-01,10,0,2,4,20,False
2017-08-01,8,0,2,3,18,False
2017-09-01,5,0,1,2,18,False
2017-10-01,3,0,3,3,16,False
2017-11-01,7,0,5,5,14,False
2017-12-01,7,1,3,7,14,False
2018-01-01,6,0,2,4,19,False
2018-02-01,2,0,3,5,17,False
2018-03-01,4,0,5,2,14,False
2018-04-01,5,0,4,3,16,False
2018-05-01,5,0,2,3,17,False
2018-06-01,4,0,2,3,17,False
2018-07-01,7,0,1,25,16,False
2018-08-01,4,0,1,51,17,False
2018-09-01,9,1,1,16,18,False
2018-10-01,7,0,3,4,20,False
2018-11-01,3,0,2,4,17,False
2018-12-01,5,0,1,3,16,False
2019-01-01,4,0,2,3,16,False
2019-02-01,3,1,4,4,19,False
2019-03-01,3,0,2,5,15,False
2019-04-01,6,0,2,3,19,False
2019-05-01,4,0,2,3,16,False
2019-06-01,5,0,2,4,17,False
2019-07-01,10,0,2,3,24,False
2019-08-01,5,0,2,3,20,False
2019-09-01,3,0,1,3,17,False
2019-10-01,4,0,2,4,16,False
2019-11-01,4,0,1,2,16,False
2019-12-01,6,0,2,3,19,False
2020-01-01,6,1,1,15,28,False
2020-02-01,4,0,1,10,54,False
2020-03-01,4,0,1,4,21,False
2020-04-01,5,0,1,2,17,False
2020-05-01,4,0,1,4,14,False
2020-06-01,4,0,0,3,16,False
2020-07-01,6,0,1,3,34,False
2020-08-01,6,0,1,3,27,False
2020-09-01,5,0,1,3,19,False
2020-10-01,5,0,1,3,21,False
