date,Nonny de la Peña,Anote Tong,Genevieve von Petzinger,Ann Morgan,Iraola,isPartial
2014-04-01,0,1,0,22,13,False
2014-05-01,0,0,0,20,15,False
2014-06-01,1,1,0,25,12,False
2014-07-01,1,0,0,19,15,False
2014-08-01,0,0,0,19,20,False
2014-09-01,0,1,0,20,21,False
2014-10-01,0,1,0,21,16,False
2014-11-01,0,0,0,17,16,False
2014-12-01,0,0,0,20,13,False
2015-01-01,0,0,0,20,13,False
2015-02-01,0,0,0,22,16,False
2015-03-01,0,0,0,19,22,False
2015-04-01,0,1,0,19,23,False
2015-05-01,1,1,1,20,60,False
2015-06-01,0,1,0,20,27,False
2015-07-01,0,1,0,22,30,False
2015-08-01,0,1,0,18,21,False
2015-09-01,0,1,0,15,18,False
2015-10-01,0,1,0,18,15,False
2015-11-01,0,1,2,19,14,False
2015-12-01,0,2,2,22,12,False
2016-01-01,0,1,1,21,14,False
2016-02-01,0,1,1,20,14,False
2016-03-01,0,1,1,17,15,False
2016-04-01,1,1,1,18,11,False
2016-05-01,0,1,1,15,19,False
2016-06-01,1,1,1,100,15,False
2016-07-01,0,0,0,20,17,False
2016-08-01,1,0,1,16,11,False
2016-09-01,0,0,1,15,15,False
2016-10-01,0,0,0,14,14,False
2016-11-01,0,0,2,15,20,False
2016-12-01,1,0,0,17,11,False
2017-01-01,0,0,1,15,11,False
2017-02-01,0,0,0,17,13,False
2017-03-01,0,0,1,15,11,False
2017-04-01,0,0,1,21,11,False
2017-05-01,0,1,1,15,14,False
2017-06-01,0,0,1,13,11,False
2017-07-01,0,0,1,16,12,False
2017-08-01,0,1,1,16,11,False
2017-09-01,0,0,0,14,11,False
2017-10-01,0,0,1,12,10,False
2017-11-01,0,0,0,12,9,False
2017-12-01,0,1,0,15,8,False
2018-01-01,0,0,0,15,11,False
2018-02-01,1,0,1,14,10,False
2018-03-01,0,0,1,14,8,False
2018-04-01,0,1,0,13,10,False
2018-05-01,0,1,0,12,10,False
2018-06-01,0,1,1,12,10,False
2018-07-01,0,0,0,11,9,False
2018-08-01,0,0,0,12,10,False
2018-09-01,0,0,1,12,11,False
2018-10-01,0,1,0,13,12,False
2018-11-01,0,0,0,13,10,False
2018-12-01,0,1,0,10,9,False
2019-01-01,0,0,0,12,10,False
2019-02-01,0,1,0,13,11,False
2019-03-01,0,0,1,13,9,False
2019-04-01,1,0,1,9,12,False
2019-05-01,0,1,1,12,9,False
2019-06-01,0,0,0,13,10,False
2019-07-01,0,0,0,14,14,False
2019-08-01,0,0,0,10,12,False
2019-09-01,0,0,0,12,10,False
2019-10-01,0,1,0,10,10,False
2019-11-01,0,0,0,11,10,False
2019-12-01,0,0,0,9,11,False
2020-01-01,0,0,0,13,17,False
2020-02-01,0,0,0,14,32,False
2020-03-01,0,0,0,12,13,False
2020-04-01,0,0,0,15,10,False
2020-05-01,0,0,0,14,8,False
2020-06-01,0,1,1,12,10,False
2020-07-01,0,0,0,14,20,False
2020-08-01,0,0,0,13,16,False
2020-09-01,0,0,1,11,12,False
2020-10-01,0,0,0,14,13,False
