date,Alyssa Monks,Tasos Frantzolas,Silk Road Ensemble + Rhiannon Giddens,Kelli Jean Drinkwater,Iraola,isPartial
2015-02-01,5,0,60,1,19,False
2015-03-01,4,0,30,1,26,False
2015-04-01,6,0,54,1,27,False
2015-05-01,2,0,27,0,71,False
2015-06-01,2,0,19,1,32,False
2015-07-01,3,0,23,0,36,False
2015-08-01,3,0,18,0,25,False
2015-09-01,5,0,18,0,21,False
2015-10-01,3,0,14,0,17,False
2015-11-01,5,0,20,0,16,False
2015-12-01,4,0,32,0,14,False
2016-01-01,3,0,100,0,17,False
2016-02-01,4,0,25,1,17,False
2016-03-01,3,0,17,0,18,False
2016-04-01,5,0,20,0,13,False
2016-05-01,4,0,14,1,23,False
2016-06-01,3,0,17,0,18,False
2016-07-01,2,0,19,0,20,False
2016-08-01,2,0,17,1,13,False
2016-09-01,3,0,23,0,18,False
2016-10-01,4,0,32,1,17,False
2016-11-01,9,0,34,4,24,False
2016-12-01,3,0,25,1,14,False
2017-01-01,4,0,27,1,13,False
2017-02-01,4,0,51,2,15,False
2017-03-01,3,0,52,4,13,False
2017-04-01,3,0,30,1,13,False
2017-05-01,3,0,39,2,17,False
2017-06-01,3,0,32,1,13,False
2017-07-01,1,1,33,1,14,False
2017-08-01,2,0,28,2,13,False
2017-09-01,3,0,25,2,13,False
2017-10-01,2,0,32,1,11,False
2017-11-01,2,0,24,1,10,False
2017-12-01,1,0,19,1,10,False
2018-01-01,2,0,18,1,14,False
2018-02-01,2,0,22,1,12,False
2018-03-01,3,0,20,1,10,False
2018-04-01,4,0,27,1,12,False
2018-05-01,3,0,20,2,12,False
2018-06-01,1,0,18,1,12,False
2018-07-01,2,0,34,1,11,False
2018-08-01,2,0,17,1,12,False
2018-09-01,2,0,15,2,13,False
2018-10-01,2,0,10,2,14,False
2018-11-01,2,0,14,1,12,False
2018-12-01,1,0,13,2,11,False
2019-01-01,3,0,16,1,11,False
2019-02-01,3,0,20,1,13,False
2019-03-01,2,0,19,0,11,False
2019-04-01,1,0,17,0,14,False
2019-05-01,2,0,36,1,11,False
2019-06-01,1,0,17,0,12,False
2019-07-01,1,0,23,1,17,False
2019-08-01,1,0,20,1,14,False
2019-09-01,2,0,76,0,12,False
2019-10-01,2,0,29,1,12,False
2019-11-01,2,0,26,1,12,False
2019-12-01,1,0,27,1,13,False
2020-01-01,2,0,20,1,20,False
2020-02-01,1,0,20,1,38,False
2020-03-01,2,0,17,0,15,False
2020-04-01,2,0,12,0,12,False
2020-05-01,2,0,17,1,10,False
2020-06-01,1,0,26,1,11,False
2020-07-01,2,0,16,1,24,False
2020-08-01,2,0,12,1,19,False
2020-09-01,1,0,13,0,14,False
2020-10-01,1,0,13,1,15,False
