date,Chris Abani,Vusi Mahlasela,Jeff Skoll,Erin McKean,Iraola,isPartial
2009-10-01,3,2,4,1,17,False
2009-11-01,5,3,4,2,21,False
2009-12-01,4,2,5,1,16,False
2010-01-01,2,3,2,1,21,False
2010-02-01,3,4,3,2,11,False
2010-03-01,5,3,3,2,15,False
2010-04-01,3,2,5,2,16,False
2010-05-01,2,4,2,2,14,False
2010-06-01,2,35,3,1,17,False
2010-07-01,2,9,3,1,12,False
2010-08-01,2,3,8,1,16,False
2010-09-01,2,2,3,1,19,False
2010-10-01,3,3,4,1,20,False
2010-11-01,2,3,4,1,25,False
2010-12-01,1,4,3,2,20,False
2011-01-01,2,4,4,1,17,False
2011-02-01,1,4,2,3,22,False
2011-03-01,2,3,2,1,27,False
2011-04-01,3,4,3,1,20,False
2011-05-01,3,5,2,1,19,False
2011-06-01,2,5,3,1,19,False
2011-07-01,1,4,2,1,16,False
2011-08-01,2,2,2,2,25,False
2011-09-01,2,5,2,2,20,False
2011-10-01,3,1,3,1,19,False
2011-11-01,4,3,2,2,17,False
2011-12-01,2,3,1,1,16,False
2012-01-01,2,2,2,1,15,False
2012-02-01,1,3,2,1,18,False
2012-03-01,1,4,1,1,32,False
2012-04-01,2,3,2,1,20,False
2012-05-01,3,5,4,1,24,False
2012-06-01,2,2,2,1,19,False
2012-07-01,1,4,2,1,13,False
2012-08-01,2,2,2,2,14,False
2012-09-01,3,2,2,1,15,False
2012-10-01,2,2,2,1,15,False
2012-11-01,1,2,3,1,16,False
2012-12-01,1,2,2,1,14,False
2013-01-01,2,2,1,1,14,False
2013-02-01,2,5,2,1,15,False
2013-03-01,2,2,2,1,14,False
2013-04-01,2,3,2,1,15,False
2013-05-01,1,3,2,1,12,False
2013-06-01,1,3,1,1,14,False
2013-07-01,2,2,1,1,14,False
2013-08-01,2,1,3,1,14,False
2013-09-01,1,1,2,1,18,False
2013-10-01,3,1,2,1,15,False
2013-11-01,1,2,2,1,14,False
2013-12-01,2,6,2,1,15,False
2014-01-01,2,2,14,0,13,False
2014-02-01,3,2,2,1,15,False
2014-03-01,2,2,2,1,17,False
2014-04-01,1,3,2,1,13,False
2014-05-01,2,2,2,0,15,False
2014-06-01,2,2,2,0,12,False
2014-07-01,1,1,2,1,15,False
2014-08-01,1,3,2,0,20,False
2014-09-01,2,1,2,1,21,False
2014-10-01,1,3,1,0,16,False
2014-11-01,2,1,2,1,15,False
2014-12-01,1,2,1,1,13,False
2015-01-01,2,1,2,1,13,False
2015-02-01,2,3,2,1,16,False
2015-03-01,2,2,2,1,22,False
2015-04-01,1,2,2,0,22,False
2015-05-01,1,2,1,1,59,False
2015-06-01,1,1,1,0,26,False
2015-07-01,1,2,1,0,30,False
2015-08-01,1,4,1,1,20,False
2015-09-01,2,3,2,1,18,False
2015-10-01,2,2,1,1,14,False
2015-11-01,1,1,2,0,13,False
2015-12-01,1,1,2,1,12,False
2016-01-01,1,1,2,1,14,False
2016-02-01,3,2,2,1,14,False
2016-03-01,1,1,2,1,15,False
2016-04-01,2,3,2,1,11,False
2016-05-01,1,2,2,1,19,False
2016-06-01,2,1,1,1,15,False
2016-07-01,1,2,0,1,16,False
2016-08-01,1,2,1,1,11,False
2016-09-01,0,1,2,1,15,False
2016-10-01,1,2,1,0,14,False
2016-11-01,1,2,1,1,20,False
2016-12-01,1,3,1,1,11,False
2017-01-01,1,2,2,1,11,False
2017-02-01,1,2,1,1,12,False
2017-03-01,2,2,1,0,11,False
2017-04-01,1,2,2,1,11,False
2017-05-01,1,2,2,0,14,False
2017-06-01,1,2,1,0,11,False
2017-07-01,1,2,1,0,12,False
2017-08-01,1,1,2,0,10,False
2017-09-01,1,1,1,0,10,False
2017-10-01,1,1,1,0,9,False
2017-11-01,1,1,1,0,8,False
2017-12-01,1,1,1,1,8,False
2018-01-01,1,1,1,1,11,False
2018-02-01,1,1,0,1,10,False
2018-03-01,1,1,1,0,8,False
2018-04-01,1,1,1,1,10,False
2018-05-01,1,1,1,0,10,False
2018-06-01,1,2,0,0,10,False
2018-07-01,0,1,1,1,9,False
2018-08-01,1,2,1,0,10,False
2018-09-01,1,1,1,0,11,False
2018-10-01,1,3,2,0,12,False
2018-11-01,0,1,1,0,10,False
2018-12-01,1,2,1,0,9,False
2019-01-01,1,2,1,0,9,False
2019-02-01,1,1,1,1,11,False
2019-03-01,1,1,1,1,9,False
2019-04-01,1,1,1,0,11,False
2019-05-01,1,1,1,0,9,False
2019-06-01,1,1,1,0,10,False
2019-07-01,0,1,1,0,14,False
2019-08-01,1,1,1,0,12,False
2019-09-01,1,1,1,1,10,False
2019-10-01,1,1,1,0,10,False
2019-11-01,1,1,1,0,10,False
2019-12-01,1,2,1,1,11,False
2020-01-01,0,2,1,0,17,False
2020-02-01,0,2,2,0,32,False
2020-03-01,0,1,1,0,13,False
2020-04-01,1,1,2,1,10,False
2020-05-01,0,1,2,0,8,False
2020-06-01,0,1,1,1,9,False
2020-07-01,1,1,1,0,20,False
2020-08-01,0,1,1,1,16,False
2020-09-01,1,1,1,1,11,False
2020-10-01,1,1,0,1,13,False
