date,Carina Morillo,Mehdi Ordikhani-Seyedlar,Anne Lamott,Richard Browning,Iraola,isPartial
2008-12-01,0,0,19,4,19,False
2009-01-01,0,0,23,3,22,False
2009-02-01,0,0,16,4,26,False
2009-03-01,0,0,17,6,18,False
2009-04-01,0,0,27,3,24,False
2009-05-01,0,0,17,5,29,False
2009-06-01,0,0,19,4,20,False
2009-07-01,0,0,22,3,20,False
2009-08-01,0,0,23,3,24,False
2009-09-01,0,0,16,1,29,False
2009-10-01,0,0,22,4,21,False
2009-11-01,0,0,23,3,27,False
2009-12-01,0,0,17,3,20,False
2010-01-01,0,0,29,2,26,False
2010-02-01,1,0,26,2,13,False
2010-03-01,0,0,25,2,19,False
2010-04-01,0,0,39,2,21,False
2010-05-01,0,0,26,2,18,False
2010-06-01,1,0,22,2,22,False
2010-07-01,0,0,24,3,15,False
2010-08-01,0,0,21,3,20,False
2010-09-01,1,0,22,5,24,False
2010-10-01,0,0,20,2,26,False
2010-11-01,0,0,17,2,31,False
2010-12-01,0,0,14,2,26,False
2011-01-01,1,0,21,3,21,False
2011-02-01,0,0,18,2,28,False
2011-03-01,0,0,17,3,34,False
2011-04-01,0,0,27,4,25,False
2011-05-01,1,0,20,1,23,False
2011-06-01,1,0,19,3,24,False
2011-07-01,0,0,19,2,21,False
2011-08-01,0,0,20,2,31,False
2011-09-01,0,0,16,2,25,False
2011-10-01,0,0,14,2,24,False
2011-11-01,0,0,13,2,21,False
2011-12-01,0,0,12,1,20,False
2012-01-01,0,0,19,3,19,False
2012-02-01,0,0,20,2,22,False
2012-03-01,0,0,44,2,41,False
2012-04-01,0,0,32,3,25,False
2012-05-01,1,0,25,2,30,False
2012-06-01,0,0,25,3,24,False
2012-07-01,0,0,25,3,17,False
2012-08-01,1,0,28,2,18,False
2012-09-01,0,0,26,2,19,False
2012-10-01,0,0,24,2,19,False
2012-11-01,0,0,48,2,20,False
2012-12-01,0,0,32,2,17,False
2013-01-01,0,0,28,2,18,False
2013-02-01,0,0,26,2,18,False
2013-03-01,0,0,27,3,17,False
2013-04-01,0,0,30,1,19,False
2013-05-01,0,0,25,2,16,False
2013-06-01,0,0,18,1,17,False
2013-07-01,0,0,23,2,18,False
2013-08-01,0,0,23,2,18,False
2013-09-01,0,0,24,2,22,False
2013-10-01,0,0,41,2,19,False
2013-11-01,0,0,44,2,18,False
2013-12-01,0,0,28,2,18,False
2014-01-01,0,0,27,2,17,False
2014-02-01,0,0,23,2,19,False
2014-03-01,0,0,18,3,21,False
2014-04-01,0,0,23,2,16,False
2014-05-01,0,0,26,2,19,False
2014-06-01,0,0,20,2,15,False
2014-07-01,0,0,27,2,19,False
2014-08-01,0,0,34,2,25,False
2014-09-01,0,0,25,1,26,False
2014-10-01,0,0,22,2,21,False
2014-11-01,0,0,40,2,19,False
2014-12-01,0,0,32,1,16,False
2015-01-01,0,0,34,2,16,False
2015-02-01,0,0,29,1,20,False
2015-03-01,0,0,22,3,27,False
2015-04-01,0,0,39,2,28,False
2015-05-01,0,0,25,1,75,False
2015-06-01,0,0,27,2,33,False
2015-07-01,0,0,26,1,38,False
2015-08-01,0,0,21,1,26,False
2015-09-01,0,0,21,1,22,False
2015-10-01,0,0,20,2,18,False
2015-11-01,0,0,24,1,17,False
2015-12-01,0,0,14,2,15,False
2016-01-01,0,0,18,1,18,False
2016-02-01,0,0,17,2,18,False
2016-03-01,0,0,16,1,19,False
2016-04-01,0,0,17,2,14,False
2016-05-01,0,0,16,2,24,False
2016-06-01,0,0,22,1,19,False
2016-07-01,0,0,19,1,21,False
2016-08-01,0,0,19,1,13,False
2016-09-01,0,0,18,2,19,False
2016-10-01,0,0,17,1,18,False
2016-11-01,0,0,16,2,25,False
2016-12-01,0,0,15,2,14,False
2017-01-01,0,0,18,1,13,False
2017-02-01,0,0,19,2,16,False
2017-03-01,0,0,20,3,14,False
2017-04-01,0,0,36,15,14,False
2017-05-01,0,0,19,6,18,False
2017-06-01,0,1,28,7,14,False
2017-07-01,0,1,21,5,15,False
2017-08-01,0,0,20,3,13,False
2017-09-01,0,1,22,4,13,False
2017-10-01,0,0,17,3,12,False
2017-11-01,0,0,16,16,11,False
2017-12-01,0,0,14,4,10,False
2018-01-01,0,0,20,3,14,False
2018-02-01,0,1,14,2,12,False
2018-03-01,0,0,17,2,10,False
2018-04-01,0,0,23,1,12,False
2018-05-01,0,0,15,4,13,False
2018-06-01,0,0,14,3,13,False
2018-07-01,0,0,16,12,12,False
2018-08-01,0,0,19,4,13,False
2018-09-01,0,0,20,3,14,False
2018-10-01,0,0,28,4,15,False
2018-11-01,0,0,31,3,13,False
2018-12-01,0,0,18,3,12,False
2019-01-01,0,0,18,4,12,False
2019-02-01,0,0,21,2,14,False
2019-03-01,0,0,20,4,12,False
2019-04-01,0,0,29,5,14,False
2019-05-01,0,0,17,4,12,False
2019-06-01,0,0,15,5,13,False
2019-07-01,0,0,15,3,18,False
2019-08-01,0,0,14,9,15,False
2019-09-01,0,0,16,3,13,False
2019-10-01,0,0,16,3,12,False
2019-11-01,0,0,14,11,12,False
2019-12-01,0,0,16,6,14,False
2020-01-01,0,0,20,3,21,False
2020-02-01,0,0,15,3,40,False
2020-03-01,0,0,16,2,16,False
2020-04-01,0,0,50,2,13,False
2020-05-01,0,0,40,3,10,False
2020-06-01,0,0,21,3,12,False
2020-07-01,1,0,19,2,25,False
2020-08-01,0,0,20,4,20,False
2020-09-01,0,0,20,7,14,False
2020-10-01,0,0,15,4,16,False
