date,Moshe Safdie,Jill Sobule + Julia Sweeney,Raspyni Brothers,Joseph Lekuton,Iraola,isPartial
2019-10-01,4,7,0,0,8,False
2019-11-01,4,8,0,0,8,False
2019-12-01,4,10,0,0,9,False
2020-01-01,4,11,0,0,14,False
2020-02-01,4,7,0,0,27,False
2020-03-01,3,6,0,0,11,False
2020-04-01,3,6,0,0,9,False
2020-05-01,3,8,0,0,7,False
2020-06-01,2,8,0,0,8,False
2020-07-01,3,5,0,0,17,False
2020-08-01,2,5,0,0,14,False
2020-09-01,3,6,0,0,10,False
2020-10-01,3,4,0,0,11,False
