date,Bernie Krause,Gavin Pretor-Pinney,Pico Iyer,Miranda Wang and Jeanny Yao,Iraola,isPartial
2015-12-01,1,1,8,0,20,False
2016-01-01,2,0,8,0,24,False
2016-02-01,2,1,11,0,23,False
2016-03-01,2,0,10,0,26,False
2016-04-01,1,1,6,0,18,False
2016-05-01,1,0,10,0,32,False
2016-06-01,3,1,6,0,26,False
2016-07-01,4,1,6,0,28,False
2016-08-01,3,0,6,0,18,False
2016-09-01,4,0,7,1,25,False
2016-10-01,2,0,13,1,24,False
2016-11-01,3,1,10,0,33,False
2016-12-01,3,0,5,1,19,False
2017-01-01,3,0,7,0,18,False
2017-02-01,1,0,6,0,21,False
2017-03-01,1,1,7,0,18,False
2017-04-01,1,0,9,0,19,False
2017-05-01,2,0,5,0,24,False
2017-06-01,1,0,7,0,19,False
2017-07-01,1,0,6,0,20,False
2017-08-01,1,0,6,0,18,False
2017-09-01,1,0,9,0,18,False
2017-10-01,3,0,7,0,16,False
2017-11-01,1,0,5,0,14,False
2017-12-01,1,0,7,0,14,False
2018-01-01,1,0,7,0,19,False
2018-02-01,2,0,7,0,17,False
2018-03-01,2,0,5,0,14,False
2018-04-01,2,0,6,0,16,False
2018-05-01,2,0,5,0,17,False
2018-06-01,1,0,5,0,17,False
2018-07-01,1,0,4,0,16,False
2018-08-01,1,0,6,0,17,False
2018-09-01,1,0,10,0,18,False
2018-10-01,1,0,10,0,20,False
2018-11-01,2,1,8,0,17,False
2018-12-01,1,0,14,0,16,False
2019-01-01,1,0,6,0,16,False
2019-02-01,1,0,6,0,19,False
2019-03-01,2,0,5,0,15,False
2019-04-01,1,0,14,0,19,False
2019-05-01,2,1,12,1,16,False
2019-06-01,2,0,7,1,17,False
2019-07-01,1,0,7,0,24,False
2019-08-01,1,1,9,0,20,False
2019-09-01,2,1,13,4,17,False
2019-10-01,2,0,10,0,16,False
2019-11-01,2,0,8,0,16,False
2019-12-01,1,0,8,0,19,False
2020-01-01,1,1,7,0,28,False
2020-02-01,1,0,6,0,54,False
2020-03-01,1,1,5,0,21,False
2020-04-01,2,0,10,0,17,False
2020-05-01,4,0,9,0,14,False
2020-06-01,1,1,9,0,16,False
2020-07-01,1,1,7,0,34,False
2020-08-01,1,1,6,0,27,False
2020-09-01,2,0,11,0,19,False
2020-10-01,0,0,5,0,21,False
