date,Ricardo Semler,Kenneth Shinozuka,Guy Winch,Nadine Burke Harris,Iraola,isPartial
2014-02-01,9,0,1,1,25,False
2014-03-01,7,0,1,1,28,False
2014-04-01,9,0,2,1,22,False
2014-05-01,9,0,1,1,25,False
2014-06-01,15,0,1,1,21,False
2014-07-01,10,0,1,1,26,False
2014-08-01,13,1,2,1,34,False
2014-09-01,8,2,2,1,35,False
2014-10-01,8,1,1,2,27,False
2014-11-01,40,1,1,1,26,False
2014-12-01,11,1,3,1,22,False
2015-01-01,11,1,3,1,21,False
2015-02-01,88,6,16,8,26,False
2015-03-01,48,2,12,4,37,False
2015-04-01,23,2,7,5,38,False
2015-05-01,30,1,5,3,100,False
2015-06-01,22,2,6,3,44,False
2015-07-01,17,1,5,2,50,False
2015-08-01,14,1,6,3,34,False
2015-09-01,14,1,4,2,30,False
2015-10-01,15,0,7,3,24,False
2015-11-01,14,1,10,3,23,False
2015-12-01,13,4,7,2,20,False
2016-01-01,8,1,7,4,24,False
2016-02-01,10,1,7,4,23,False
2016-03-01,11,1,4,3,26,False
2016-04-01,10,1,3,3,18,False
2016-05-01,7,1,4,4,32,False
2016-06-01,9,0,4,2,26,False
2016-07-01,9,1,2,2,28,False
2016-08-01,8,0,4,2,18,False
2016-09-01,7,1,5,3,25,False
2016-10-01,12,0,5,4,24,False
2016-11-01,10,1,5,4,33,False
2016-12-01,6,0,8,3,19,False
2017-01-01,10,0,6,2,18,False
2017-02-01,7,0,4,2,21,False
2017-03-01,18,0,5,4,18,False
2017-04-01,10,0,6,4,19,False
2017-05-01,8,0,4,2,24,False
2017-06-01,9,0,5,3,19,False
2017-07-01,7,0,3,3,20,False
2017-08-01,6,0,4,5,18,False
2017-09-01,8,0,4,3,18,False
2017-10-01,8,0,3,6,16,False
2017-11-01,8,1,3,6,14,False
2017-12-01,5,1,4,4,14,False
2018-01-01,7,0,4,8,19,False
2018-02-01,7,0,16,17,17,False
2018-03-01,6,0,10,8,14,False
2018-04-01,6,1,10,10,16,False
2018-05-01,5,0,7,8,17,False
2018-06-01,5,0,7,7,17,False
2018-07-01,6,1,7,5,16,False
2018-08-01,7,1,6,6,17,False
2018-09-01,5,0,6,6,18,False
2018-10-01,26,1,8,8,20,False
2018-11-01,7,1,7,7,17,False
2018-12-01,5,1,7,6,16,False
2019-01-01,6,0,9,16,16,False
2019-02-01,6,0,15,13,19,False
2019-03-01,5,0,9,11,15,False
2019-04-01,7,1,8,11,19,False
2019-05-01,6,0,6,7,16,False
2019-06-01,4,0,6,8,17,False
2019-07-01,3,0,6,9,24,False
2019-08-01,3,0,6,9,20,False
2019-09-01,6,1,5,10,17,False
2019-10-01,7,1,7,36,16,False
2019-11-01,4,1,9,13,16,False
2019-12-01,4,1,10,8,19,False
2020-01-01,4,1,9,9,28,False
2020-02-01,5,1,8,9,54,False
2020-03-01,4,1,7,7,21,False
2020-04-01,8,1,8,11,17,False
2020-05-01,4,0,8,8,14,False
2020-06-01,5,0,6,8,16,False
2020-07-01,3,0,6,7,34,False
2020-08-01,3,1,7,6,27,False
2020-09-01,4,1,10,10,19,False
2020-10-01,4,1,6,7,21,False
