date,Sherry Turkle,Chip Kidd,Jack Choi,Lucy McRae,Iraola,isPartial
2016-06-01,11,4,2,1,26,False
2016-07-01,9,4,2,1,28,False
2016-08-01,8,5,3,1,18,False
2016-09-01,15,9,2,1,25,False
2016-10-01,15,7,2,1,24,False
2016-11-01,17,8,2,2,33,False
2016-12-01,12,5,2,1,19,False
2017-01-01,11,6,1,1,18,False
2017-02-01,14,9,1,2,21,False
2017-03-01,16,5,1,2,18,False
2017-04-01,14,7,1,3,19,False
2017-05-01,13,5,2,1,24,False
2017-06-01,7,4,1,1,19,False
2017-07-01,7,3,2,0,20,False
2017-08-01,8,4,1,2,18,False
2017-09-01,16,8,2,2,18,False
2017-10-01,18,7,1,1,16,False
2017-11-01,12,5,2,2,14,False
2017-12-01,11,7,1,1,14,False
2018-01-01,9,5,2,1,19,False
2018-02-01,15,7,2,2,17,False
2018-03-01,11,5,2,2,14,False
2018-04-01,12,8,1,2,16,False
2018-05-01,9,7,2,2,17,False
2018-06-01,6,6,2,1,17,False
2018-07-01,9,5,1,1,16,False
2018-08-01,11,6,2,1,17,False
2018-09-01,14,7,2,1,18,False
2018-10-01,14,6,3,3,20,False
2018-11-01,11,7,1,1,17,False
2018-12-01,8,5,1,1,16,False
2019-01-01,10,6,2,0,16,False
2019-02-01,13,5,2,1,19,False
2019-03-01,12,5,2,1,15,False
2019-04-01,10,5,1,0,19,False
2019-05-01,8,5,1,1,16,False
2019-06-01,6,6,2,2,17,False
2019-07-01,7,2,1,1,24,False
2019-08-01,9,5,2,1,20,False
2019-09-01,15,6,3,2,17,False
2019-10-01,11,6,3,2,16,False
2019-11-01,12,4,2,1,16,False
2019-12-01,8,4,4,1,19,False
2020-01-01,7,3,2,1,28,False
2020-02-01,12,4,2,1,54,False
2020-03-01,9,5,3,1,21,False
2020-04-01,10,3,3,1,17,False
2020-05-01,6,3,3,1,14,False
2020-06-01,7,3,2,1,16,False
2020-07-01,4,2,3,1,34,False
2020-08-01,6,3,2,1,27,False
2020-09-01,16,6,2,1,19,False
2020-10-01,12,4,2,0,21,False
