date,Manwar Ali,Philippa Neave,Wanis Kabbaj,Ian Bremmer,Iraola,isPartial
2011-03-01,0,0,0,4,46,False
2011-04-01,0,0,0,6,34,False
2011-05-01,0,0,0,5,31,False
2011-06-01,0,0,0,6,33,False
2011-07-01,0,0,0,8,28,False
2011-08-01,0,1,0,5,42,False
2011-09-01,1,0,0,5,34,False
2011-10-01,0,0,0,5,32,False
2011-11-01,0,1,0,12,28,False
2011-12-01,0,0,0,5,27,False
2012-01-01,0,0,0,12,25,False
2012-02-01,0,0,0,7,30,False
2012-03-01,0,0,0,8,54,False
2012-04-01,0,0,0,7,34,False
2012-05-01,1,0,0,18,41,False
2012-06-01,1,0,0,9,32,False
2012-07-01,0,0,0,8,23,False
2012-08-01,1,0,0,4,24,False
2012-09-01,0,0,0,5,26,False
2012-10-01,1,0,0,5,25,False
2012-11-01,1,0,0,5,27,False
2012-12-01,0,0,0,5,23,False
2013-01-01,0,0,0,14,24,False
2013-02-01,0,0,0,6,25,False
2013-03-01,0,0,0,5,23,False
2013-04-01,0,0,0,6,25,False
2013-05-01,0,0,0,4,21,False
2013-06-01,1,0,0,7,23,False
2013-07-01,0,0,0,4,23,False
2013-08-01,1,1,0,5,24,False
2013-09-01,0,0,0,8,30,False
2013-10-01,0,0,0,6,26,False
2013-11-01,1,0,0,5,24,False
2013-12-01,1,0,0,8,25,False
2014-01-01,1,0,0,12,22,False
2014-02-01,1,1,0,7,25,False
2014-03-01,0,0,0,14,28,False
2014-04-01,1,0,0,9,22,False
2014-05-01,1,1,0,10,25,False
2014-06-01,0,0,0,6,21,False
2014-07-01,0,0,0,9,26,False
2014-08-01,0,0,0,9,34,False
2014-09-01,1,0,0,6,35,False
2014-10-01,0,0,0,7,27,False
2014-11-01,0,0,0,6,26,False
2014-12-01,0,0,0,11,22,False
2015-01-01,1,0,0,15,21,False
2015-02-01,1,0,0,12,26,False
2015-03-01,0,0,0,10,37,False
2015-04-01,1,0,0,7,38,False
2015-05-01,0,0,0,23,100,False
2015-06-01,1,0,0,23,44,False
2015-07-01,0,0,0,19,50,False
2015-08-01,0,0,0,9,34,False
2015-09-01,0,0,0,14,30,False
2015-10-01,0,0,0,9,24,False
2015-11-01,0,0,0,13,23,False
2015-12-01,0,0,0,8,20,False
2016-01-01,0,0,0,22,24,False
2016-02-01,0,0,0,12,23,False
2016-03-01,0,0,0,17,26,False
2016-04-01,0,0,0,11,18,False
2016-05-01,0,0,0,9,32,False
2016-06-01,0,0,0,17,26,False
2016-07-01,0,0,0,22,28,False
2016-08-01,1,0,0,10,18,False
2016-09-01,0,0,0,10,25,False
2016-10-01,2,1,1,12,24,False
2016-11-01,3,0,2,21,33,False
2016-12-01,1,0,1,19,19,False
2017-01-01,1,0,1,33,18,False
2017-02-01,1,0,1,22,21,False
2017-03-01,1,0,0,15,18,False
2017-04-01,1,0,1,24,19,False
2017-05-01,1,0,1,21,24,False
2017-06-01,0,0,0,31,19,False
2017-07-01,1,0,0,33,20,False
2017-08-01,0,0,0,14,18,False
2017-09-01,1,0,1,16,18,False
2017-10-01,0,0,0,17,16,False
2017-11-01,0,0,0,24,14,False
2017-12-01,0,0,0,14,14,False
2018-01-01,0,0,0,28,19,False
2018-02-01,1,0,0,18,17,False
2018-03-01,0,0,0,16,14,False
2018-04-01,1,0,0,31,16,False
2018-05-01,0,0,0,27,17,False
2018-06-01,1,0,0,24,17,False
2018-07-01,0,0,0,32,16,False
2018-08-01,1,0,0,18,17,False
2018-09-01,0,0,0,16,18,False
2018-10-01,0,0,1,16,20,False
2018-11-01,1,0,1,17,17,False
2018-12-01,0,0,0,16,16,False
2019-01-01,0,0,0,29,16,False
2019-02-01,1,0,0,15,19,False
2019-03-01,1,0,0,24,15,False
2019-04-01,0,0,0,14,19,False
2019-05-01,0,0,0,36,16,False
2019-06-01,0,0,0,11,17,False
2019-07-01,0,0,0,10,24,False
2019-08-01,0,0,0,12,20,False
2019-09-01,0,0,0,12,17,False
2019-10-01,0,0,1,13,16,False
2019-11-01,0,0,0,19,16,False
2019-12-01,0,0,0,10,19,False
2020-01-01,1,0,0,23,28,False
2020-02-01,1,0,0,15,54,False
2020-03-01,0,0,0,35,21,False
2020-04-01,0,0,0,45,17,False
2020-05-01,0,0,0,26,14,False
2020-06-01,1,0,0,18,16,False
2020-07-01,0,0,0,14,34,False
2020-08-01,0,0,0,14,27,False
2020-09-01,0,0,0,17,19,False
2020-10-01,0,0,0,16,21,False
