date,Carne Ross,Ben Cameron,Rob Dunbar,Jessa Gamble,Iraola,isPartial
2009-10-01,2,21,1,0,28,False
2009-11-01,2,18,1,0,36,False
2009-12-01,1,17,2,0,27,False
2010-01-01,3,32,0,0,35,False
2010-02-01,1,20,0,0,18,False
2010-03-01,3,31,4,0,26,False
2010-04-01,2,23,1,0,27,False
2010-05-01,1,27,3,0,24,False
2010-06-01,2,15,1,0,29,False
2010-07-01,3,28,2,0,20,False
2010-08-01,0,27,2,0,27,False
2010-09-01,4,23,3,8,32,False
2010-10-01,4,24,2,3,34,False
2010-11-01,3,28,2,3,42,False
2010-12-01,4,29,0,3,34,False
2011-01-01,3,27,0,1,28,False
2011-02-01,2,28,1,1,38,False
2011-03-01,2,25,0,1,46,False
2011-04-01,1,17,2,0,34,False
2011-05-01,2,20,2,1,31,False
2011-06-01,2,22,1,1,33,False
2011-07-01,1,22,1,1,28,False
2011-08-01,2,23,1,0,42,False
2011-09-01,4,21,2,1,34,False
2011-10-01,2,20,1,2,32,False
2011-11-01,3,24,1,1,28,False
2011-12-01,4,20,2,2,27,False
2012-01-01,2,24,2,0,25,False
2012-02-01,2,22,1,0,30,False
2012-03-01,3,26,1,1,54,False
2012-04-01,11,26,1,1,34,False
2012-05-01,8,23,1,1,41,False
2012-06-01,4,20,1,1,32,False
2012-07-01,1,21,1,0,23,False
2012-08-01,1,23,1,0,24,False
2012-09-01,2,22,1,1,26,False
2012-10-01,2,25,2,1,25,False
2012-11-01,2,19,0,1,27,False
2012-12-01,1,22,1,1,23,False
2013-01-01,2,28,1,1,24,False
2013-02-01,1,25,1,1,25,False
2013-03-01,3,25,1,1,23,False
2013-04-01,1,20,1,0,25,False
2013-05-01,3,21,1,1,21,False
2013-06-01,2,22,1,1,23,False
2013-07-01,2,22,2,1,23,False
2013-08-01,3,34,1,2,24,False
2013-09-01,3,27,1,1,30,False
2013-10-01,1,26,1,1,26,False
2013-11-01,2,25,1,0,24,False
2013-12-01,2,28,1,1,25,False
2014-01-01,2,31,1,0,22,False
2014-02-01,2,23,1,1,25,False
2014-03-01,2,25,1,2,28,False
2014-04-01,1,25,1,1,22,False
2014-05-01,1,25,1,0,25,False
2014-06-01,2,28,2,1,21,False
2014-07-01,1,29,1,0,26,False
2014-08-01,2,36,1,0,34,False
2014-09-01,2,30,1,1,35,False
2014-10-01,2,29,1,1,27,False
2014-11-01,1,26,2,3,26,False
2014-12-01,2,31,1,1,22,False
2015-01-01,3,35,1,2,21,False
2015-02-01,1,26,0,1,26,False
2015-03-01,3,20,1,1,37,False
2015-04-01,3,28,0,1,38,False
2015-05-01,2,27,1,1,100,False
2015-06-01,2,30,1,0,44,False
2015-07-01,2,31,2,1,50,False
2015-08-01,1,40,0,0,34,False
2015-09-01,1,35,1,0,30,False
2015-10-01,3,32,1,0,24,False
2015-11-01,1,28,1,0,23,False
2015-12-01,2,28,1,1,20,False
2016-01-01,1,32,1,1,24,False
2016-02-01,1,34,1,1,23,False
2016-03-01,2,28,1,0,26,False
2016-04-01,1,26,0,1,18,False
2016-05-01,1,26,1,1,32,False
2016-06-01,2,27,1,1,26,False
2016-07-01,2,29,0,1,28,False
2016-08-01,1,24,1,1,18,False
2016-09-01,2,21,1,0,25,False
2016-10-01,0,23,1,0,24,False
2016-11-01,2,21,1,1,33,False
2016-12-01,1,24,1,0,19,False
2017-01-01,1,26,2,0,18,False
2017-02-01,1,22,0,0,21,False
2017-03-01,2,23,1,0,18,False
2017-04-01,1,17,1,1,19,False
2017-05-01,2,21,0,0,24,False
2017-06-01,2,19,0,0,19,False
2017-07-01,7,29,0,1,20,False
2017-08-01,5,28,0,0,18,False
2017-09-01,2,24,1,0,18,False
2017-10-01,3,18,1,1,16,False
2017-11-01,2,17,1,1,14,False
2017-12-01,2,22,1,1,14,False
2018-01-01,2,23,1,0,19,False
2018-02-01,2,23,0,0,17,False
2018-03-01,2,20,1,1,14,False
2018-04-01,1,15,1,1,16,False
2018-05-01,1,20,1,1,17,False
2018-06-01,2,17,1,0,17,False
2018-07-01,2,19,0,1,16,False
2018-08-01,2,22,0,0,17,False
2018-09-01,2,17,1,0,18,False
2018-10-01,2,15,1,0,20,False
2018-11-01,1,17,0,0,17,False
2018-12-01,1,21,1,0,16,False
2019-01-01,1,20,0,0,16,False
2019-02-01,1,17,0,1,19,False
2019-03-01,1,18,1,0,15,False
2019-04-01,2,18,1,0,19,False
2019-05-01,2,16,0,0,16,False
2019-06-01,2,18,1,1,17,False
2019-07-01,2,41,0,0,24,False
2019-08-01,2,31,1,0,20,False
2019-09-01,2,21,1,0,17,False
2019-10-01,1,17,1,0,16,False
2019-11-01,2,18,1,0,16,False
2019-12-01,2,23,1,0,19,False
2020-01-01,2,22,1,0,28,False
2020-02-01,2,20,1,1,54,False
2020-03-01,2,20,0,0,21,False
2020-04-01,1,21,1,0,17,False
2020-05-01,2,23,1,0,14,False
2020-06-01,2,23,0,1,16,False
2020-07-01,2,22,0,1,34,False
2020-08-01,1,24,1,0,27,False
2020-09-01,1,20,0,0,19,False
2020-10-01,1,22,1,0,21,False
