date,Wade Davis,Phil Borges,Martin Rees,Robert Wright,Iraola,isPartial
2009-03-01,12,2,4,25,10,False
2009-04-01,9,1,3,28,12,False
2009-05-01,13,1,4,23,12,False
2009-06-01,8,1,2,23,12,False
2009-07-01,9,2,4,40,12,False
2009-08-01,11,1,5,41,10,False
2009-09-01,16,1,4,29,16,False
2009-10-01,21,3,4,24,14,False
2009-11-01,15,1,3,19,12,False
2009-12-01,14,1,4,29,11,False
2010-01-01,16,1,5,25,14,False
2010-02-01,14,1,6,29,10,False
2010-03-01,14,1,5,21,8,False
2010-04-01,18,1,4,19,12,False
2010-05-01,18,0,3,23,11,False
2010-06-01,10,2,5,20,8,False
2010-07-01,14,1,3,20,7,False
2010-08-01,13,1,5,21,9,False
2010-09-01,15,1,3,21,13,False
2010-10-01,13,2,4,21,11,False
2010-11-01,11,1,4,18,13,False
2010-12-01,16,0,4,18,15,False
2011-01-01,14,1,5,23,8,False
2011-02-01,14,0,3,21,11,False
2011-03-01,12,0,5,18,17,False
2011-04-01,12,1,7,21,13,False
2011-05-01,12,0,5,17,16,False
2011-06-01,10,0,2,17,14,False
2011-07-01,8,1,3,17,8,False
2011-08-01,9,1,4,21,14,False
2011-09-01,17,1,3,18,15,False
2011-10-01,16,1,3,15,12,False
2011-11-01,19,1,3,20,8,False
2011-12-01,18,1,3,17,10,False
2012-01-01,17,2,4,20,9,False
2012-02-01,14,1,3,18,12,False
2012-03-01,14,1,4,14,16,False
2012-04-01,12,0,3,17,13,False
2012-05-01,17,1,2,16,15,False
2012-06-01,100,0,2,15,10,False
2012-07-01,13,0,4,17,9,False
2012-08-01,15,1,3,18,8,False
2012-09-01,21,1,2,15,8,False
2012-10-01,16,1,4,16,8,False
2012-11-01,17,1,5,13,11,False
2012-12-01,25,0,4,18,9,False
2013-01-01,29,0,3,17,10,False
2013-02-01,24,0,2,17,9,False
2013-03-01,19,0,2,13,8,False
2013-04-01,23,0,3,13,8,False
2013-05-01,16,1,5,16,7,False
2013-06-01,14,1,2,14,8,False
2013-07-01,15,0,2,14,9,False
2013-08-01,14,0,3,15,8,False
2013-09-01,16,0,4,16,11,False
2013-10-01,12,0,3,17,9,False
2013-11-01,17,1,3,17,8,False
2013-12-01,16,1,2,15,9,False
2014-01-01,18,1,3,18,9,False
2014-02-01,25,1,3,16,8,False
2014-03-01,15,0,3,17,11,False
2014-04-01,17,1,2,12,7,False
2014-05-01,20,0,3,16,9,False
2014-06-01,15,0,3,12,7,False
2014-07-01,10,0,3,14,9,False
2014-08-01,16,1,4,18,12,False
2014-09-01,19,1,5,15,14,False
2014-10-01,39,0,3,14,9,False
2014-11-01,16,0,2,12,9,False
2014-12-01,19,0,4,14,10,False
2015-01-01,14,1,2,16,8,False
2015-02-01,12,1,2,15,9,False
2015-03-01,12,1,3,12,14,False
2015-04-01,15,0,2,14,16,False
2015-05-01,15,1,3,14,37,False
2015-06-01,12,1,2,12,14,False
2015-07-01,16,0,2,13,18,False
2015-08-01,13,0,3,13,13,False
2015-09-01,20,1,2,13,11,False
2015-10-01,39,1,2,11,9,False
2015-11-01,30,1,2,12,8,False
2015-12-01,17,1,2,13,9,False
2016-01-01,15,0,3,15,8,False
2016-02-01,14,1,2,14,9,False
2016-03-01,12,0,3,14,9,False
2016-04-01,20,1,2,13,7,False
2016-05-01,18,0,2,13,10,False
2016-06-01,12,1,3,12,9,False
2016-07-01,28,1,2,11,10,False
2016-08-01,18,0,2,12,7,False
2016-09-01,15,0,2,9,8,False
2016-10-01,13,1,3,11,10,False
2016-11-01,14,1,3,12,11,False
2016-12-01,71,1,3,11,7,False
2017-01-01,16,0,2,12,5,False
2017-02-01,18,1,2,11,7,False
2017-03-01,17,1,2,15,7,False
2017-04-01,23,1,4,12,6,False
2017-05-01,22,1,3,12,6,False
2017-06-01,17,0,2,10,6,False
2017-07-01,17,0,3,11,6,False
2017-08-01,13,0,2,24,6,False
2017-09-01,24,0,2,19,6,False
2017-10-01,30,0,3,23,6,False
2017-11-01,20,1,2,17,7,False
2017-12-01,37,0,2,16,5,False
2018-01-01,18,0,2,16,7,False
2018-02-01,14,0,2,16,5,False
2018-03-01,14,0,3,14,7,False
2018-04-01,18,1,2,16,5,False
2018-05-01,15,1,2,15,7,False
2018-06-01,16,0,2,14,5,False
2018-07-01,11,0,2,11,6,False
2018-08-01,16,0,1,14,6,False
2018-09-01,18,0,3,11,7,False
2018-10-01,21,0,4,14,7,False
2018-11-01,12,0,4,13,5,False
2018-12-01,13,1,6,19,6,False
2019-01-01,14,0,4,13,6,False
2019-02-01,14,0,3,14,7,False
2019-03-01,9,0,3,12,5,False
2019-04-01,13,0,2,12,6,False
2019-05-01,12,0,3,12,6,False
2019-06-01,14,0,3,12,6,False
2019-07-01,9,0,2,12,8,False
2019-08-01,11,0,4,11,7,False
2019-09-01,19,0,2,11,6,False
2019-10-01,9,0,2,15,6,False
2019-11-01,13,0,2,11,7,False
2019-12-01,13,0,3,13,6,False
2020-01-01,10,0,2,12,10,False
2020-02-01,11,0,2,12,18,False
2020-03-01,7,0,3,10,9,False
2020-04-01,9,0,6,12,5,False
2020-05-01,9,0,3,15,5,False
2020-06-01,6,0,3,14,6,False
2020-07-01,7,0,3,12,12,False
2020-08-01,34,0,2,13,9,False
2020-09-01,24,0,2,12,9,False
2020-10-01,14,0,2,11,7,False
2020-11-01,4,0,0,7,9,True
