date,David Kelley,Stewart Brand,Jeff Hawkins,Tierney Thys,Iraola,isPartial
2008-03-01,34,9,13,2,20,False
2008-04-01,32,12,12,0,21,False
2008-05-01,41,10,11,0,22,False
2008-06-01,33,8,8,0,19,False
2008-07-01,33,13,13,0,12,False
2008-08-01,26,10,16,0,26,False
2008-09-01,26,19,11,3,28,False
2008-10-01,31,10,10,0,24,False
2008-11-01,30,11,14,2,25,False
2008-12-01,40,16,12,2,20,False
2009-01-01,37,10,12,4,24,False
2009-02-01,42,11,9,2,28,False
2009-03-01,34,14,12,0,19,False
2009-04-01,30,14,10,3,25,False
2009-05-01,36,12,8,1,31,False
2009-06-01,34,14,10,2,21,False
2009-07-01,30,15,12,0,21,False
2009-08-01,30,18,13,0,26,False
2009-09-01,27,17,9,0,31,False
2009-10-01,29,18,9,0,22,False
2009-11-01,31,25,10,1,29,False
2009-12-01,25,25,8,1,21,False
2010-01-01,37,23,14,1,28,False
2010-02-01,34,24,9,1,14,False
2010-03-01,37,16,7,0,21,False
2010-04-01,30,19,15,1,22,False
2010-05-01,83,15,13,1,19,False
2010-06-01,33,26,5,1,23,False
2010-07-01,30,15,8,1,16,False
2010-08-01,36,14,8,0,22,False
2010-09-01,30,15,8,0,26,False
2010-10-01,33,23,11,0,28,False
2010-11-01,27,24,9,1,34,False
2010-12-01,25,18,9,0,28,False
2011-01-01,58,16,7,1,22,False
2011-02-01,44,14,8,1,30,False
2011-03-01,38,17,6,0,36,False
2011-04-01,31,20,8,1,27,False
2011-05-01,30,12,8,1,25,False
2011-06-01,25,14,11,2,26,False
2011-07-01,31,11,9,0,22,False
2011-08-01,23,14,8,1,34,False
2011-09-01,28,15,8,0,27,False
2011-10-01,37,28,5,0,25,False
2011-11-01,27,18,7,1,23,False
2011-12-01,29,19,6,0,22,False
2012-01-01,29,18,6,0,20,False
2012-02-01,33,9,4,1,24,False
2012-03-01,26,11,5,1,43,False
2012-04-01,25,13,6,1,27,False
2012-05-01,51,13,6,1,32,False
2012-06-01,33,16,8,1,26,False
2012-07-01,30,17,8,1,18,False
2012-08-01,24,18,8,1,19,False
2012-09-01,30,14,6,1,21,False
2012-10-01,22,13,7,1,20,False
2012-11-01,72,13,7,1,21,False
2012-12-01,28,15,6,0,19,False
2013-01-01,67,11,5,0,19,False
2013-02-01,42,12,6,1,20,False
2013-03-01,38,16,8,0,18,False
2013-04-01,27,14,5,0,20,False
2013-05-01,24,13,7,1,17,False
2013-06-01,48,16,6,0,19,False
2013-07-01,32,13,6,0,19,False
