date,Shigeru Ban,Russell Foster,Steve Ramirez and Xu Liu,May El-Khalil,Iraola,isPartial
2011-06-01,13,17,0,0,20,False
2011-07-01,10,15,0,0,17,False
2011-08-01,11,13,0,0,25,False
2011-09-01,16,27,0,0,20,False
2011-10-01,20,23,0,0,19,False
2011-11-01,17,18,0,0,17,False
2011-12-01,13,10,0,0,16,False
2012-01-01,13,11,0,0,15,False
2012-02-01,15,15,0,0,18,False
2012-03-01,18,13,0,0,33,False
2012-04-01,26,16,0,0,20,False
2012-05-01,19,18,0,0,24,False
2012-06-01,11,12,0,0,19,False
2012-07-01,7,14,0,0,14,False
2012-08-01,8,9,0,0,14,False
2012-09-01,15,24,0,0,16,False
2012-10-01,16,17,0,0,15,False
2012-11-01,12,14,0,0,16,False
2012-12-01,11,11,0,0,14,False
2013-01-01,11,21,0,0,14,False
2013-02-01,11,16,0,0,15,False
2013-03-01,16,13,0,0,14,False
2013-04-01,15,17,0,0,15,False
2013-05-01,13,16,0,0,13,False
2013-06-01,14,10,0,0,14,False
2013-07-01,9,9,0,0,14,False
2013-08-01,17,16,1,1,14,False
2013-09-01,13,21,0,1,18,False
2013-10-01,17,15,0,0,16,False
2013-11-01,17,16,0,0,14,False
2013-12-01,10,9,0,0,15,False
2014-01-01,14,12,0,0,13,False
2014-02-01,15,14,0,0,15,False
2014-03-01,100,12,0,0,17,False
2014-04-01,42,15,0,0,13,False
2014-05-01,27,13,0,0,15,False
2014-06-01,24,11,0,0,12,False
2014-07-01,13,7,0,0,15,False
2014-08-01,19,8,0,0,20,False
2014-09-01,21,14,0,0,21,False
2014-10-01,22,13,0,0,17,False
2014-11-01,18,10,0,0,16,False
2014-12-01,16,8,0,0,13,False
2015-01-01,15,11,1,0,13,False
2015-02-01,14,10,0,0,16,False
2015-03-01,21,12,0,0,22,False
2015-04-01,15,14,0,0,23,False
2015-05-01,17,10,0,0,60,False
2015-06-01,15,9,0,0,27,False
2015-07-01,11,9,0,0,30,False
2015-08-01,13,6,0,0,21,False
2015-09-01,16,16,0,0,18,False
2015-10-01,17,11,0,0,15,False
2015-11-01,16,12,0,0,14,False
2015-12-01,11,10,0,0,12,False
2016-01-01,16,10,0,0,14,False
2016-02-01,15,12,0,0,14,False
2016-03-01,15,11,0,1,15,False
2016-04-01,16,13,0,0,11,False
2016-05-01,19,22,0,0,19,False
2016-06-01,13,9,0,0,15,False
2016-07-01,8,7,0,0,17,False
2016-08-01,9,8,0,0,11,False
2016-09-01,14,12,0,0,15,False
2016-10-01,16,11,0,0,14,False
2016-11-01,14,11,0,0,20,False
2016-12-01,11,10,0,0,11,False
2017-01-01,12,12,0,0,11,False
2017-02-01,13,9,0,0,13,False
2017-03-01,17,10,0,0,11,False
2017-04-01,15,9,0,0,11,False
2017-05-01,14,7,0,0,14,False
2017-06-01,10,8,0,0,11,False
2017-07-01,8,7,0,0,12,False
2017-08-01,9,5,0,0,11,False
2017-09-01,12,11,0,0,11,False
2017-10-01,14,13,0,0,10,False
2017-11-01,14,12,0,0,9,False
2017-12-01,11,7,0,0,8,False
2018-01-01,12,9,0,0,11,False
2018-02-01,10,9,0,0,10,False
2018-03-01,12,8,0,0,8,False
2018-04-01,11,11,0,0,10,False
2018-05-01,9,9,0,0,10,False
2018-06-01,6,7,0,0,10,False
2018-07-01,7,6,0,0,9,False
2018-08-01,7,7,0,0,10,False
2018-09-01,10,12,0,0,11,False
2018-10-01,11,15,0,0,12,False
2018-11-01,10,13,0,0,10,False
2018-12-01,6,7,0,0,9,False
2019-01-01,8,11,0,0,10,False
2019-02-01,9,11,0,0,11,False
2019-03-01,10,10,0,0,9,False
2019-04-01,9,11,0,0,12,False
2019-05-01,9,8,0,0,9,False
2019-06-01,8,8,0,0,10,False
2019-07-01,7,7,0,0,15,False
2019-08-01,6,5,0,0,12,False
2019-09-01,11,17,0,0,10,False
2019-10-01,12,13,0,0,10,False
2019-11-01,9,12,0,0,10,False
2019-12-01,7,17,0,0,11,False
2020-01-01,8,15,0,0,17,False
2020-02-01,9,14,0,0,32,False
2020-03-01,7,9,0,0,13,False
2020-04-01,9,4,0,0,10,False
2020-05-01,6,5,0,0,8,False
2020-06-01,6,4,0,0,10,False
2020-07-01,5,4,0,0,20,False
2020-08-01,8,9,0,0,16,False
2020-09-01,8,12,0,0,12,False
2020-10-01,7,12,0,0,13,False
