date,Inge Missmahl,Mechai Viravaidya,Eben Bayer,Tim Jackson,Iraola,isPartial
2012-07-01,0,0,1,31,14,False
2012-08-01,0,1,1,28,15,False
2012-09-01,0,0,1,31,16,False
2012-10-01,1,0,0,32,16,False
2012-11-01,0,1,0,33,16,False
2012-12-01,0,1,0,30,14,False
2013-01-01,0,0,1,27,15,False
2013-02-01,0,0,1,30,15,False
2013-03-01,0,1,1,27,14,False
2013-04-01,0,1,1,34,16,False
2013-05-01,0,1,0,35,13,False
2013-06-01,0,1,0,35,14,False
2013-07-01,0,1,1,28,15,False
2013-08-01,0,1,0,29,15,False
2013-09-01,0,1,1,27,19,False
2013-10-01,0,1,1,26,16,False
2013-11-01,0,1,1,33,15,False
2013-12-01,0,1,0,26,15,False
2014-01-01,0,0,0,28,14,False
2014-02-01,0,1,1,28,15,False
2014-03-01,0,1,0,27,18,False
2014-04-01,0,0,1,26,14,False
2014-05-01,0,0,1,29,15,False
2014-06-01,0,0,1,36,13,False
2014-07-01,1,0,1,32,16,False
2014-08-01,0,0,0,30,21,False
2014-09-01,0,0,0,24,22,False
2014-10-01,0,0,0,25,17,False
2014-11-01,0,1,1,22,16,False
2014-12-01,0,0,0,26,14,False
2015-01-01,0,0,1,25,13,False
2015-02-01,0,0,1,24,16,False
2015-03-01,0,0,0,23,23,False
2015-04-01,0,0,1,25,23,False
2015-05-01,0,0,0,25,62,False
2015-06-01,0,1,1,26,27,False
2015-07-01,0,0,0,23,31,False
2015-08-01,0,0,0,24,21,False
2015-09-01,0,0,0,23,19,False
2015-10-01,0,1,1,24,15,False
2015-11-01,0,0,0,21,14,False
2015-12-01,0,0,0,25,13,False
2016-01-01,0,0,0,23,15,False
2016-02-01,0,0,0,27,15,False
2016-03-01,0,0,0,24,16,False
2016-04-01,0,0,0,24,11,False
2016-05-01,0,0,0,24,20,False
2016-06-01,0,0,0,24,16,False
2016-07-01,0,0,0,23,17,False
2016-08-01,0,0,0,20,11,False
2016-09-01,0,1,0,25,16,False
2016-10-01,0,0,0,25,15,False
2016-11-01,0,1,1,29,21,False
2016-12-01,0,1,0,24,12,False
2017-01-01,0,0,0,21,11,False
2017-02-01,0,0,0,22,13,False
2017-03-01,0,1,0,22,11,False
2017-04-01,0,0,1,22,12,False
2017-05-01,0,0,0,18,15,False
2017-06-01,0,1,0,19,12,False
2017-07-01,0,0,0,20,12,False
2017-08-01,0,0,0,19,11,False
2017-09-01,0,1,0,22,11,False
2017-10-01,0,0,0,20,10,False
2017-11-01,1,0,1,25,9,False
2017-12-01,0,0,0,19,9,False
2018-01-01,0,0,0,21,12,False
2018-02-01,0,0,0,21,10,False
2018-03-01,0,0,0,20,8,False
2018-04-01,0,0,0,19,10,False
2018-05-01,0,0,1,19,11,False
2018-06-01,0,0,0,20,11,False
2018-07-01,0,0,0,15,10,False
2018-08-01,0,0,0,20,11,False
2018-09-01,0,0,0,18,11,False
2018-10-01,0,1,1,20,12,False
2018-11-01,0,1,0,21,10,False
2018-12-01,0,0,1,18,10,False
2019-01-01,0,0,0,20,10,False
2019-02-01,0,1,0,21,12,False
2019-03-01,0,0,0,22,10,False
2019-04-01,0,0,0,17,12,False
2019-05-01,0,0,0,17,10,False
2019-06-01,0,0,0,20,10,False
2019-07-01,0,0,0,21,15,False
2019-08-01,0,0,0,16,12,False
2019-09-01,0,0,0,19,11,False
2019-10-01,0,0,0,17,10,False
2019-11-01,0,0,0,20,10,False
2019-12-01,0,0,0,32,12,False
2020-01-01,0,0,0,18,18,False
2020-02-01,0,0,0,18,33,False
2020-03-01,0,0,0,17,13,False
2020-04-01,0,0,0,21,11,False
2020-05-01,0,0,0,20,8,False
2020-06-01,0,0,0,17,10,False
2020-07-01,0,0,0,18,21,False
2020-08-01,0,0,0,20,17,False
2020-09-01,0,0,0,16,12,False
2020-10-01,0,0,0,18,13,False
