date,Melissa Fleming,Susan Etlinger,Fred Swaniker,Joy Sun,Iraola,isPartial
2013-04-01,2,2,1,23,25,False
2013-05-01,2,0,1,22,21,False
2013-06-01,2,0,1,19,23,False
2013-07-01,2,1,1,19,23,False
2013-08-01,3,1,1,17,24,False
2013-09-01,2,0,1,18,30,False
2013-10-01,3,1,1,20,26,False
2013-11-01,2,0,1,18,24,False
2013-12-01,2,0,1,19,25,False
2014-01-01,1,0,1,21,22,False
2014-02-01,2,0,0,19,25,False
2014-03-01,2,0,1,19,28,False
2014-04-01,2,1,1,22,22,False
2014-05-01,2,0,1,22,25,False
2014-06-01,2,1,1,18,21,False
2014-07-01,3,0,1,23,26,False
2014-08-01,3,1,1,25,34,False
2014-09-01,1,1,1,21,35,False
2014-10-01,3,2,3,25,27,False
2014-11-01,3,1,2,23,26,False
2014-12-01,2,1,2,21,22,False
2015-01-01,4,1,1,22,21,False
2015-02-01,2,1,3,18,26,False
2015-03-01,2,1,1,21,37,False
2015-04-01,2,1,2,24,38,False
2015-05-01,3,1,1,20,100,False
2015-06-01,3,1,1,20,44,False
2015-07-01,3,0,1,18,50,False
2015-08-01,5,0,1,20,34,False
2015-09-01,7,0,1,21,30,False
2015-10-01,18,0,1,19,24,False
2015-11-01,8,0,1,18,23,False
2015-12-01,5,0,0,24,20,False
2016-01-01,3,0,1,23,24,False
2016-02-01,8,1,1,21,23,False
2016-03-01,3,0,1,23,26,False
2016-04-01,4,1,1,26,18,False
2016-05-01,3,0,1,25,32,False
2016-06-01,2,0,2,20,26,False
2016-07-01,3,0,1,18,28,False
2016-08-01,2,1,0,15,18,False
2016-09-01,3,1,1,21,25,False
2016-10-01,3,1,1,18,24,False
2016-11-01,3,1,0,19,33,False
2016-12-01,3,0,1,19,19,False
2017-01-01,5,0,1,20,18,False
2017-02-01,4,1,1,19,21,False
2017-03-01,7,0,2,25,18,False
2017-04-01,4,0,1,22,19,False
2017-05-01,2,1,1,23,24,False
2017-06-01,4,0,1,16,19,False
2017-07-01,3,1,0,15,20,False
2017-08-01,2,0,1,20,18,False
2017-09-01,2,0,1,16,18,False
2017-10-01,1,0,1,12,16,False
2017-11-01,2,1,2,19,14,False
2017-12-01,3,0,1,21,14,False
2018-01-01,3,0,1,20,19,False
2018-02-01,2,0,1,37,17,False
2018-03-01,2,1,1,33,14,False
2018-04-01,2,1,2,37,16,False
2018-05-01,2,0,2,35,17,False
2018-06-01,3,0,1,33,17,False
2018-07-01,3,1,2,31,16,False
2018-08-01,3,0,1,20,17,False
2018-09-01,3,0,1,23,18,False
2018-10-01,1,0,2,25,20,False
2018-11-01,3,1,1,18,17,False
2018-12-01,2,1,1,20,16,False
2019-01-01,2,0,1,20,16,False
2019-02-01,2,0,2,21,19,False
2019-03-01,2,0,1,23,15,False
2019-04-01,1,0,4,26,19,False
2019-05-01,2,0,1,24,16,False
2019-06-01,1,0,2,23,17,False
2019-07-01,2,0,2,25,24,False
2019-08-01,3,0,1,19,20,False
2019-09-01,3,1,1,20,17,False
2019-10-01,3,1,1,16,16,False
2019-11-01,2,0,1,18,16,False
2019-12-01,3,1,1,19,19,False
2020-01-01,3,0,1,20,28,False
2020-02-01,2,0,1,20,54,False
2020-03-01,2,0,1,18,21,False
2020-04-01,2,0,1,21,17,False
2020-05-01,2,0,1,26,14,False
2020-06-01,2,0,1,26,16,False
2020-07-01,1,0,1,19,34,False
2020-08-01,1,1,1,21,27,False
2020-09-01,2,0,2,19,19,False
2020-10-01,2,0,0,16,21,False
