date,Tan Le,Kevin Stone,Sheena Iyengar,Susan Shaw,Iraola,isPartial
2018-03-01,43,6,0,2,3,False
2018-04-01,40,5,0,3,4,False
2018-05-01,45,5,0,2,4,False
2018-06-01,41,5,0,2,4,False
2018-07-01,40,6,0,3,4,False
2018-08-01,40,5,0,2,4,False
2018-09-01,100,4,0,2,4,False
2018-10-01,65,5,0,2,5,False
2018-11-01,45,4,2,2,4,False
2018-12-01,39,5,1,2,4,False
2019-01-01,38,6,0,2,4,False
2019-02-01,40,7,1,3,5,False
2019-03-01,47,5,1,3,4,False
2019-04-01,41,5,0,2,5,False
2019-05-01,43,5,1,2,4,False
2019-06-01,40,6,0,2,4,False
2019-07-01,80,6,0,2,6,False
2019-08-01,42,5,0,2,5,False
2019-09-01,52,5,0,2,4,False
2019-10-01,98,5,0,2,4,False
2019-11-01,49,4,0,2,4,False
2019-12-01,38,5,0,2,5,False
2020-01-01,35,5,1,7,7,False
2020-02-01,38,5,0,2,13,False
2020-03-01,36,4,0,2,5,False
2020-04-01,43,5,0,2,4,False
2020-05-01,46,6,1,2,3,False
2020-06-01,41,5,1,2,4,False
2020-07-01,37,5,0,2,8,False
2020-08-01,40,5,0,2,7,False
2020-09-01,41,4,0,2,5,False
2020-10-01,43,4,0,3,5,False
