date,Maya Beiser,Bill Ford,Daniel Tammet,Jok Church,Iraola,isPartial
2017-12-01,0,46,7,0,5,False
2018-01-01,0,50,4,0,7,False
2018-02-01,0,48,3,0,6,False
2018-03-01,0,51,6,0,5,False
2018-04-01,1,50,4,0,6,False
2018-05-01,0,51,3,0,6,False
2018-06-01,0,51,4,0,6,False
2018-07-01,0,45,5,0,6,False
2018-08-01,0,50,5,0,6,False
2018-09-01,0,83,6,0,7,False
2018-10-01,0,64,6,0,7,False
2018-11-01,0,43,4,0,6,False
2018-12-01,0,47,5,0,6,False
2019-01-01,0,49,6,0,6,False
2019-02-01,0,50,4,0,7,False
2019-03-01,0,52,4,0,6,False
2019-04-01,0,45,5,0,7,False
2019-05-01,0,47,3,0,6,False
2019-06-01,0,49,5,0,6,False
2019-07-01,0,47,4,0,9,False
2019-08-01,0,55,4,0,7,False
2019-09-01,1,55,4,0,6,False
2019-10-01,0,52,4,0,6,False
2019-11-01,0,54,4,0,6,False
2019-12-01,0,50,3,0,7,False
2020-01-01,1,49,10,0,10,False
2020-02-01,0,53,6,0,19,False
2020-03-01,0,50,6,0,8,False
2020-04-01,0,52,7,0,6,False
2020-05-01,0,56,3,0,5,False
2020-06-01,0,55,3,0,6,False
2020-07-01,0,55,2,0,12,False
2020-08-01,0,51,2,0,10,False
2020-09-01,0,46,2,0,7,False
2020-10-01,0,47,2,0,8,False
