date,Laura Carstensen,Christina Warinner,Michael Norton,Jon Bergmann,Iraola,isPartial
2015-10-01,1,0,26,0,24,False
2015-11-01,1,1,31,0,23,False
2015-12-01,1,1,22,1,20,False
2016-01-01,1,0,27,1,24,False
2016-02-01,1,0,24,1,23,False
2016-03-01,1,1,23,0,26,False
2016-04-01,1,0,23,1,18,False
2016-05-01,1,0,22,0,32,False
2016-06-01,1,0,22,1,26,False
2016-07-01,1,1,19,0,28,False
2016-08-01,1,1,18,1,18,False
2016-09-01,1,1,20,0,25,False
2016-10-01,1,1,18,1,24,False
2016-11-01,1,1,22,1,33,False
2016-12-01,1,1,30,0,19,False
2017-01-01,0,1,28,1,18,False
2017-02-01,0,1,26,0,21,False
2017-03-01,1,1,22,0,18,False
2017-04-01,1,1,25,1,19,False
2017-05-01,1,0,25,1,24,False
2017-06-01,1,0,16,1,19,False
2017-07-01,1,0,19,1,20,False
2017-08-01,1,0,19,0,18,False
2017-09-01,1,0,17,0,18,False
2017-10-01,1,0,19,0,16,False
2017-11-01,1,1,21,1,14,False
2017-12-01,0,0,20,0,14,False
2018-01-01,1,0,19,1,19,False
2018-02-01,1,1,20,1,17,False
2018-03-01,1,0,17,1,14,False
2018-04-01,1,0,19,0,16,False
2018-05-01,1,0,16,0,17,False
2018-06-01,0,0,17,0,17,False
2018-07-01,1,0,16,1,16,False
2018-08-01,0,1,15,1,17,False
2018-09-01,0,0,15,0,18,False
2018-10-01,1,0,21,1,20,False
2018-11-01,1,0,26,1,17,False
2018-12-01,1,1,28,0,16,False
2019-01-01,1,1,19,0,16,False
2019-02-01,1,0,25,0,19,False
2019-03-01,1,1,17,1,15,False
2019-04-01,0,0,16,0,19,False
2019-05-01,2,0,21,0,16,False
2019-06-01,1,0,22,1,17,False
2019-07-01,1,0,16,0,24,False
2019-08-01,1,0,15,1,20,False
2019-09-01,0,0,13,0,17,False
2019-10-01,0,1,18,1,16,False
2019-11-01,1,1,16,0,16,False
2019-12-01,2,0,19,0,19,False
2020-01-01,1,1,27,1,28,False
2020-02-01,1,0,20,0,54,False
2020-03-01,0,0,13,1,21,False
2020-04-01,0,0,21,0,17,False
2020-05-01,0,0,15,0,14,False
2020-06-01,1,1,16,0,16,False
2020-07-01,1,0,18,0,34,False
2020-08-01,1,0,18,0,27,False
2020-09-01,1,0,17,0,19,False
2020-10-01,1,0,17,1,21,False
