date,Uri Hasson,Sanford Biggers,Sangeeta Bhatia,Kang Lee,Iraola,isPartial
2016-09-01,1,1,2,92,17,False
2016-10-01,1,1,1,74,16,False
2016-11-01,0,0,1,70,23,False
2016-12-01,1,1,1,78,13,False
2017-01-01,0,1,1,65,12,False
2017-02-01,0,1,1,58,14,False
2017-03-01,1,1,1,48,12,False
2017-04-01,0,1,1,67,13,False
2017-05-01,1,1,2,59,16,False
2017-06-01,1,1,1,55,13,False
2017-07-01,1,0,1,52,13,False
2017-08-01,0,1,1,53,12,False
2017-09-01,1,1,1,44,12,False
2017-10-01,1,1,0,47,11,False
2017-11-01,1,0,1,44,10,False
2017-12-01,0,1,1,50,9,False
2018-01-01,1,3,1,47,13,False
2018-02-01,0,1,1,42,11,False
2018-03-01,0,1,2,48,9,False
2018-04-01,1,1,1,43,11,False
2018-05-01,0,0,1,43,12,False
2018-06-01,1,1,1,47,12,False
2018-07-01,0,1,0,53,11,False
2018-08-01,0,0,1,43,12,False
2018-09-01,1,1,1,34,12,False
2018-10-01,1,1,1,34,14,False
2018-11-01,0,1,1,33,11,False
2018-12-01,1,0,1,39,11,False
2019-01-01,1,1,1,45,11,False
2019-02-01,0,1,1,34,13,False
2019-03-01,0,1,1,37,10,False
2019-04-01,0,1,1,36,13,False
2019-05-01,0,0,1,37,11,False
2019-06-01,0,1,1,63,11,False
2019-07-01,1,1,1,44,16,False
2019-08-01,0,0,1,47,13,False
2019-09-01,0,1,1,43,12,False
2019-10-01,0,1,1,42,11,False
2019-11-01,1,1,1,41,11,False
2019-12-01,0,0,1,47,13,False
2020-01-01,1,1,1,47,19,False
2020-02-01,0,1,1,51,36,False
2020-03-01,1,0,1,57,15,False
2020-04-01,1,0,1,92,12,False
2020-05-01,0,0,1,70,9,False
2020-06-01,0,1,1,76,11,False
2020-07-01,0,1,1,62,23,False
2020-08-01,0,1,1,58,18,False
2020-09-01,0,1,1,59,13,False
2020-10-01,0,1,0,54,14,False
