date,Malcolm London,Geoffrey Canada,Angela Lee Duckworth,Meg Jay,Iraola,isPartial
2009-04-01,9,8,0,2,32,False
2009-05-01,15,18,2,3,39,False
2009-06-01,15,9,0,2,27,False
2009-07-01,11,17,0,0,26,False
2009-08-01,13,13,2,5,32,False
2009-09-01,14,12,0,2,38,False
2009-10-01,14,13,1,3,28,False
2009-11-01,9,17,0,1,36,False
2009-12-01,7,27,0,3,27,False
2010-01-01,12,12,1,3,35,False
2010-02-01,7,23,0,2,18,False
2010-03-01,14,22,0,3,26,False
2010-04-01,19,25,0,3,27,False
2010-05-01,14,20,1,2,24,False
2010-06-01,8,18,1,2,29,False
2010-07-01,12,15,1,3,20,False
2010-08-01,10,24,0,3,27,False
2010-09-01,8,53,0,2,32,False
2010-10-01,10,53,1,4,34,False
2010-11-01,9,30,0,3,42,False
2010-12-01,7,20,1,1,34,False
2011-01-01,8,28,1,3,28,False
2011-02-01,11,29,1,3,38,False
2011-03-01,9,30,1,1,46,False
2011-04-01,10,28,2,3,34,False
2011-05-01,9,16,1,2,31,False
2011-06-01,9,16,1,3,33,False
2011-07-01,8,14,1,2,28,False
2011-08-01,9,16,1,1,42,False
2011-09-01,7,12,2,3,34,False
2011-10-01,8,14,1,2,32,False
2011-11-01,11,14,1,3,28,False
2011-12-01,8,20,1,1,27,False
2012-01-01,9,14,0,4,25,False
2012-02-01,12,14,0,2,30,False
2012-03-01,8,15,1,2,54,False
2012-04-01,10,19,1,10,34,False
2012-05-01,11,18,1,5,41,False
2012-06-01,12,11,1,5,32,False
2012-07-01,13,10,1,4,23,False
2012-08-01,14,11,1,4,24,False
2012-09-01,8,13,2,3,26,False
2012-10-01,8,14,1,2,25,False
2012-11-01,9,12,1,3,27,False
2012-12-01,7,11,1,2,23,False
2013-01-01,10,10,1,5,24,False
2013-02-01,11,13,1,6,25,False
2013-03-01,7,9,1,11,23,False
2013-04-01,11,12,1,3,25,False
2013-05-01,13,19,12,29,21,False
2013-06-01,8,12,8,19,23,False
2013-07-01,10,15,6,17,23,False
2013-08-01,8,10,4,15,24,False
2013-09-01,11,11,6,16,30,False
2013-10-01,11,11,5,15,26,False
2013-11-01,8,11,11,12,24,False
2013-12-01,8,10,8,12,25,False
2014-01-01,9,9,5,13,22,False
2014-02-01,10,12,6,13,25,False
2014-03-01,12,11,7,13,28,False
2014-04-01,10,9,7,8,22,False
2014-05-01,11,8,4,7,25,False
2014-06-01,9,6,5,6,21,False
2014-07-01,9,6,3,9,26,False
2014-08-01,9,7,6,12,34,False
2014-09-01,8,10,7,7,35,False
2014-10-01,8,10,6,10,27,False
2014-11-01,8,9,6,7,26,False
2014-12-01,8,6,4,6,22,False
2015-01-01,9,7,5,10,21,False
2015-02-01,13,5,4,6,26,False
2015-03-01,10,8,6,6,37,False
2015-04-01,7,5,5,7,38,False
2015-05-01,7,7,6,6,100,False
2015-06-01,8,7,7,4,44,False
2015-07-01,9,3,4,6,50,False
2015-08-01,6,4,5,7,34,False
2015-09-01,10,6,5,10,30,False
2015-10-01,9,6,4,7,24,False
2015-11-01,23,5,6,6,23,False
2015-12-01,10,5,3,5,20,False
2016-01-01,7,4,2,5,24,False
2016-02-01,11,7,6,5,23,False
2016-03-01,11,5,4,5,26,False
2016-04-01,8,5,3,5,18,False
2016-05-01,10,7,7,6,32,False
2016-06-01,10,4,4,4,26,False
2016-07-01,7,5,4,7,28,False
2016-08-01,7,4,4,6,18,False
2016-09-01,9,5,4,4,25,False
2016-10-01,9,7,3,4,24,False
2016-11-01,9,6,4,4,33,False
2016-12-01,6,5,5,3,19,False
2017-01-01,9,5,6,4,18,False
2017-02-01,9,6,4,4,21,False
2017-03-01,9,6,4,3,18,False
2017-04-01,11,5,4,4,19,False
2017-05-01,7,5,5,5,24,False
2017-06-01,9,5,6,4,19,False
2017-07-01,8,3,11,5,20,False
2017-08-01,8,4,17,3,18,False
2017-09-01,7,5,12,3,18,False
2017-10-01,8,4,7,5,16,False
2017-11-01,8,6,4,5,14,False
2017-12-01,6,4,2,7,14,False
2018-01-01,6,4,3,4,19,False
2018-02-01,9,4,4,6,17,False
2018-03-01,9,5,3,4,14,False
2018-04-01,8,5,3,6,16,False
2018-05-01,7,4,4,2,17,False
2018-06-01,6,4,2,6,17,False
2018-07-01,7,6,3,4,16,False
2018-08-01,6,4,6,6,17,False
2018-09-01,7,7,5,5,18,False
2018-10-01,6,4,3,4,20,False
2018-11-01,7,4,3,10,17,False
2018-12-01,5,4,3,4,16,False
2019-01-01,7,4,3,5,16,False
2019-02-01,5,4,3,4,19,False
2019-03-01,7,5,3,4,15,False
2019-04-01,6,3,4,3,19,False
2019-05-01,6,4,2,4,16,False
2019-06-01,5,3,2,6,17,False
2019-07-01,4,4,2,4,24,False
2019-08-01,7,4,3,3,20,False
2019-09-01,7,4,2,5,17,False
2019-10-01,6,3,3,4,16,False
2019-11-01,6,4,3,4,16,False
2019-12-01,4,3,3,3,19,False
2020-01-01,4,3,2,5,28,False
2020-02-01,8,8,3,3,54,False
2020-03-01,3,4,3,4,21,False
2020-04-01,5,5,2,5,17,False
2020-05-01,4,7,3,3,14,False
2020-06-01,19,6,2,5,16,False
2020-07-01,4,4,2,5,34,False
2020-08-01,12,4,4,3,27,False
2020-09-01,5,4,3,4,19,False
2020-10-01,6,3,2,3,21,False
