date,Suzanne Simard,Anthony Goldbloom,Martin Reeves,Molly Winter,Iraola,isPartial
2011-03-01,1,0,8,3,46,False
2011-04-01,1,0,7,2,34,False
2011-05-01,2,1,7,2,31,False
2011-06-01,0,0,4,2,33,False
2011-07-01,0,0,6,3,28,False
2011-08-01,0,0,7,4,42,False
2011-09-01,2,0,9,4,34,False
2011-10-01,1,1,4,2,32,False
2011-11-01,1,2,6,4,28,False
2011-12-01,2,1,4,4,27,False
2012-01-01,1,1,6,4,25,False
2012-02-01,1,1,9,4,30,False
2012-03-01,1,1,8,2,54,False
2012-04-01,2,0,6,3,34,False
2012-05-01,1,0,7,3,41,False
2012-06-01,2,1,6,3,32,False
2012-07-01,1,1,5,2,23,False
2012-08-01,1,1,8,3,24,False
2012-09-01,1,1,8,4,26,False
2012-10-01,2,0,6,3,25,False
2012-11-01,1,0,6,4,27,False
2012-12-01,1,1,6,7,23,False
2013-01-01,1,1,8,6,24,False
2013-02-01,1,0,7,5,25,False
2013-03-01,1,0,4,3,23,False
2013-04-01,1,1,5,4,25,False
2013-05-01,1,1,6,2,21,False
2013-06-01,1,0,5,3,23,False
2013-07-01,1,1,6,3,23,False
2013-08-01,1,1,7,4,24,False
2013-09-01,0,1,6,5,30,False
2013-10-01,1,2,5,5,26,False
2013-11-01,1,1,7,4,24,False
2013-12-01,1,1,10,5,25,False
2014-01-01,2,0,6,7,22,False
2014-02-01,1,0,6,9,25,False
2014-03-01,1,1,7,4,28,False
2014-04-01,1,1,6,5,22,False
2014-05-01,1,1,5,4,25,False
2014-06-01,2,1,7,3,21,False
2014-07-01,1,1,6,4,26,False
2014-08-01,1,1,7,3,34,False
2014-09-01,1,0,6,4,35,False
2014-10-01,1,1,9,4,27,False
2014-11-01,1,1,6,6,26,False
2014-12-01,2,0,5,5,22,False
2015-01-01,1,1,10,6,21,False
2015-02-01,1,1,10,6,26,False
2015-03-01,1,0,8,4,37,False
2015-04-01,2,0,7,3,38,False
2015-05-01,1,0,6,3,100,False
2015-06-01,1,2,6,3,44,False
2015-07-01,0,0,6,2,50,False
2015-08-01,1,0,7,4,34,False
2015-09-01,0,1,7,5,30,False
2015-10-01,0,0,5,4,24,False
2015-11-01,0,0,7,4,23,False
2015-12-01,1,0,7,6,20,False
2016-01-01,1,0,7,8,24,False
2016-02-01,1,1,7,4,23,False
2016-03-01,1,0,8,2,26,False
2016-04-01,2,0,5,4,18,False
2016-05-01,1,0,6,2,32,False
2016-06-01,0,0,6,3,26,False
2016-07-01,4,1,4,3,28,False
2016-08-01,4,2,8,5,18,False
2016-09-01,4,1,4,5,25,False
2016-10-01,1,1,5,5,24,False
2016-11-01,2,1,4,6,33,False
2016-12-01,1,1,5,5,19,False
2017-01-01,1,1,4,5,18,False
2017-02-01,2,0,10,4,21,False
2017-03-01,1,1,6,4,18,False
2017-04-01,1,0,5,3,19,False
2017-05-01,1,1,5,5,24,False
2017-06-01,1,1,5,3,19,False
2017-07-01,1,0,5,2,20,False
2017-08-01,2,1,4,2,18,False
2017-09-01,1,1,6,3,18,False
2017-10-01,2,1,5,4,16,False
2017-11-01,2,1,5,4,14,False
2017-12-01,2,0,6,6,14,False
2018-01-01,1,1,5,6,19,False
2018-02-01,2,1,5,8,17,False
2018-03-01,2,1,6,3,14,False
2018-04-01,2,1,4,2,16,False
2018-05-01,2,0,5,3,17,False
2018-06-01,2,1,5,2,17,False
2018-07-01,2,0,5,3,16,False
2018-08-01,2,0,6,2,17,False
2018-09-01,2,0,6,2,18,False
2018-10-01,2,1,4,4,20,False
2018-11-01,2,1,5,5,17,False
2018-12-01,2,0,5,4,16,False
2019-01-01,1,0,7,3,16,False
2019-02-01,2,0,6,3,19,False
2019-03-01,1,0,5,2,15,False
2019-04-01,1,0,4,1,19,False
2019-05-01,2,1,8,2,16,False
2019-06-01,2,0,11,3,17,False
2019-07-01,2,0,6,3,24,False
2019-08-01,3,0,7,3,20,False
2019-09-01,2,0,6,3,17,False
2019-10-01,2,0,7,4,16,False
2019-11-01,1,0,8,7,16,False
2019-12-01,2,0,6,7,19,False
2020-01-01,2,0,7,5,28,False
2020-02-01,3,0,10,6,54,False
2020-03-01,1,1,5,2,21,False
2020-04-01,2,0,6,3,17,False
2020-05-01,2,0,7,3,14,False
2020-06-01,1,1,6,2,16,False
2020-07-01,2,1,6,2,34,False
2020-08-01,2,0,7,3,27,False
2020-09-01,1,1,6,3,19,False
2020-10-01,1,0,5,5,21,False
