date,Giles Duley,Michael Anti,Stephen Ritz,Daphne Koller,Iraola,isPartial
2012-11-01,1,14,1,3,16,False
2012-12-01,0,13,1,4,14,False
2013-01-01,0,11,1,4,14,False
2013-02-01,10,11,1,4,15,False
2013-03-01,4,12,1,5,14,False
2013-04-01,3,11,2,7,16,False
2013-05-01,1,13,1,5,13,False
2013-06-01,2,11,1,3,14,False
2013-07-01,2,9,1,2,14,False
2013-08-01,2,11,2,3,15,False
2013-09-01,2,11,1,3,18,False
2013-10-01,1,12,2,3,16,False
2013-11-01,1,11,1,4,15,False
2013-12-01,1,11,1,3,15,False
2014-01-01,4,15,1,3,14,False
2014-02-01,2,14,1,3,15,False
2014-03-01,1,11,1,3,17,False
2014-04-01,1,14,1,3,13,False
2014-05-01,1,14,1,3,15,False
2014-06-01,1,11,2,2,13,False
2014-07-01,1,10,2,2,16,False
2014-08-01,1,11,1,3,21,False
2014-09-01,1,9,1,3,22,False
2014-10-01,3,10,1,2,17,False
2014-11-01,0,12,1,2,16,False
2014-12-01,1,11,1,2,13,False
2015-01-01,1,11,1,2,13,False
2015-02-01,1,9,3,1,16,False
2015-03-01,2,9,2,3,22,False
2015-04-01,1,12,1,2,23,False
2015-05-01,1,8,2,1,61,False
2015-06-01,1,7,1,2,27,False
2015-07-01,4,8,1,1,31,False
2015-08-01,1,9,1,2,21,False
2015-09-01,1,9,2,1,18,False
2015-10-01,2,12,2,2,15,False
2015-11-01,1,11,1,2,14,False
2015-12-01,1,11,1,3,12,False
2016-01-01,1,13,2,2,15,False
2016-02-01,2,13,2,2,14,False
2016-03-01,1,10,1,1,16,False
2016-04-01,1,12,2,2,11,False
2016-05-01,1,12,0,2,20,False
2016-06-01,1,10,1,2,16,False
2016-07-01,1,12,1,1,17,False
2016-08-01,1,9,1,3,11,False
2016-09-01,1,9,2,1,16,False
2016-10-01,0,9,2,2,15,False
2016-11-01,1,13,1,1,20,False
2016-12-01,1,15,1,2,12,False
2017-01-01,1,14,1,2,11,False
2017-02-01,0,14,1,2,13,False
2017-03-01,1,9,1,1,11,False
2017-04-01,1,10,0,2,11,False
2017-05-01,1,9,1,1,15,False
2017-06-01,3,9,2,2,11,False
2017-07-01,1,10,2,2,12,False
2017-08-01,1,9,1,1,11,False
2017-09-01,1,8,1,2,11,False
2017-10-01,1,10,1,2,10,False
2017-11-01,1,10,2,1,9,False
2017-12-01,1,8,1,2,8,False
2018-01-01,1,13,1,2,12,False
2018-02-01,1,11,1,2,10,False
2018-03-01,2,9,2,3,8,False
2018-04-01,2,9,1,1,10,False
2018-05-01,1,9,1,2,10,False
2018-06-01,1,7,1,2,11,False
2018-07-01,1,9,1,1,10,False
2018-08-01,1,8,1,2,11,False
2018-09-01,1,9,1,2,11,False
2018-10-01,1,10,1,1,12,False
2018-11-01,1,9,1,1,10,False
2018-12-01,0,8,1,1,10,False
2019-01-01,1,8,1,2,10,False
2019-02-01,1,10,1,6,11,False
2019-03-01,1,11,1,1,9,False
2019-04-01,0,9,1,1,12,False
2019-05-01,1,8,1,1,10,False
2019-06-01,1,8,1,2,10,False
2019-07-01,0,6,1,2,15,False
2019-08-01,1,7,1,1,12,False
2019-09-01,0,9,1,1,11,False
2019-10-01,1,8,1,1,10,False
2019-11-01,1,9,1,2,10,False
2019-12-01,1,10,1,1,11,False
2020-01-01,0,9,1,1,17,False
2020-02-01,0,11,1,2,33,False
2020-03-01,0,8,1,1,13,False
2020-04-01,0,9,1,1,10,False
2020-05-01,1,10,0,3,8,False
2020-06-01,1,9,1,1,10,False
2020-07-01,0,11,0,1,21,False
2020-08-01,1,9,1,1,16,False
2020-09-01,1,8,0,1,12,False
2020-10-01,0,7,1,1,13,False
