date,James Forbes,Feisal Abdul Rauf,Graham Hawkes,James Surowiecki,Iraola,isPartial
2011-05-01,10,2,1,2,18,False
2011-06-01,10,2,2,1,19,False
2011-07-01,11,2,1,2,16,False
2011-08-01,11,2,1,1,24,False
2011-09-01,10,1,1,1,20,False
2011-10-01,9,1,1,1,18,False
2011-11-01,9,1,1,1,16,False
2011-12-01,9,1,1,1,16,False
2012-01-01,14,1,1,2,15,False
2012-02-01,9,1,1,1,18,False
2012-03-01,9,1,1,2,32,False
2012-04-01,12,2,0,2,20,False
2012-05-01,14,2,1,2,24,False
2012-06-01,14,1,1,1,19,False
2012-07-01,13,1,1,1,13,False
2012-08-01,14,1,0,1,14,False
2012-09-01,13,2,1,1,15,False
2012-10-01,11,0,1,2,15,False
2012-11-01,12,1,1,1,15,False
2012-12-01,11,0,0,2,14,False
2013-01-01,9,1,0,2,14,False
2013-02-01,12,1,1,1,14,False
2013-03-01,11,1,0,2,13,False
2013-04-01,11,1,0,2,15,False
2013-05-01,9,1,0,1,12,False
2013-06-01,18,1,1,1,14,False
2013-07-01,10,0,0,1,14,False
2013-08-01,11,0,0,1,14,False
2013-09-01,11,1,1,2,17,False
2013-10-01,12,0,1,2,15,False
2013-11-01,12,1,1,2,14,False
2013-12-01,11,0,0,1,14,False
2014-01-01,10,0,0,1,13,False
2014-02-01,10,0,0,1,15,False
2014-03-01,11,1,1,1,16,False
2014-04-01,13,1,0,1,13,False
2014-05-01,16,0,0,2,14,False
2014-06-01,16,1,1,1,12,False
2014-07-01,17,1,1,2,15,False
2014-08-01,14,2,0,1,20,False
2014-09-01,11,1,1,2,21,False
2014-10-01,12,1,1,2,16,False
2014-11-01,9,1,1,2,15,False
2014-12-01,11,0,1,2,13,False
2015-01-01,11,1,0,1,12,False
2015-02-01,10,0,1,1,15,False
2015-03-01,10,0,1,1,21,False
2015-04-01,9,0,1,1,22,False
2015-05-01,13,1,1,1,58,False
2015-06-01,14,0,1,1,26,False
2015-07-01,10,1,0,1,29,False
2015-08-01,9,0,0,1,20,False
2015-09-01,10,1,0,1,17,False
2015-10-01,11,0,0,1,14,False
2015-11-01,11,1,0,1,13,False
2015-12-01,11,1,1,1,12,False
2016-01-01,11,0,1,1,14,False
2016-02-01,11,0,1,2,14,False
2016-03-01,9,1,1,1,15,False
2016-04-01,8,1,1,1,11,False
2016-05-01,10,1,0,1,19,False
2016-06-01,12,0,0,1,15,False
2016-07-01,13,0,1,0,16,False
2016-08-01,10,1,1,1,10,False
2016-09-01,9,0,0,1,15,False
2016-10-01,10,0,1,0,14,False
2016-11-01,9,0,1,1,19,False
2016-12-01,9,0,0,1,11,False
2017-01-01,12,0,1,1,10,False
2017-02-01,10,0,0,1,12,False
2017-03-01,10,0,0,1,11,False
2017-04-01,10,0,1,1,11,False
2017-05-01,12,0,1,1,14,False
2017-06-01,12,0,1,1,11,False
2017-07-01,12,0,1,0,12,False
2017-08-01,9,0,0,1,10,False
2017-09-01,7,0,0,1,10,False
2017-10-01,9,0,0,1,9,False
2017-11-01,9,0,1,1,8,False
2017-12-01,10,0,0,1,8,False
2018-01-01,11,0,0,1,11,False
2018-02-01,9,1,0,1,10,False
2018-03-01,8,0,0,1,8,False
2018-04-01,8,0,0,0,10,False
2018-05-01,10,0,0,1,10,False
2018-06-01,14,0,0,0,10,False
2018-07-01,13,0,0,1,9,False
2018-08-01,8,0,0,1,10,False
2018-09-01,10,0,0,0,11,False
2018-10-01,11,0,1,0,12,False
2018-11-01,11,0,1,0,10,False
2018-12-01,12,0,0,0,9,False
2019-01-01,10,0,0,0,9,False
2019-02-01,10,1,0,1,11,False
2019-03-01,11,0,0,0,9,False
2019-04-01,9,0,1,0,11,False
2019-05-01,8,0,0,0,9,False
2019-06-01,9,0,0,1,10,False
2019-07-01,9,0,0,0,14,False
2019-08-01,7,0,0,0,11,False
2019-09-01,8,0,0,0,10,False
2019-10-01,9,0,0,1,10,False
2019-11-01,7,0,0,1,9,False
2019-12-01,9,0,0,0,11,False
2020-01-01,10,0,0,0,17,False
2020-02-01,9,0,1,1,31,False
2020-03-01,7,0,0,0,12,False
2020-04-01,8,0,0,0,10,False
2020-05-01,9,0,0,1,8,False
2020-06-01,8,0,0,0,9,False
2020-07-01,7,0,0,1,20,False
2020-08-01,8,0,0,0,16,False
2020-09-01,9,0,0,0,11,False
2020-10-01,8,0,0,1,12,False
