date,Rajiv Maheswaran,Memory Banda,Johann Hari,Noy Thrupkaew,Iraola,isPartial
2010-01-01,0,3,11,2,27,False
2010-02-01,0,2,12,0,14,False
2010-03-01,1,1,16,1,19,False
2010-04-01,0,4,15,0,23,False
2010-05-01,0,2,24,0,17,False
2010-06-01,1,3,5,1,22,False
2010-07-01,1,2,10,1,16,False
2010-08-01,0,1,14,0,20,False
2010-09-01,0,1,19,0,23,False
2010-10-01,0,2,19,1,23,False
2010-11-01,0,2,25,0,29,False
2010-12-01,0,2,22,1,29,False
2011-01-01,0,1,27,0,18,False
2011-02-01,0,2,26,2,30,False
2011-03-01,1,1,30,0,35,False
2011-04-01,0,1,30,1,24,False
2011-05-01,0,2,35,0,25,False
2011-06-01,0,1,74,0,27,False
2011-07-01,0,1,100,0,20,False
2011-08-01,0,2,32,1,28,False
2011-09-01,0,1,78,0,29,False
2011-10-01,0,2,19,0,25,False
2011-11-01,0,3,15,0,21,False
2011-12-01,0,1,20,1,20,False
2012-01-01,1,1,22,0,20,False
2012-02-01,0,1,9,0,23,False
2012-03-01,0,1,9,0,39,False
2012-04-01,1,2,7,1,27,False
2012-05-01,0,1,6,0,30,False
2012-06-01,0,1,7,0,23,False
2012-07-01,0,2,6,0,17,False
2012-08-01,1,2,4,0,17,False
2012-09-01,0,1,4,1,18,False
2012-10-01,0,2,4,1,20,False
2012-11-01,0,1,4,1,19,False
2012-12-01,1,1,4,0,18,False
2013-01-01,0,1,6,0,18,False
2013-02-01,0,0,3,1,20,False
2013-03-01,0,1,5,0,18,False
2013-04-01,0,1,3,0,18,False
2013-05-01,0,1,3,0,13,False
2013-06-01,0,1,3,0,18,False
2013-07-01,0,1,4,0,16,False
2013-08-01,0,1,2,0,17,False
2013-09-01,0,0,2,0,22,False
2013-10-01,0,1,3,0,19,False
2013-11-01,0,1,3,0,17,False
2013-12-01,0,1,2,0,19,False
2014-01-01,0,2,3,0,16,False
2014-02-01,0,2,2,0,19,False
2014-03-01,0,1,3,0,22,False
2014-04-01,0,1,2,0,16,False
2014-05-01,0,1,3,0,20,False
2014-06-01,0,0,4,0,15,False
2014-07-01,0,1,3,0,21,False
2014-08-01,0,1,2,0,25,False
2014-09-01,0,1,5,0,27,False
2014-10-01,0,2,3,0,21,False
2014-11-01,0,1,3,0,23,False
2014-12-01,0,0,3,0,18,False
2015-01-01,0,2,23,0,17,False
2015-02-01,0,1,20,0,20,False
2015-03-01,0,1,10,0,29,False
2015-04-01,0,1,6,0,30,False
2015-05-01,0,1,7,0,77,False
2015-06-01,0,1,10,0,31,False
2015-07-01,3,2,20,2,37,False
2015-08-01,1,2,10,1,29,False
2015-09-01,0,2,9,0,22,False
2015-10-01,1,1,14,0,18,False
2015-11-01,1,1,11,1,18,False
2015-12-01,1,1,8,0,15,False
2016-01-01,1,1,6,0,16,False
2016-02-01,0,1,9,1,19,False
2016-03-01,1,1,5,0,19,False
2016-04-01,1,1,7,0,15,False
2016-05-01,1,2,5,0,24,False
2016-06-01,0,1,5,0,21,False
2016-07-01,0,1,2,0,23,False
2016-08-01,0,2,6,0,14,False
2016-09-01,0,1,3,0,18,False
2016-10-01,0,1,12,0,20,False
2016-11-01,0,1,3,0,26,False
2016-12-01,0,0,4,0,13,False
2017-01-01,0,1,7,0,14,False
2017-02-01,1,1,6,0,17,False
2017-03-01,0,1,5,0,14,False
2017-04-01,0,2,5,0,14,False
2017-05-01,0,1,4,0,19,False
2017-06-01,1,0,3,0,14,False
2017-07-01,0,1,3,0,15,False
2017-08-01,0,1,3,0,15,False
2017-09-01,0,1,2,0,14,False
2017-10-01,0,1,5,0,12,False
2017-11-01,0,1,6,0,11,False
2017-12-01,0,1,4,0,10,False
2018-01-01,1,1,34,0,14,False
2018-02-01,1,1,82,0,12,False
2018-03-01,1,1,19,0,9,False
2018-04-01,0,1,15,0,12,False
2018-05-01,1,0,16,1,14,False
2018-06-01,0,0,12,0,14,False
2018-07-01,0,2,14,0,12,False
2018-08-01,0,0,11,0,13,False
2018-09-01,0,1,12,0,15,False
2018-10-01,0,1,7,0,16,False
2018-11-01,1,0,25,0,13,False
2018-12-01,0,1,13,0,11,False
2019-01-01,0,1,17,0,11,False
2019-02-01,0,1,71,0,14,False
2019-03-01,0,1,37,0,12,False
2019-04-01,0,0,22,1,15,False
2019-05-01,0,1,22,0,12,False
2019-06-01,0,1,16,0,14,False
2019-07-01,0,0,20,0,18,False
2019-08-01,0,1,17,0,15,False
2019-09-01,0,0,21,0,13,False
2019-10-01,0,1,26,0,13,False
2019-11-01,0,1,23,0,14,False
2019-12-01,0,1,15,0,14,False
2020-01-01,0,0,17,0,21,False
2020-02-01,0,1,13,0,40,False
2020-03-01,0,1,13,0,17,False
2020-04-01,0,1,12,1,12,False
2020-05-01,1,1,12,0,9,False
2020-06-01,0,1,12,0,13,False
2020-07-01,0,1,10,0,27,False
2020-08-01,0,1,13,0,20,False
2020-09-01,0,1,12,0,15,False
2020-10-01,0,1,9,0,16,False
