date,Adam Alter,Kate Marvel,Anil Seth,Tricia Wang,Iraola,isPartial
2013-04-01,6,3,2,1,23,False
2013-05-01,5,5,1,1,17,False
2013-06-01,5,5,1,0,24,False
2013-07-01,4,5,1,1,20,False
2013-08-01,3,6,1,1,22,False
2013-09-01,2,6,2,2,28,False
2013-10-01,5,6,1,1,24,False
2013-11-01,3,8,1,1,22,False
2013-12-01,3,4,1,0,25,False
2014-01-01,1,6,1,1,21,False
2014-02-01,3,8,2,1,25,False
2014-03-01,3,6,1,1,29,False
2014-04-01,6,14,2,0,21,False
2014-05-01,5,11,1,1,25,False
2014-06-01,3,12,1,1,20,False
2014-07-01,3,8,1,2,27,False
2014-08-01,3,10,2,0,33,False
2014-09-01,3,9,3,1,35,False
2014-10-01,2,9,2,1,27,False
2014-11-01,2,9,2,0,30,False
2014-12-01,3,10,1,1,23,False
2015-01-01,4,14,4,1,23,False
2015-02-01,6,10,2,0,25,False
2015-03-01,3,11,1,0,37,False
2015-04-01,4,15,1,0,39,False
2015-05-01,4,18,0,0,100,False
2015-06-01,2,15,5,1,40,False
2015-07-01,2,12,3,0,48,False
2015-08-01,5,16,1,0,37,False
2015-09-01,3,10,1,0,28,False
2015-10-01,2,8,2,0,23,False
2015-11-01,4,7,1,0,23,False
2015-12-01,3,10,2,0,19,False
2016-01-01,3,12,2,0,21,False
2016-02-01,5,11,2,0,24,False
2016-03-01,3,12,1,0,25,False
2016-04-01,5,9,2,0,19,False
2016-05-01,4,17,2,1,31,False
2016-06-01,2,11,1,0,27,False
2016-07-01,2,6,1,0,29,False
2016-08-01,2,9,1,0,18,False
2016-09-01,2,5,1,0,24,False
2016-10-01,3,7,1,0,26,False
2016-11-01,5,8,1,0,34,False
2016-12-01,3,8,1,0,17,False
2017-01-01,5,11,2,0,19,False
2017-02-01,4,6,1,0,22,False
2017-03-01,15,8,1,0,18,False
2017-04-01,8,8,11,1,18,False
2017-05-01,7,8,5,1,24,False
2017-06-01,5,6,3,0,18,False
2017-07-01,6,7,10,2,19,False
2017-08-01,9,7,6,2,19,False
2017-09-01,6,5,5,2,17,False
2017-10-01,7,6,5,1,16,False
2017-11-01,8,7,4,0,15,False
2017-12-01,10,8,5,1,13,False
2018-01-01,10,4,17,1,18,False
2018-02-01,7,8,5,0,15,False
2018-03-01,6,9,6,0,12,False
2018-04-01,9,13,8,1,16,False
2018-05-01,6,19,4,1,18,False
2018-06-01,7,15,5,0,19,False
2018-07-01,4,8,4,0,15,False
2018-08-01,6,7,5,1,17,False
2018-09-01,7,11,3,0,19,False
2018-10-01,6,15,6,1,21,False
2018-11-01,8,10,6,1,17,False
2018-12-01,6,10,3,1,15,False
2019-01-01,5,11,6,1,14,False
2019-02-01,8,9,6,2,18,False
2019-03-01,6,33,5,1,16,False
2019-04-01,7,25,3,1,20,False
2019-05-01,5,21,4,1,15,False
2019-06-01,6,13,7,0,18,False
2019-07-01,4,25,4,1,24,False
2019-08-01,4,12,2,1,19,False
2019-09-01,5,14,3,0,17,False
2019-10-01,6,12,5,1,17,False
2019-11-01,7,12,5,1,18,False
2019-12-01,5,8,3,1,18,False
2020-01-01,5,9,4,0,28,False
2020-02-01,5,9,3,1,52,False
2020-03-01,3,8,3,1,22,False
2020-04-01,6,10,4,0,16,False
2020-05-01,5,11,4,0,12,False
2020-06-01,6,9,2,0,16,False
2020-07-01,5,8,3,1,35,False
2020-08-01,9,15,3,1,26,False
2020-09-01,10,23,3,1,19,False
2020-10-01,9,15,3,0,21,False
