date,Iyad Rahwan,David Whyte,Robin Hanson,Carolyn Bertozzi,Iraola,isPartial
2019-06-01,1,18,3,1,17,False
2019-07-01,0,32,4,1,24,False
2019-08-01,1,16,3,1,20,False
2019-09-01,1,13,2,1,17,False
2019-10-01,1,15,3,1,16,False
2019-11-01,1,17,3,1,16,False
2019-12-01,0,24,3,1,19,False
2020-01-01,1,20,2,1,28,False
2020-02-01,1,30,5,2,54,False
2020-03-01,0,18,5,2,21,False
2020-04-01,0,31,4,1,17,False
2020-05-01,1,23,2,1,14,False
2020-06-01,1,19,5,1,16,False
2020-07-01,1,21,2,1,34,False
2020-08-01,1,23,4,2,27,False
2020-09-01,0,18,3,1,19,False
2020-10-01,1,16,2,2,21,False
