date,Tal Golesworthy,Abigail Washburn,Atul Gawande,Drew Curtis,Iraola,isPartial
2011-11-01,0,19,26,4,21,False
2011-12-01,1,6,27,4,20,False
2012-01-01,0,8,24,6,19,False
2012-02-01,0,7,25,4,23,False
2012-03-01,0,10,23,4,41,False
2012-04-01,2,14,27,5,26,False
2012-05-01,1,9,21,5,31,False
2012-06-01,1,11,23,4,24,False
2012-07-01,1,10,19,6,17,False
2012-08-01,0,10,39,4,18,False
2012-09-01,0,6,29,4,20,False
2012-10-01,1,7,25,4,19,False
2012-11-01,1,5,23,4,20,False
2012-12-01,0,7,16,5,18,False
2013-01-01,0,5,17,2,18,False
2013-02-01,0,8,17,4,19,False
2013-03-01,0,6,21,4,17,False
2013-04-01,0,4,24,4,19,False
2013-05-01,0,5,16,4,16,False
2013-06-01,0,3,16,5,18,False
2013-07-01,0,4,23,5,18,False
2013-08-01,0,6,31,5,18,False
2013-09-01,1,4,20,4,23,False
2013-10-01,0,5,21,3,20,False
2013-11-01,1,3,20,3,18,False
2013-12-01,0,4,17,3,19,False
2014-01-01,1,4,16,4,17,False
2014-02-01,1,5,14,5,19,False
2014-03-01,1,5,14,4,21,False
2014-04-01,0,3,14,2,16,False
2014-05-01,0,5,12,4,19,False
2014-06-01,0,2,14,3,16,False
2014-07-01,1,3,14,3,19,False
2014-08-01,0,5,15,3,25,False
2014-09-01,0,5,18,2,27,False
2014-10-01,0,17,78,4,21,False
2014-11-01,1,8,46,3,20,False
2014-12-01,0,7,54,4,16,False
2015-01-01,0,7,49,7,16,False
2015-02-01,0,7,52,5,20,False
2015-03-01,0,11,36,4,28,False
2015-04-01,1,7,34,4,28,False
2015-05-01,0,7,48,2,76,False
2015-06-01,0,7,39,4,33,False
2015-07-01,0,12,34,4,38,False
2015-08-01,0,3,34,6,26,False
2015-09-01,0,6,38,7,23,False
2015-10-01,1,10,36,5,18,False
2015-11-01,0,5,33,9,17,False
2015-12-01,0,5,41,3,15,False
2016-01-01,0,4,33,3,18,False
2016-02-01,0,6,24,3,18,False
2016-03-01,0,3,31,3,19,False
2016-04-01,0,4,29,2,14,False
2016-05-01,0,3,31,2,24,False
2016-06-01,0,4,32,3,19,False
2016-07-01,0,3,23,2,21,False
2016-08-01,0,4,30,2,14,False
2016-09-01,0,4,31,3,19,False
2016-10-01,0,4,25,3,18,False
2016-11-01,1,6,24,2,25,False
2016-12-01,0,4,27,3,14,False
2017-01-01,0,2,31,2,13,False
2017-02-01,1,3,30,3,16,False
2017-03-01,0,6,28,3,14,False
2017-04-01,1,3,27,2,14,False
2017-05-01,0,3,27,3,18,False
2017-06-01,0,2,25,2,14,False
2017-07-01,0,2,21,2,15,False
2017-08-01,1,2,22,2,13,False
2017-09-01,0,3,32,3,13,False
2017-10-01,0,5,33,2,12,False
2017-11-01,0,7,28,1,11,False
2017-12-01,0,5,27,2,10,False
2018-01-01,1,3,25,3,14,False
2018-02-01,0,4,25,2,13,False
2018-03-01,0,3,22,2,10,False
2018-04-01,0,1,26,3,12,False
2018-05-01,0,3,22,3,13,False
2018-06-01,0,2,100,2,13,False
2018-07-01,0,2,38,3,12,False
2018-08-01,0,1,30,2,13,False
2018-09-01,0,2,28,2,14,False
2018-10-01,0,2,27,3,15,False
2018-11-01,0,2,34,3,13,False
2018-12-01,0,3,25,2,12,False
2019-01-01,0,3,28,3,12,False
2019-02-01,0,6,23,2,14,False
2019-03-01,0,3,28,2,12,False
2019-04-01,0,3,23,2,15,False
2019-05-01,0,3,24,3,12,False
2019-06-01,0,1,20,1,13,False
2019-07-01,1,2,16,2,18,False
2019-08-01,0,3,18,2,15,False
2019-09-01,0,2,20,3,13,False
2019-10-01,0,1,18,2,12,False
2019-11-01,0,2,19,2,12,False
2019-12-01,0,1,18,2,14,False
2020-01-01,0,2,19,2,21,False
2020-02-01,0,2,16,2,40,False
2020-03-01,0,2,31,1,16,False
2020-04-01,0,2,20,2,13,False
2020-05-01,0,2,42,20,10,False
2020-06-01,0,1,19,74,12,False
2020-07-01,0,1,17,8,26,False
2020-08-01,0,1,17,9,20,False
2020-09-01,0,1,19,2,15,False
2020-10-01,0,1,14,3,16,False
