date,Eduardo Paes,Nancy Lublin,Joe Smith,Brenda Romero,Iraola,isPartial
2017-05-01,2,0,16,0,4,False
2017-06-01,2,0,18,0,3,False
2017-07-01,2,0,25,1,3,False
2017-08-01,2,0,19,0,3,False
2017-09-01,1,0,19,0,3,False
2017-10-01,2,0,18,1,3,False
2017-11-01,2,0,18,0,2,False
2017-12-01,2,0,24,0,2,False
2018-01-01,2,0,18,0,3,False
2018-02-01,2,0,15,0,3,False
2018-03-01,2,0,26,0,2,False
2018-04-01,2,0,15,0,3,False
2018-05-01,2,0,15,0,3,False
2018-06-01,2,0,23,0,3,False
2018-07-01,4,0,16,0,3,False
2018-08-01,8,0,18,0,3,False
2018-09-01,21,0,15,0,3,False
2018-10-01,100,0,19,0,3,False
2018-11-01,4,0,32,0,3,False
2018-12-01,2,0,16,0,3,False
2019-01-01,6,0,17,1,3,False
2019-02-01,2,0,21,1,3,False
2019-03-01,2,0,21,0,3,False
2019-04-01,2,0,14,1,3,False
2019-05-01,2,0,14,1,3,False
2019-06-01,1,0,16,1,3,False
2019-07-01,2,0,15,0,4,False
2019-08-01,2,0,19,1,3,False
2019-09-01,2,0,19,0,3,False
2019-10-01,2,0,24,0,3,False
2019-11-01,2,0,17,0,3,False
2019-12-01,3,0,36,0,3,False
2020-01-01,2,0,36,0,5,False
2020-02-01,2,0,23,0,9,False
2020-03-01,2,0,16,0,4,False
2020-04-01,1,0,21,0,3,False
2020-05-01,2,0,20,1,2,False
2020-06-01,4,4,17,1,3,False
2020-07-01,3,0,19,1,6,False
2020-08-01,3,0,25,0,5,False
2020-09-01,9,0,21,0,3,False
2020-10-01,15,0,23,0,4,False
