date,Jamais Cascio,Barry Schuler,Woody Norris,Peter Ward,Iraola,isPartial
2010-02-01,0,0,4,31,17,False
2010-03-01,0,2,2,27,24,False
2010-04-01,3,1,3,31,30,False
2010-05-01,1,2,2,26,21,False
2010-06-01,1,1,7,46,29,False
2010-07-01,1,0,1,35,21,False
2010-08-01,1,0,2,22,25,False
2010-09-01,2,2,3,28,29,False
2010-10-01,0,1,3,35,30,False
2010-11-01,1,1,4,29,37,False
2010-12-01,1,0,2,19,38,False
2011-01-01,1,1,2,30,24,False
2011-02-01,1,2,3,22,39,False
2011-03-01,1,2,4,27,45,False
2011-04-01,1,1,1,21,30,False
2011-05-01,3,1,2,27,32,False
2011-06-01,1,2,4,33,35,False
2011-07-01,1,1,4,28,26,False
2011-08-01,1,1,2,30,36,False
2011-09-01,0,1,3,26,37,False
2011-10-01,1,1,4,24,33,False
2011-11-01,0,2,3,24,27,False
2011-12-01,1,0,4,24,26,False
2012-01-01,1,2,4,30,26,False
2012-02-01,1,1,1,27,30,False
2012-03-01,2,1,1,29,50,False
2012-04-01,0,0,2,28,35,False
2012-05-01,1,0,4,23,38,False
2012-06-01,0,1,1,19,30,False
2012-07-01,1,0,2,22,22,False
2012-08-01,0,1,4,22,21,False
2012-09-01,2,1,2,25,23,False
2012-10-01,1,1,3,24,26,False
2012-11-01,2,1,1,23,24,False
2012-12-01,1,0,2,25,23,False
2013-01-01,1,1,1,20,23,False
2013-02-01,1,1,1,24,26,False
2013-03-01,1,1,1,25,23,False
2013-04-01,1,1,1,25,23,False
2013-05-01,1,1,2,22,17,False
2013-06-01,0,1,1,24,24,False
2013-07-01,0,0,1,23,20,False
2013-08-01,0,0,3,23,22,False
2013-09-01,1,1,1,18,28,False
2013-10-01,1,1,1,24,24,False
2013-11-01,0,1,1,23,22,False
2013-12-01,1,1,0,25,25,False
2014-01-01,1,1,1,29,21,False
2014-02-01,1,1,2,24,25,False
2014-03-01,1,1,1,21,29,False
2014-04-01,1,1,1,21,21,False
2014-05-01,1,1,1,22,25,False
2014-06-01,1,1,1,18,20,False
2014-07-01,1,1,1,17,27,False
2014-08-01,1,1,1,21,33,False
2014-09-01,0,0,1,18,35,False
2014-10-01,1,1,1,31,27,False
2014-11-01,1,1,1,22,30,False
2014-12-01,0,0,1,25,23,False
2015-01-01,0,0,1,21,23,False
2015-02-01,0,1,1,21,25,False
2015-03-01,0,0,1,20,37,False
2015-04-01,1,1,1,23,39,False
2015-05-01,0,0,1,26,100,False
2015-06-01,1,1,0,24,40,False
2015-07-01,0,0,1,17,48,False
2015-08-01,0,0,1,21,37,False
2015-09-01,0,0,0,20,28,False
2015-10-01,1,0,1,19,23,False
2015-11-01,0,0,1,19,23,False
2015-12-01,0,1,2,23,19,False
2016-01-01,0,0,0,17,21,False
2016-02-01,1,0,0,21,24,False
2016-03-01,1,0,1,21,25,False
2016-04-01,0,1,1,16,19,False
2016-05-01,1,0,0,21,31,False
2016-06-01,1,0,2,23,27,False
2016-07-01,0,0,2,18,29,False
2016-08-01,1,1,1,19,18,False
2016-09-01,0,1,1,17,24,False
2016-10-01,0,0,0,16,26,False
2016-11-01,0,0,0,18,34,False
2016-12-01,0,0,0,19,17,False
2017-01-01,1,1,2,20,19,False
2017-02-01,0,1,0,19,22,False
2017-03-01,0,0,1,14,18,False
2017-04-01,1,0,1,18,18,False
2017-05-01,0,0,0,16,24,False
2017-06-01,1,0,1,16,18,False
2017-07-01,0,0,1,16,19,False
2017-08-01,0,0,2,18,19,False
2017-09-01,0,0,1,17,17,False
2017-10-01,0,0,0,22,16,False
2017-11-01,0,0,1,15,15,False
2017-12-01,0,0,0,26,13,False
2018-01-01,1,1,0,20,18,False
2018-02-01,0,0,1,17,15,False
2018-03-01,0,0,1,19,12,False
2018-04-01,0,0,1,14,16,False
2018-05-01,0,1,1,22,18,False
2018-06-01,0,0,1,15,19,False
2018-07-01,0,0,1,18,15,False
2018-08-01,0,0,1,18,17,False
2018-09-01,0,0,0,17,19,False
2018-10-01,1,0,0,18,21,False
2018-11-01,0,0,1,16,17,False
2018-12-01,1,0,2,19,15,False
2019-01-01,1,0,1,16,14,False
2019-02-01,0,0,1,21,18,False
2019-03-01,0,0,1,13,16,False
2019-04-01,0,1,1,15,20,False
2019-05-01,0,0,1,14,15,False
2019-06-01,0,0,1,14,18,False
2019-07-01,0,0,1,13,24,False
2019-08-01,0,0,1,14,19,False
2019-09-01,0,0,1,15,17,False
2019-10-01,0,0,0,13,17,False
2019-11-01,0,0,1,18,18,False
2019-12-01,0,0,0,16,18,False
2020-01-01,0,0,1,17,28,False
2020-02-01,0,0,1,16,52,False
2020-03-01,0,0,1,15,22,False
2020-04-01,1,0,2,16,16,False
2020-05-01,0,0,1,17,12,False
2020-06-01,0,0,0,15,16,False
2020-07-01,0,1,1,14,35,False
2020-08-01,0,0,1,13,26,False
2020-09-01,0,0,1,15,19,False
2020-10-01,0,0,1,13,21,False
