date,David Keith,Robert Full,Ron Eglash,Philippe Starck,Iraola,isPartial
2014-04-01,31,19,0,28,6,False
2014-05-01,27,20,0,27,6,False
2014-06-01,30,18,0,23,5,False
2014-07-01,29,18,0,23,7,False
2014-08-01,30,21,0,25,9,False
2014-09-01,30,17,0,27,9,False
2014-10-01,34,17,0,29,7,False
2014-11-01,30,19,0,25,7,False
2014-12-01,29,18,0,20,6,False
2015-01-01,35,17,0,23,6,False
2015-02-01,33,18,0,22,7,False
2015-03-01,35,19,0,26,9,False
2015-04-01,31,21,0,23,10,False
2015-05-01,29,17,0,24,26,False
2015-06-01,30,17,0,22,11,False
2015-07-01,28,18,0,19,13,False
2015-08-01,32,19,0,20,9,False
2015-09-01,31,20,0,25,8,False
2015-10-01,27,18,0,24,6,False
2015-11-01,28,20,0,23,6,False
2015-12-01,26,20,0,20,5,False
2016-01-01,35,25,0,20,6,False
2016-02-01,27,21,0,20,6,False
2016-03-01,27,20,0,21,7,False
2016-04-01,30,22,0,21,5,False
2016-05-01,27,21,0,22,8,False
2016-06-01,28,17,0,19,7,False
2016-07-01,30,17,0,17,7,False
2016-08-01,26,16,0,17,5,False
2016-09-01,25,18,0,22,7,False
2016-10-01,24,17,0,25,6,False
2016-11-01,25,17,0,21,9,False
2016-12-01,23,16,0,20,5,False
2017-01-01,26,19,0,19,5,False
2017-02-01,28,19,0,21,5,False
2017-03-01,35,18,0,19,5,False
2017-04-01,29,21,0,20,5,False
2017-05-01,28,17,0,20,6,False
2017-06-01,23,16,0,19,5,False
2017-07-01,22,22,0,20,5,False
2017-08-01,23,16,0,20,5,False
2017-09-01,27,16,0,22,5,False
2017-10-01,31,17,0,19,4,False
2017-11-01,27,19,0,17,4,False
2017-12-01,24,17,0,16,4,False
2018-01-01,25,18,0,17,5,False
2018-02-01,23,17,0,18,4,False
2018-03-01,24,17,0,16,4,False
2018-04-01,25,18,0,18,4,False
2018-05-01,22,17,0,15,4,False
2018-06-01,26,20,0,15,4,False
2018-07-01,25,16,0,15,4,False
2018-08-01,26,16,0,17,5,False
2018-09-01,25,15,0,18,5,False
2018-10-01,26,15,0,17,5,False
2018-11-01,24,15,0,14,4,False
2018-12-01,24,21,0,14,4,False
2019-01-01,34,17,0,15,4,False
2019-02-01,27,18,0,15,5,False
2019-03-01,24,16,0,14,4,False
2019-04-01,21,17,0,14,5,False
2019-05-01,22,18,0,14,4,False
2019-06-01,33,14,0,15,4,False
2019-07-01,24,14,0,13,6,False
2019-08-01,25,15,0,15,5,False
2019-09-01,23,14,0,87,4,False
2019-10-01,22,26,0,14,4,False
2019-11-01,22,15,0,14,4,False
2019-12-01,23,13,0,12,5,False
2020-01-01,22,15,0,13,7,False
2020-02-01,25,14,0,13,14,False
2020-03-01,35,14,0,11,6,False
2020-04-01,31,17,0,12,4,False
2020-05-01,31,18,0,13,4,False
2020-06-01,39,15,0,13,4,False
2020-07-01,30,17,0,13,9,False
2020-08-01,40,16,0,12,7,False
2020-09-01,28,15,0,12,5,False
2020-10-01,28,14,0,12,5,False
