date,Mary Robinson,Robin Morgan,Samuel Cohen,Taiye Selasi,Iraola,isPartial
2014-01-01,24,13,3,11,15,False
2014-02-01,24,15,3,10,17,False
2014-03-01,22,18,3,7,19,False
2014-04-01,22,13,4,4,15,False
2014-05-01,24,11,2,4,17,False
2014-06-01,18,15,4,2,14,False
2014-07-01,23,15,3,4,17,False
2014-08-01,23,51,5,4,23,False
2014-09-01,21,16,3,4,24,False
2014-10-01,21,16,3,3,18,False
2014-11-01,20,12,3,3,17,False
2014-12-01,18,13,2,5,15,False
2015-01-01,20,13,4,2,14,False
2015-02-01,20,14,4,4,18,False
2015-03-01,24,13,3,3,25,False
2015-04-01,22,16,3,3,25,False
2015-05-01,21,12,2,3,67,False
2015-06-01,20,15,2,1,30,False
2015-07-01,17,17,2,3,34,False
2015-08-01,21,13,2,2,23,False
2015-09-01,22,13,4,4,20,False
2015-10-01,17,14,3,10,16,False
2015-11-01,22,11,4,3,15,False
2015-12-01,31,13,2,3,14,False
2016-01-01,16,13,4,2,16,False
2016-02-01,21,14,3,2,16,False
2016-03-01,21,12,6,1,17,False
2016-04-01,19,11,4,2,12,False
2016-05-01,19,14,3,2,21,False
2016-06-01,23,10,3,1,17,False
2016-07-01,14,12,2,1,19,False
2016-08-01,17,11,3,1,12,False
2016-09-01,19,8,3,2,17,False
2016-10-01,19,10,2,1,16,False
2016-11-01,22,10,4,1,22,False
2016-12-01,16,10,4,1,13,False
2017-01-01,18,11,3,1,12,False
2017-02-01,18,11,4,1,14,False
2017-03-01,21,11,3,1,12,False
2017-04-01,19,11,2,2,13,False
2017-05-01,19,11,3,1,16,False
2017-06-01,16,10,2,1,13,False
2017-07-01,14,9,2,1,13,False
2017-08-01,14,10,3,1,12,False
2017-09-01,18,10,3,2,12,False
2017-10-01,16,11,3,1,11,False
2017-11-01,16,10,3,1,10,False
2017-12-01,14,11,2,2,9,False
2018-01-01,18,10,3,2,13,False
2018-02-01,20,10,3,2,11,False
2018-03-01,17,11,3,1,9,False
2018-04-01,15,10,3,2,11,False
2018-05-01,18,11,3,1,11,False
2018-06-01,15,11,3,2,12,False
2018-07-01,18,9,3,2,10,False
2018-08-01,17,10,2,1,12,False
2018-09-01,17,10,3,2,12,False
2018-10-01,26,9,2,1,13,False
2018-11-01,32,21,3,1,11,False
2018-12-01,25,8,4,1,11,False
2019-01-01,25,11,3,1,11,False
2019-02-01,25,11,4,1,13,False
2019-03-01,17,9,3,2,10,False
2019-04-01,19,9,3,2,13,False
2019-05-01,17,9,2,1,11,False
2019-06-01,15,10,2,1,11,False
2019-07-01,20,9,2,1,16,False
2019-08-01,18,11,3,1,13,False
2019-09-01,18,7,4,2,12,False
2019-10-01,16,10,3,1,11,False
2019-11-01,17,8,2,1,11,False
2019-12-01,17,8,3,1,13,False
2020-01-01,22,10,3,1,19,False
2020-02-01,19,10,2,2,36,False
2020-03-01,20,7,2,1,14,False
2020-04-01,17,11,2,1,11,False
2020-05-01,19,10,2,1,9,False
2020-06-01,17,10,2,1,11,False
2020-07-01,14,10,1,1,23,False
2020-08-01,16,9,3,1,18,False
2020-09-01,17,9,2,1,13,False
2020-10-01,17,8,4,1,14,False
