date,David Binder,Daphne Bavelier,Amos Winter,Sleepy Man Banjo Boys,Iraola,isPartial
2012-01-01,4,0,20,9,25,False
2012-02-01,3,1,17,18,30,False
2012-03-01,3,1,12,20,54,False
2012-04-01,2,1,10,13,34,False
2012-05-01,4,1,14,10,41,False
2012-06-01,5,1,11,7,32,False
2012-07-01,4,1,10,10,23,False
2012-08-01,3,1,9,8,24,False
2012-09-01,2,1,12,7,26,False
2012-10-01,4,1,15,8,25,False
2012-11-01,6,5,14,11,27,False
2012-12-01,3,2,20,13,23,False
2013-01-01,5,2,18,8,24,False
2013-02-01,4,2,14,26,25,False
2013-03-01,3,3,15,16,23,False
2013-04-01,4,3,8,14,25,False
2013-05-01,2,2,9,10,21,False
2013-06-01,4,1,8,8,23,False
2013-07-01,3,1,10,16,23,False
2013-08-01,3,1,10,11,24,False
2013-09-01,3,2,9,12,30,False
2013-10-01,3,2,15,6,26,False
2013-11-01,3,2,15,11,24,False
2013-12-01,3,1,16,9,25,False
2014-01-01,3,1,11,6,22,False
2014-02-01,3,1,12,10,25,False
2014-03-01,5,1,7,7,28,False
2014-04-01,3,2,8,10,22,False
2014-05-01,3,1,7,12,25,False
2014-06-01,5,2,7,6,21,False
2014-07-01,3,1,6,10,26,False
2014-08-01,3,1,8,7,34,False
2014-09-01,3,1,7,7,35,False
2014-10-01,4,1,8,7,27,False
2014-11-01,3,4,10,9,26,False
2014-12-01,3,1,11,11,22,False
2015-01-01,4,2,9,7,21,False
2015-02-01,2,1,8,5,26,False
2015-03-01,4,1,6,4,37,False
2015-04-01,3,1,7,3,38,False
2015-05-01,3,1,6,5,100,False
2015-06-01,3,1,7,11,44,False
2015-07-01,3,1,6,6,50,False
2015-08-01,2,1,5,7,34,False
2015-09-01,3,1,7,4,30,False
2015-10-01,3,2,8,7,24,False
2015-11-01,4,2,8,7,23,False
2015-12-01,3,1,10,5,20,False
2016-01-01,3,1,6,4,24,False
2016-02-01,4,1,6,4,23,False
2016-03-01,4,2,5,4,26,False
2016-04-01,2,1,6,3,18,False
2016-05-01,3,2,4,3,32,False
2016-06-01,2,1,6,2,26,False
2016-07-01,2,1,5,7,28,False
2016-08-01,3,1,4,5,18,False
2016-09-01,3,1,4,5,25,False
2016-10-01,4,1,4,3,24,False
2016-11-01,4,2,5,2,33,False
2016-12-01,3,0,10,3,19,False
2017-01-01,3,0,7,2,18,False
2017-02-01,3,2,6,2,21,False
2017-03-01,2,2,7,2,18,False
2017-04-01,3,2,4,1,19,False
2017-05-01,4,2,3,2,24,False
2017-06-01,3,1,4,2,19,False
2017-07-01,2,1,3,2,20,False
2017-08-01,3,1,3,2,18,False
2017-09-01,2,1,5,3,18,False
2017-10-01,1,1,5,2,16,False
2017-11-01,2,1,7,1,14,False
2017-12-01,1,1,11,2,14,False
2018-01-01,2,1,4,2,19,False
2018-02-01,4,1,6,2,17,False
2018-03-01,2,1,5,2,14,False
2018-04-01,2,1,3,1,16,False
2018-05-01,2,0,3,2,17,False
2018-06-01,4,1,2,1,17,False
2018-07-01,2,1,4,1,16,False
2018-08-01,3,1,4,2,17,False
2018-09-01,2,0,5,2,18,False
2018-10-01,2,1,4,3,20,False
2018-11-01,2,1,5,2,17,False
2018-12-01,2,1,7,2,16,False
2019-01-01,2,1,5,2,16,False
2019-02-01,3,1,4,2,19,False
2019-03-01,3,1,6,2,15,False
2019-04-01,3,1,3,1,19,False
2019-05-01,3,1,4,1,16,False
2019-06-01,3,1,4,1,17,False
2019-07-01,2,1,3,1,24,False
2019-08-01,4,0,5,1,20,False
2019-09-01,3,1,4,1,17,False
2019-10-01,2,1,4,0,16,False
2019-11-01,3,1,6,1,16,False
2019-12-01,2,1,7,1,19,False
2020-01-01,2,1,4,0,28,False
2020-02-01,3,0,4,1,54,False
2020-03-01,1,1,5,1,21,False
2020-04-01,1,0,4,1,17,False
2020-05-01,2,0,5,1,14,False
2020-06-01,2,2,4,1,16,False
2020-07-01,2,1,5,0,34,False
2020-08-01,2,0,5,1,27,False
2020-09-01,2,2,4,1,19,False
2020-10-01,2,1,3,1,21,False
