date,Elizabeth Pisani,Dennis Hong,Natalie Merchant,Michael Specter,Iraola,isPartial
2015-04-01,0,1,13,1,8,False
2015-05-01,0,1,14,0,22,False
2015-06-01,0,1,12,0,9,False
2015-07-01,0,1,12,1,10,False
2015-08-01,0,1,14,1,8,False
2015-09-01,0,1,13,0,6,False
2015-10-01,0,1,23,1,5,False
2015-11-01,0,1,19,1,5,False
2015-12-01,0,1,15,1,4,False
2016-01-01,0,0,19,1,5,False
2016-02-01,0,1,15,1,5,False
2016-03-01,0,1,20,1,5,False
2016-04-01,0,1,14,0,4,False
2016-05-01,0,1,11,0,7,False
2016-06-01,0,1,10,0,6,False
2016-07-01,0,1,10,0,6,False
2016-08-01,0,0,10,0,4,False
2016-09-01,0,1,14,0,5,False
2016-10-01,0,1,12,0,6,False
2016-11-01,0,0,10,1,7,False
2016-12-01,0,1,10,0,4,False
2017-01-01,0,0,11,1,4,False
2017-02-01,0,1,11,1,5,False
2017-03-01,0,1,16,0,4,False
2017-04-01,0,1,15,0,4,False
2017-05-01,0,1,13,0,5,False
2017-06-01,0,1,16,0,4,False
2017-07-01,0,1,23,1,4,False
2017-08-01,0,0,12,0,4,False
2017-09-01,0,1,14,0,4,False
2017-10-01,0,1,13,0,3,False
2017-11-01,0,1,15,0,3,False
2017-12-01,0,1,13,0,3,False
2018-01-01,0,0,13,0,4,False
2018-02-01,0,1,11,0,3,False
2018-03-01,0,0,14,0,3,False
2018-04-01,0,1,11,0,3,False
2018-05-01,0,1,11,1,4,False
2018-06-01,0,1,11,0,4,False
2018-07-01,0,1,14,0,3,False
2018-08-01,0,1,12,0,4,False
2018-09-01,0,1,12,0,4,False
2018-10-01,0,1,11,0,5,False
2018-11-01,0,1,10,0,4,False
2018-12-01,0,0,11,0,3,False
2019-01-01,0,1,12,0,3,False
2019-02-01,0,1,11,0,4,False
2019-03-01,0,1,12,0,3,False
2019-04-01,0,1,12,0,4,False
2019-05-01,0,1,11,0,3,False
2019-06-01,0,1,10,0,4,False
2019-07-01,0,0,10,0,5,False
2019-08-01,0,1,19,0,4,False
2019-09-01,0,1,13,0,4,False
2019-10-01,0,1,11,0,4,False
2019-11-01,0,1,11,0,4,False
2019-12-01,0,0,10,0,4,False
2020-01-01,0,0,10,0,6,False
2020-02-01,0,1,10,0,11,False
2020-03-01,0,0,10,0,5,False
2020-04-01,0,1,11,1,3,False
2020-05-01,0,1,11,0,3,False
2020-06-01,0,0,11,0,4,False
2020-07-01,0,1,10,1,8,False
2020-08-01,0,1,10,0,6,False
2020-09-01,0,1,9,1,4,False
2020-10-01,0,0,8,1,5,False
