date,Maya Penn,Esta Soler,Dan Berkenstock,Teddy Cruz,Iraola,isPartial
2017-04-01,1,2,0,2,19,False
2017-05-01,2,2,0,2,24,False
2017-06-01,2,2,0,2,19,False
2017-07-01,2,2,0,2,20,False
2017-08-01,1,2,0,2,18,False
2017-09-01,4,3,0,4,18,False
2017-10-01,1,2,0,3,16,False
2017-11-01,1,2,0,3,14,False
2017-12-01,1,2,0,3,14,False
2018-01-01,2,1,0,2,19,False
2018-02-01,3,2,0,3,17,False
2018-03-01,3,2,0,2,14,False
2018-04-01,1,2,0,4,16,False
2018-05-01,1,2,0,2,17,False
2018-06-01,1,2,0,3,17,False
2018-07-01,1,2,0,3,16,False
2018-08-01,1,2,0,2,17,False
2018-09-01,3,2,0,4,18,False
2018-10-01,1,1,0,2,20,False
2018-11-01,1,1,0,3,17,False
2018-12-01,2,1,0,3,16,False
2019-01-01,2,1,0,2,16,False
2019-02-01,3,2,0,3,19,False
2019-03-01,1,1,0,2,15,False
2019-04-01,2,2,0,2,19,False
2019-05-01,2,2,0,2,16,False
2019-06-01,2,2,0,2,17,False
2019-07-01,1,1,0,3,24,False
2019-08-01,3,2,0,1,20,False
2019-09-01,2,2,0,4,17,False
2019-10-01,1,4,0,2,16,False
2019-11-01,2,2,0,2,16,False
2019-12-01,2,4,0,2,19,False
2020-01-01,2,2,0,2,28,False
2020-02-01,3,2,0,3,54,False
2020-03-01,2,2,0,3,21,False
2020-04-01,1,2,0,3,17,False
2020-05-01,2,2,0,2,14,False
2020-06-01,1,1,0,2,16,False
2020-07-01,2,2,0,2,34,False
2020-08-01,1,1,0,1,27,False
2020-09-01,1,2,0,3,19,False
2020-10-01,2,2,0,2,21,False
