date,Sue Austin,Jarrett J. Krosoczka,Boghuma Kabisen Titanji,Andy Puddicombe,Iraola,isPartial
2017-05-01,5,1,0,9,24,False
2017-06-01,3,0,0,9,19,False
2017-07-01,13,0,0,8,20,False
2017-08-01,4,0,0,18,18,False
2017-09-01,4,0,0,7,18,False
2017-10-01,5,0,0,10,16,False
2017-11-01,5,1,0,8,14,False
2017-12-01,4,0,0,7,14,False
2018-01-01,5,0,0,11,19,False
2018-02-01,5,0,0,12,17,False
2018-03-01,6,0,0,8,14,False
2018-04-01,4,0,0,10,16,False
2018-05-01,4,1,0,9,17,False
2018-06-01,4,1,0,9,17,False
2018-07-01,6,1,0,9,16,False
2018-08-01,3,0,0,10,17,False
2018-09-01,4,1,0,9,18,False
2018-10-01,6,3,0,10,20,False
2018-11-01,5,1,0,9,17,False
2018-12-01,5,1,0,21,16,False
2019-01-01,4,0,0,17,16,False
2019-02-01,4,0,0,13,19,False
2019-03-01,5,1,0,12,15,False
2019-04-01,6,0,0,10,19,False
2019-05-01,6,0,0,10,16,False
2019-06-01,4,0,0,9,17,False
2019-07-01,13,0,0,7,24,False
2019-08-01,5,0,0,10,20,False
2019-09-01,6,1,0,13,17,False
2019-10-01,4,1,0,10,16,False
2019-11-01,5,0,0,7,16,False
2019-12-01,5,0,0,6,19,False
2020-01-01,5,0,0,8,28,False
2020-02-01,5,1,0,7,54,False
2020-03-01,5,1,0,8,21,False
2020-04-01,4,1,0,12,17,False
2020-05-01,6,1,0,15,14,False
2020-06-01,5,1,0,11,16,False
2020-07-01,5,1,0,8,34,False
2020-08-01,5,1,0,8,27,False
2020-09-01,5,1,0,11,19,False
2020-10-01,5,1,0,9,21,False
