date,Jason McCue,Thomas P. Campbell,Tim Leberecht,Ruby Wax,Iraola,isPartial
2009-08-01,1,0,1,10,19,False
2009-09-01,2,0,0,10,23,False
2009-10-01,1,0,0,10,17,False
2009-11-01,1,1,0,11,22,False
2009-12-01,1,0,0,12,16,False
2010-01-01,1,1,0,11,21,False
2010-02-01,1,1,0,12,11,False
2010-03-01,2,0,1,13,16,False
2010-04-01,0,2,0,14,17,False
2010-05-01,1,1,0,17,14,False
2010-06-01,0,0,0,7,18,False
2010-07-01,0,0,0,9,12,False
2010-08-01,1,1,0,14,16,False
2010-09-01,1,0,1,9,19,False
2010-10-01,1,0,0,16,21,False
2010-11-01,1,1,0,12,25,False
2010-12-01,1,0,0,8,21,False
2011-01-01,1,1,0,16,17,False
2011-02-01,2,1,1,26,23,False
2011-03-01,1,1,0,18,27,False
2011-04-01,2,1,1,9,20,False
2011-05-01,1,0,0,19,19,False
2011-06-01,1,1,0,19,20,False
2011-07-01,1,1,0,16,17,False
2011-08-01,0,0,1,25,25,False
2011-09-01,1,0,0,25,20,False
2011-10-01,1,1,1,11,19,False
2011-11-01,1,1,1,14,17,False
2011-12-01,0,0,1,16,16,False
2012-01-01,1,0,1,13,15,False
2012-02-01,1,0,0,7,18,False
2012-03-01,1,0,0,11,33,False
2012-04-01,0,0,0,13,20,False
2012-05-01,1,0,0,11,24,False
2012-06-01,0,0,0,10,19,False
2012-07-01,0,1,0,45,14,False
2012-08-01,0,0,0,31,14,False
2012-09-01,0,1,0,17,16,False
2012-10-01,1,1,1,16,15,False
2012-11-01,1,0,0,22,16,False
2012-12-01,1,0,0,11,14,False
2013-01-01,1,0,1,11,14,False
2013-02-01,0,0,0,9,15,False
2013-03-01,1,0,0,20,14,False
2013-04-01,1,0,0,17,15,False
2013-05-01,0,0,1,21,13,False
2013-06-01,0,0,0,22,14,False
2013-07-01,1,0,0,14,14,False
2013-08-01,0,0,0,21,14,False
2013-09-01,0,0,1,14,18,False
2013-10-01,0,0,0,29,16,False
2013-11-01,1,0,0,29,14,False
2013-12-01,0,0,0,16,15,False
2014-01-01,1,1,0,23,13,False
2014-02-01,0,0,0,24,15,False
2014-03-01,1,0,0,45,17,False
2014-04-01,1,1,0,20,13,False
2014-05-01,1,0,0,20,15,False
2014-06-01,0,0,0,12,12,False
2014-07-01,1,0,0,16,15,False
2014-08-01,1,1,0,15,20,False
2014-09-01,1,0,0,24,21,False
2014-10-01,1,0,0,16,17,False
2014-11-01,1,0,0,12,16,False
2014-12-01,0,0,0,16,13,False
2015-01-01,0,0,1,12,13,False
2015-02-01,1,0,1,23,16,False
2015-03-01,0,0,0,20,22,False
2015-04-01,0,0,1,17,23,False
2015-05-01,0,1,0,13,60,False
2015-06-01,0,0,1,16,27,False
2015-07-01,0,0,0,10,30,False
2015-08-01,0,0,1,12,21,False
2015-09-01,0,0,1,10,18,False
2015-10-01,0,0,0,14,15,False
2015-11-01,1,1,0,18,14,False
2015-12-01,0,0,0,9,12,False
2016-01-01,1,0,0,45,14,False
2016-02-01,0,0,0,25,14,False
2016-03-01,0,0,1,16,15,False
2016-04-01,1,0,0,21,11,False
2016-05-01,1,0,0,15,19,False
2016-06-01,1,0,0,11,15,False
2016-07-01,0,0,1,10,17,False
2016-08-01,0,0,1,9,11,False
2016-09-01,0,0,0,9,15,False
2016-10-01,0,0,0,11,14,False
2016-11-01,0,0,1,12,20,False
2016-12-01,0,1,0,10,11,False
2017-01-01,0,0,1,33,11,False
2017-02-01,0,0,1,21,13,False
2017-03-01,1,1,1,28,11,False
2017-04-01,0,1,0,14,11,False
2017-05-01,0,0,0,18,14,False
2017-06-01,0,0,0,12,11,False
2017-07-01,1,0,1,12,12,False
2017-08-01,1,0,1,12,11,False
2017-09-01,1,0,1,21,11,False
2017-10-01,0,0,1,100,10,False
2017-11-01,1,0,0,16,9,False
2017-12-01,0,0,1,11,8,False
2018-01-01,0,0,0,27,11,False
2018-02-01,1,1,1,24,10,False
2018-03-01,0,0,0,14,8,False
2018-04-01,1,1,0,20,10,False
2018-05-01,0,0,1,15,10,False
2018-06-01,0,0,0,11,10,False
2018-07-01,1,0,0,11,9,False
2018-08-01,0,0,1,13,10,False
2018-09-01,0,0,1,10,11,False
2018-10-01,0,0,0,13,12,False
2018-11-01,1,0,1,10,10,False
2018-12-01,0,0,0,16,9,False
2019-01-01,0,0,0,34,10,False
2019-02-01,0,0,1,13,11,False
2019-03-01,0,0,1,15,9,False
2019-04-01,0,0,0,18,12,False
2019-05-01,0,0,0,24,9,False
2019-06-01,0,0,0,15,10,False
2019-07-01,0,0,0,10,15,False
2019-08-01,0,0,0,22,12,False
2019-09-01,1,0,0,11,10,False
2019-10-01,0,0,0,14,10,False
2019-11-01,1,0,0,10,10,False
2019-12-01,0,0,0,7,11,False
2020-01-01,0,0,0,8,17,False
2020-02-01,0,0,0,9,32,False
2020-03-01,0,0,0,7,13,False
2020-04-01,1,0,0,16,10,False
2020-05-01,0,0,0,11,8,False
2020-06-01,0,0,0,8,10,False
2020-07-01,0,0,0,9,20,False
2020-08-01,0,0,0,7,16,False
2020-09-01,0,0,0,16,12,False
2020-10-01,0,0,0,13,13,False
